# file...... Meter_645_C_Power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_C:measured_power.real,xfmr_meter_645_C_1:measured_power.real,xfmr_meter_645_C_2:measured_power.real,xfmr_meter_645_C_3:measured_power.real,xfmr_meter_645_C_4:measured_power.real,xfmr_meter_645_C_5:measured_power.real,house_meter_645_C_1:measured_power.real,house_meter_645_C_2:measured_power.real,house_meter_645_C_3:measured_power.real,house_meter_645_C_4:measured_power.real,house_meter_645_C_5:measured_power.real,house_meter_645_C_6:measured_power.real,house_meter_645_C_7:measured_power.real,house_meter_645_C_8:measured_power.real,house_meter_645_C_9:measured_power.real,house_meter_645_C_10:measured_power.real,house_meter_645_C_11:measured_power.real,house_meter_645_C_12:measured_power.real,house_meter_645_C_13:measured_power.real,house_meter_645_C_14:measured_power.real,house_meter_645_C_15:measured_power.real,house_meter_645_C_16:measured_power.real,house_meter_645_C_17:measured_power.real,house_meter_645_C_18:measured_power.real,house_meter_645_C_19:measured_power.real
2021-01-06 00:00:00 PST,6.4754e+004,1.1142e+004,2.4527e+004,1.2624e+004,7.0876e+003,9.3731e+003,2.8002e+002,2.4001e+002,2.0001e+002,3.6003e+002,2.8014e+003,2.4813e+003,2.7616e+003,2.0008e+003,2.5613e+003,3.6027e+003,3.8430e+003,2.6815e+003,2.3211e+003,4.2036e+003,2.9217e+003,2.3211e+003,1.2403e+003,6.8009e+002,1.8807e+003
2021-01-06 00:15:00 PST,6.8587e+004,1.0499e+004,2.7027e+004,1.5802e+004,8.0499e+003,7.2075e+003,2.4001e+002,2.0001e+002,2.8002e+002,3.6003e+002,1.9208e+003,2.5213e+003,2.1209e+003,2.8416e+003,2.4012e+003,4.1235e+003,3.5225e+003,5.4862e+003,2.6815e+003,3.7228e+003,2.8016e+003,2.2010e+003,3.5626e+003,7.2011e+002,1.4004e+003
2021-01-06 00:30:00 PST,6.6922e+004,9.9773e+003,2.3923e+004,1.5198e+004,7.8093e+003,1.0015e+004,1.6001e+002,2.4001e+002,2.4001e+002,5.2006e+002,1.7206e+003,2.5213e+003,2.4412e+003,2.1209e+003,1.8007e+003,4.0433e+003,3.4424e+003,3.3223e+003,2.4813e+003,3.4024e+003,2.9217e+003,2.4412e+003,4.6444e+003,7.6012e+002,1.7606e+003
2021-01-06 00:45:00 PST,6.0378e+004,9.2952e+003,2.3600e+004,9.8832e+003,8.5472e+003,9.0522e+003,1.2000e+002,2.4001e+002,1.6001e+002,5.2006e+002,1.7206e+003,1.8807e+003,1.8807e+003,2.7616e+003,2.2811e+003,4.0834e+003,3.3623e+003,2.7215e+003,2.5613e+003,3.1620e+003,2.8817e+003,2.4813e+003,1.0002e+003,4.9605e+002,6.5609e+002
2021-01-06 01:00:00 PST,7.0258e+004,9.6167e+003,2.3560e+004,1.1343e+004,1.6405e+004,9.3328e+003,1.6001e+002,1.6001e+002,1.6001e+002,2.4001e+002,1.7206e+003,2.3611e+003,2.6014e+003,2.2010e+003,2.4412e+003,4.1235e+003,3.3223e+003,2.5213e+003,2.7215e+003,3.0419e+003,3.1220e+003,2.2010e+003,1.3204e+003,6.0007e+002,6.4008e+002
2021-01-06 01:15:00 PST,6.0297e+004,9.6973e+003,2.3963e+004,8.3301e+003,8.6923e+003,9.6137e+003,2.0001e+002,1.6001e+002,1.6001e+002,2.4001e+002,1.6005e+003,2.6014e+003,1.7606e+003,2.9618e+003,2.6014e+003,4.0033e+003,2.8417e+003,2.5613e+003,2.6414e+003,3.5626e+003,3.4825e+003,2.2010e+003,1.2003e+003,5.6006e+002,6.4008e+002
2021-01-06 01:30:00 PST,6.2989e+004,1.1865e+004,2.4285e+004,1.0579e+004,7.4483e+003,8.8114e+003,2.4001e+002,2.4001e+002,1.2000e+002,3.6003e+002,2.3211e+003,2.4813e+003,2.7616e+003,3.3223e+003,2.4412e+003,4.0834e+003,3.3623e+003,2.2811e+003,2.6815e+003,3.4825e+003,3.4024e+003,2.4813e+003,1.1603e+003,6.0007e+002,6.4008e+002
2021-01-06 01:45:00 PST,6.9254e+004,9.8974e+003,2.3037e+004,1.3196e+004,1.2064e+004,1.1059e+004,2.4001e+002,2.0001e+002,2.0001e+002,2.8002e+002,1.7206e+003,2.5213e+003,2.5213e+003,2.2010e+003,1.8807e+003,4.0033e+003,3.3223e+003,2.2010e+003,2.7616e+003,3.1620e+003,3.2421e+003,2.4012e+003,8.4815e+002,2.0008e+003,3.6667e+003
2021-01-06 02:00:00 PST,7.0625e+004,9.8578e+003,2.3157e+004,1.8255e+004,1.2387e+004,6.9673e+003,1.2000e+002,2.4001e+002,2.4001e+002,2.0001e+002,1.6806e+003,2.2811e+003,1.9208e+003,3.1620e+003,2.2010e+003,3.9232e+003,3.3623e+003,2.4412e+003,2.8817e+003,3.0419e+003,3.1220e+003,2.1209e+003,1.0002e+003,4.6444e+003,2.5213e+003
2021-01-06 02:15:00 PST,6.3030e+004,9.6971e+003,2.3640e+004,1.3792e+004,6.7268e+003,9.1729e+003,1.6001e+002,2.0001e+002,2.0001e+002,1.6001e+002,1.6405e+003,2.0408e+003,2.6014e+003,2.6815e+003,2.7215e+003,3.8831e+003,3.2422e+003,2.5613e+003,2.6414e+003,3.2422e+003,3.1620e+003,2.1209e+003,1.1203e+003,1.2803e+003,7.2011e+002
2021-01-06 02:30:00 PST,5.9174e+004,9.9782e+003,2.4123e+004,9.2126e+003,7.9300e+003,7.9296e+003,1.6001e+002,2.0001e+002,1.2000e+002,2.0001e+002,2.0408e+003,2.5213e+003,1.8007e+003,2.9217e+003,2.5213e+003,3.9632e+003,2.9217e+003,2.6014e+003,2.7215e+003,3.5225e+003,3.2021e+003,2.6014e+003,1.3604e+003,6.4008e+002,7.2011e+002
