# file...... house_meter.csv
# date...... Sat May 15 03:01:01 2021
# user...... parallels
# host...... (null)
# target.... triplex_meter 14
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,measured_real_power,measured_voltage_1,measured_current_1
2021-01-06 18:00:00 UTC,+1400,+120.018+119.98d,-5.82897+10.1041j
2021-01-06 18:15:00 UTC,+1480,+120.017+119.979d,-6.1619+10.6818j
2021-01-06 18:30:00 UTC,+1320,+120.019+119.981d,-5.49602+9.52656j
2021-01-06 18:45:00 UTC,+1840,+120.011+119.974d,-7.6599+13.2813j
2021-01-06 19:00:00 UTC,+1920,+120.01+119.973d,-7.99275+13.859j
2021-01-06 19:15:00 UTC,+2360,+120.003+119.967d,-9.8231+17.0371j
2021-01-06 19:30:00 UTC,+4480,+119.972+119.936d,-18.6352+32.36j
2021-01-06 19:45:00 UTC,+7520,+119.926+119.893d,-31.2515+54.3628j
2021-01-06 20:00:00 UTC,+9120,+119.902+119.871d,-37.8823+65.9577j
2021-01-06 20:15:00 UTC,+7120,+119.932+119.899d,-29.5928+51.4657j
2021-01-06 20:30:00 UTC,+8480,+119.911+119.88d,-35.2307+61.3186j
2021-01-06 20:45:00 UTC,+6920,+119.935+119.902d,-28.7633+50.0173j
2021-01-06 21:00:00 UTC,+6360,+119.943+119.91d,-26.4402+45.9628j
2021-01-06 21:15:00 UTC,+6160,+119.946+119.913d,-25.6103+44.515j
2021-01-06 21:30:00 UTC,+5760,+119.952+119.918d,-23.9502+41.62j
2021-01-06 21:45:00 UTC,+4520,+119.971+119.936d,-18.8014+32.6493j
2021-01-06 22:00:00 UTC,+4800,+119.967+119.932d,-19.9643+34.6744j
2021-01-06 22:15:00 UTC,+4080,+119.978+119.942d,-16.9734+29.4675j
2021-01-06 22:30:00 UTC,+5960,+119.949+119.915d,-24.7803+43.0674j
2021-01-06 22:45:00 UTC,+4720,+119.968+119.933d,-19.6321+34.0958j
2021-01-06 23:00:00 UTC,+2600,+120+119.963d,-10.8213+18.7709j
2021-01-06 23:15:00 UTC,+960,+120.024+119.986d,-3.99754+6.92774j
2021-01-06 23:30:00 UTC,+1520,+120.016+119.978d,-6.32836+10.9706j
2021-01-06 23:45:00 UTC,+880,+120.026+119.988d,-3.6645+6.35029j
2021-01-07 00:00:00 UTC,+840,+120.026+119.988d,-3.49797+6.06158j
2021-01-07 00:15:00 UTC,+1080,+120.023+119.985d,-4.49707+7.79396j
2021-01-07 00:30:00 UTC,+1200,+120.021+119.983d,-4.99656+8.66023j
2021-01-07 00:45:00 UTC,+1800,+120.012+119.974d,-7.49347+12.9924j
2021-01-07 01:00:00 UTC,+840,+120.026+119.988d,-3.49798+6.06158j
2021-01-07 01:15:00 UTC,+1240,+120.02+119.982d,-5.16305+8.949j
2021-01-07 01:30:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
2021-01-07 01:45:00 UTC,+800,+120.027+119.989d,-3.33145+5.77287j
2021-01-07 02:00:00 UTC,+1200,+120.021+119.983d,-4.99656+8.66023j
2021-01-07 02:15:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
2021-01-07 02:30:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
2021-01-07 02:45:00 UTC,+680,+120.029+119.99d,-2.83183+4.90678j
2021-01-07 03:00:00 UTC,+1200,+120.021+119.983d,-4.99656+8.66023j
2021-01-07 03:15:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
2021-01-07 03:30:00 UTC,+720,+120.028+119.99d,-2.99837+5.19547j
2021-01-07 03:45:00 UTC,+1240,+120.02+119.982d,-5.16305+8.949j
2021-01-07 04:00:00 UTC,+1840,+120.011+119.974d,-7.6599+13.2813j
2021-01-07 04:15:00 UTC,+1600,+120.015+119.977d,-6.66127+11.5482j
2021-01-07 04:30:00 UTC,+3600,+119.985+119.949d,-14.9787+25.9974j
2021-01-07 04:45:00 UTC,+2960,+119.994+119.958d,-12.3183+21.372j
2021-01-07 05:00:00 UTC,+1600,+120.015+119.977d,-6.66127+11.5482j
