# file...... Meter_645_B_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_power,xfmr_meter_645_B_1:measured_power,xfmr_meter_645_B_2:measured_power,xfmr_meter_645_B_3:measured_power,xfmr_meter_645_B_4:measured_power,xfmr_meter_645_B_5:measured_power,house_meter_645_B_1:measured_power,house_meter_645_B_2:measured_power,house_meter_645_B_3:measured_power,house_meter_645_B_4:measured_power,house_meter_645_B_5:measured_power,house_meter_645_B_6:measured_power,house_meter_645_B_7:measured_power,house_meter_645_B_8:measured_power,house_meter_645_B_9:measured_power,house_meter_645_B_10:measured_power,house_meter_645_B_11:measured_power,house_meter_645_B_12:measured_power,house_meter_645_B_13:measured_power,house_meter_645_B_14:measured_power,house_meter_645_B_15:measured_power,house_meter_645_B_16:measured_power,house_meter_645_B_17:measured_power,house_meter_645_B_18:measured_power,house_meter_645_B_19:measured_power,house_meter_645_B_20:measured_power,house_meter_645_B_21:measured_power,house_meter_645_B_22:measured_power,house_meter_645_B_23:measured_power
2021-01-06 02:30:00 PST,+26728.3+51.3633j,+2520.92+1.1751j,+3281.56+1.99204j,+4604.04+4.31189j,+14481.2+43.1264j,+1840.48+0.624235j,+280.016+0.00128994d,+360.026+0.00165857d,+440.039+0.00202724d,+280.016+0.00128994d,+200.008+0.00092134d,+240.012+0.00110563d,+240.012+0.00110563d,+480.046+0.00221159d,+520.054+0.00239628d,+400.032+0.00184316d,+280.016+0.00129012d,+320.021+0.00147445d,+320.021+0.00147445d,+680.093+0.00313389d,+440.039+0.00202752d,+320.021+0.00147445d,+600.072+0.00276573d,+400.032+0.0018436d,+360.026+0.0016592d,+360.026+0.0016592d,+2080.87+0.00959643d,+280.016+0.00129042d,+280.016+0.00129042d
2021-01-06 02:45:00 PST,+22668.8+30.8137j,+2761.14+1.425j,+3842.08+2.70747j,+3882.34+2.84904j,+10542.8+23.255j,+1640.39+0.496835j,+240.012+0.00110515d,+400.032+0.0018421d,+320.021+0.00147361d,+680.093+0.00313209d,+160.005+0.000736732d,+240.012+0.00110515d,+280.016+0.00128937d,+440.039+0.00202635d,+520.054+0.00239537d,+600.072+0.00276402d,+480.046+0.00221105d,+400.032+0.00184246d,+400.032+0.00184246d,+560.063+0.00257969d,+440.039+0.00202675d,+440.039+0.00202675d,+560.063+0.00257971d,+280.016+0.00128964d,+520.054+0.00239538d,+400.032+0.00184247d,+1080.23+0.00497671d,+200.008+0.000921124d,+240.012+0.00110538d
2021-01-06 03:00:00 PST,+21545.4+27.2932j,+2280.74+0.958669j,+3802.03+2.65086j,+3561.96+2.39664j,+9899.99+20.4579j,+2000.62+0.757724j,+240.012+0.00110601d,+280.016+0.00129037d,+200.008+0.000921649d,+440.039+0.00202792d,+320.021+0.00147475d,+280.016+0.00129037d,+280.016+0.00129037d,+240.012+0.00110601d,+480.046+0.00221294d,+480.046+0.00221294d,+520.054+0.00239741d,+480.046+0.00221294d,+400.032+0.00184403d,+480.046+0.00221294d,+400.032+0.00184403d,+560.063+0.00258189d,+360.026+0.00165951d,+400.032+0.00184395d,+400.032+0.00184395d,+440.039+0.00202839d,+1000.2+0.00461154d,+200.008+0.000921863d,+200.008+0.000921863d
2021-01-06 03:15:00 PST,+26163.3+48.0602j,+2921.24+1.58197j,+3561.81+2.3403j,+3762.18+2.67194j,+14237.5+40.8118j,+1680.42+0.525954j,+280.016+0.00129195d,+560.063+0.00258434d,+240.012+0.00110736d,+280.016+0.00129195d,+320.021+0.00147655d,+440.039+0.00203041d,+520.054+0.00239969d,+280.016+0.00129195d,+280.016+0.0012921d,+520.054+0.00239996d,+360.026+0.00166135d,+560.063+0.00258464d,+480.046+0.0022153d,+600.072+0.00276932d,+400.032+0.00184599d,+360.026+0.00166135d,+600.072+0.00276942d,+480.046+0.00221538d,+320.021+0.00147678d,+400.032+0.00184606d,+1040.22+0.00480161d,+240.012+0.00110753d,+240.012+0.00110753d
2021-01-06 03:30:00 PST,+23085.1+41.8648j,+3041.36+1.72241j,+3001.3+1.66507j,+2640.99+1.28438j,+12560.9+36.4693j,+1840.48+0.62434j,+520.054+0.00240055d,+200.008+0.000923109d,+360.026+0.00166176d,+280.016+0.00129242d,+480.046+0.00221584d,+640.082+0.00295473d,+280.016+0.00129242d,+280.016+0.00129242d,+520.054+0.00240053d,+480.046+0.00221582d,+280.016+0.00129241d,+320.021+0.00147707d,+240.012+0.00110775d,+440.039+0.00203112d,+440.039+0.00203112d,+280.016+0.00129241d,+400.032+0.00184631d,+400.032+0.00184631d,+400.032+0.00184631d,+320.021+0.00147697d,+320.021+0.00147697d,+240.012+0.00110768d,+240.012+0.00110768d
2021-01-06 03:45:00 PST,+24459.9+53.6564j,+2681.03+1.32531j,+3321.57+2.03055j,+2560.95+1.21211j,+14335.9+48.5154j,+1560.35+0.449335j,+360.026+0.00165932d,+240.012+0.00110614d,+440.039+0.00202816d,+280.016+0.00129052d,+240.012+0.00110614d,+320.021+0.00147492d,+320.021+0.00147492d,+480.046+0.00221259d,+440.039+0.0020284d,+440.039+0.0020284d,+600.072+0.00276626d,+360.026+0.00165952d,+400.032+0.00184395d,+280.016+0.00129067d,+360.026+0.00165952d,+440.039+0.0020284d,+400.032+0.0018437d,+320.021+0.00147489d,+480.046+0.00221254d,+400.032+0.0018437d,+200.008+0.000921738d,+240.012+0.00110611d,+280.016+0.0012905d
2021-01-06 04:00:00 PST,+26783.1+60.6396j,+2560.96+1.21819j,+3361.61+2.07939j,+3601.9+2.41095j,+15618.2+54.2889j,+1640.38+0.494659j,+320.021+0.00147474d,+200.008+0.000921648d,+440.039+0.00202792d,+560.063+0.00258117d,+200.008+0.000921648d,+280.016+0.00129037d,+280.016+0.00129037d,+280.016+0.00129037d,+400.032+0.00184378d,+280.016+0.00129056d,+480.046+0.00221265d,+480.046+0.00221265d,+520.054+0.00239709d,+360.026+0.00165937d,+320.021+0.00147496d,+520.054+0.00239709d,+400.032+0.00184387d,+640.082+0.00295061d,+600.072+0.00276613d,+480.046+0.00221274d,+680.093+0.0031351d,+280.016+0.00129061d,+240.012+0.00110621d
2021-01-06 04:15:00 PST,+67702.8+414.359j,+2120.65+0.833586j,+3922.26+2.86543j,+17171.4+58.1041j,+43047.4+351.018j,+1440.3+0.382324j,+240.012+0.00110817d,+360.026+0.00166237d,+200.008+0.000923449d,+200.008+0.000923449d,+240.012+0.00110817d,+320.021+0.00147763d,+160.005+0.000738741d,+400.032+0.00184712d,+360.026+0.00166291d,+480.046+0.00221738d,+320.021+0.00147811d,+520.054+0.00240222d,+400.032+0.00184773d,+920.17+0.00425111d,+560.063+0.00258707d,+360.026+0.00166291d,+480.046+0.00222273d,+480.046+0.00222273d,+280.016+0.00129644d,+320.021+0.00148168d,+3682.74+0.0170741d,+3842.98+0.0178181d,+4123.43+0.0191206d
2021-01-06 04:30:00 PST,+26109.7+61.6864j,+2681.06+1.33327j,+3321.57+2.02716j,+3081.34+1.73878j,+15345.2+55.928j,+1680.4+0.518317j,+200.008+0.000918351d,+560.063+0.00257194d,+240.012+0.00110205d,+320.02+0.00146947d,+200.008+0.000918351d,+280.016+0.00128575d,+520.054+0.00238817d,+360.026+0.00165319d,+520.054+0.00238845d,+480.046+0.00220467d,+320.02+0.00146964d,+280.016+0.0012859d,+280.016+0.0012859d,+560.063+0.00257224d,+480.046+0.00220467d,+400.032+0.00183713d,+320.02+0.00146957d,+280.016+0.00128585d,+440.039+0.00202081d,+360.026+0.00165331d,+360.026+0.00165331d,+360.026+0.00165331d,+480.046+0.00220457d
2021-01-06 04:45:00 PST,+25828+60.3989j,+2881.23+1.54506j,+3281.53+1.97627j,+2961.24+1.61033j,+15183.6+54.7035j,+1520.33+0.425493j,+400.032+0.00183988d,+200.008+0.00091983d,+200.008+0.00091983d,+280.016+0.00128782d,+600.072+0.00276015d,+560.063+0.00257608d,+240.012+0.00110382d,+400.032+0.00183988d,+360.026+0.00165597d,+440.039+0.00202406d,+560.063+0.00257626d,+360.026+0.00165597d,+400.032+0.00184001d,+400.032+0.00184001d,+280.016+0.00128792d,+480.046+0.00220812d,+280.016+0.00128784d,+320.021+0.00147185d,+480.046+0.00220799d,+480.046+0.00220799d,+400.032+0.0018399d,+280.016+0.00128784d,+320.021+0.00147185d
2021-01-06 05:00:00 PST,+32539.6+102.852j,+2560.95+1.21244j,+3241.49+1.93097j,+3641.93+2.45622j,+21494.7+96.5186j,+1600.37+0.4714j,+400.032+0.00184028d,+200.008+0.000920028d,+320.021+0.00147215d,+240.012+0.00110406d,+320.021+0.00147215d,+360.026+0.00165621d,+200.008+0.000920028d,+520.054+0.00239253d,+320.021+0.00147233d,+280.016+0.00128826d,+400.032+0.0018405d,+520.054+0.00239283d,+520.054+0.00239283d,+480.046+0.00220871d,+320.021+0.00147233d,+400.032+0.0018405d,+560.063+0.00257714d,+760.116+0.00349797d,+600.072+0.00276129d,+400.032+0.00184064d,+280.016+0.00128835d,+360.026+0.00165653d,+320.021+0.00147244d
