# file...... 1Meter_611_C_power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_24:measured_power,house_meter_611_C_25:measured_power,house_meter_611_C_26:measured_power,house_meter_611_C_27:measured_power,house_meter_611_C_28:measured_power,house_meter_611_C_29:measured_power,house_meter_611_C_30:measured_power,house_meter_611_C_31:measured_power,house_meter_611_C_32:measured_power,house_meter_611_C_33:measured_power,house_meter_611_C_34:measured_power,house_meter_611_C_35:measured_power,house_meter_611_C_36:measured_power,house_meter_611_C_37:measured_power,house_meter_611_C_38:measured_power,house_meter_611_C_39:measured_power,house_meter_611_C_40:measured_power
2021-01-06 03:00:00 PST,+2521.3+0.0118246d,+560.064+0.00262537d,+3162.04+0.0148383d,+680.094+0.00318819d,+720.106+0.00337581d,+640.084+0.00300057d,+480.047+0.00225021d,+680.094+0.00318819d,+1680.58+0.00788153d,+4203.62+0.0197826d,+2080.89+0.00978432d,+2801.61+0.013177d,+1840.69+0.00865408d,+2040.85+0.00959592d,+3923.15+0.0184606d,+2120.92+0.00997273d,+2721.52+0.0127999d
2021-01-06 03:15:00 PST,+1200.29+0.00563108d,+1000.2+0.00469286d,+1160.28+0.00544425d,+640.084+0.00300276d,+800.131+0.00375383d,+520.055+0.00243957d,+1680.58+0.0078873d,+880.158+0.00412941d,+680.095+0.00319052d,+1640.55+0.00772636d,+2120.92+0.00999069d,+6408.44+0.0302405d,+1760.64+0.00829231d,+2361.14+0.0111234d,+3482.49+0.0164136d,+2080.89+0.00980194d,+6328.23+0.029861d
2021-01-06 03:30:00 PST,+1720.6+0.00806036d,+920.173+0.00431166d,+920.173+0.00431166d,+840.144+0.00393654d,+520.055+0.00243643d,+680.094+0.00318641d,+960.188+0.00449924d,+1680.58+0.00787714d,+2721.51+0.0127616d,+1840.69+0.00864564d,+2040.85+0.00958657d,+2481.26+0.0116574d,+2561.34+0.012034d,+4083.41+0.0191972d,+2721.52+0.0127874d,+2000.82+0.00939836d,+2401.18+0.0112808d
2021-01-06 03:45:00 PST,+560.064+0.00262469d,+560.064+0.002627d,+1800.66+0.00845035d,+760.118+0.00356565d,+1920.75+0.00901437d,+680.094+0.00319016d,+880.158+0.00412895d,+1520.47+0.00713462d,+880.158+0.00412895d,+3122+0.0147004d,+2040.85+0.00960542d,+2040.85+0.00960542d,+2641.43+0.0124351d,+5646.55+0.0266153d,+1560.5+0.00734315d,+4203.63+0.0198022d,+2841.66+0.0133789d
2021-01-06 04:00:00 PST,+760.118+0.0035616d,+3682.77+0.017284d,+1040.22+0.0048767d,+600.074+0.00281273d,+1200.29+0.00562751d,+560.064+0.00262515d,+520.055+0.00243758d,+680.094+0.00318791d,+600.074+0.00281273d,+4003.28+0.0188353d,+3482.48+0.0163815d,+2040.85+0.00959443d,+2521.3+0.0118554d,+2000.82+0.00940607d,+2281.07+0.0107248d,+2801.61+0.013175d,+2521.3+0.0118554d
2021-01-06 04:15:00 PST,+760.118+0.00356427d,+560.064+0.00262565d,+1000.2+0.00468993d,+600.074+0.00281327d,+640.084+0.00300089d,+560.064+0.00262565d,+680.094+0.00318852d,+800.131+0.00375148d,+640.084+0.00300089d,+1920.76+0.00904736d,+5045.23+0.0237951d,+2080.89+0.00980228d,+5606.46+0.0264482d,+2000.82+0.0094248d,+3722.85+0.0175488d,+4844.82+0.0228481d,+2641.43+0.0124457d
2021-01-06 04:30:00 PST,+840.145+0.00395666d,+920.174+0.00433247d,+760.118+0.00357865d,+600.074+0.00282497d,+560.064+0.00263657d,+760.118+0.00357865d,+680.095+0.00320179d,+760.118+0.00357865d,+760.118+0.00357865d,+1680.58+0.00793641d,+2841.66+0.0134259d,+2040.86+0.00963921d,+1880.73+0.00888231d,+2080.89+0.00982846d,+3362.33+0.0158893d,+2401.19+0.0113428d,+3883.1+0.0183543d
2021-01-06 04:45:00 PST,+960.189+0.00451015d,+920.173+0.0043227d,+800.131+0.00375859d,+1000.2+0.00469881d,+640.084+0.00300658d,+600.074+0.00281859d,+720.106+0.00338256d,+640.084+0.00300658d,+880.159+0.00413465d,+1800.67+0.0084883d,+2801.61+0.0132122d,+4884.91+0.0230566d,+1880.73+0.008866d,+2000.82+0.00943261d,+2761.57+0.0130231d,+2040.86+0.0096215d,+4684.51+0.0221089d
2021-01-06 05:00:00 PST,+1000.2+0.00470127d,+640.084+0.00300785d,+680.095+0.00319592d,+640.084+0.00300785d,+720.106+0.003384d,+520.055+0.0024437d,+520.055+0.0024437d,+720.106+0.003384d,+680.095+0.00319592d,+1840.7+0.00867667d,+2040.86+0.00962098d,+2961.8+0.0139678d,+1760.64+0.00829902d,+2321.11+0.0109434d,+1520.47+0.00716627d,+2000.82+0.0094321d,+4764.67+0.0224867d
2021-01-06 05:15:00 PST,+800.131+0.00376356d,+520.055+0.00244181d,+920.173+0.00432119d,+520.055+0.00244181d,+960.189+0.00450918d,+640.084+0.00300553d,+520.055+0.00244181d,+1040.22+0.00488518d,+720.106+0.00338138d,+1600.53+0.00754103d,+2000.82+0.00942861d,+2120.92+0.00999507d,+1800.67+0.00848471d,+7371.18+0.0348126d,+2721.52+0.0128286d,+2040.85+0.00961742d,+2441.22+0.011506d
