# file...... 1Meter_684_C_power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_C_24:measured_power,house_meter_684_C_25:measured_power,house_meter_684_C_26:measured_power,house_meter_684_C_27:measured_power,house_meter_684_C_28:measured_power,house_meter_684_C_29:measured_power,house_meter_684_C_30:measured_power,house_meter_684_C_31:measured_power,house_meter_684_C_32:measured_power,house_meter_684_C_33:measured_power,house_meter_684_C_34:measured_power,house_meter_684_C_35:measured_power,house_meter_684_C_36:measured_power,house_meter_684_C_37:measured_power,house_meter_684_C_38:measured_power,house_meter_684_C_39:measured_power,house_meter_684_C_40:measured_power
2021-01-06 00:00:00 PST,+280.016+0.00132821d,+240.012+0.00114023d,+3282.23+0.0156127d,+3242.18+0.0154219d,+520.056+0.00247094d,+1800.67+0.00856006d,+2561.36+0.0121801d,+2321.12+0.0110365d,+1960.8+0.00932189d,+2120.93+0.0100836d,+1000.21+0.00475308d,+2641.45+0.0125609d,+1240.32+0.0058947d,+2601.4+0.0123703d,+1080.24+0.00513358d,+2120.93+0.0100836d,+2961.82+0.0140863d
2021-01-06 00:15:00 PST,+600.074+0.00284114d,+960.19+0.00455501d,+3282.23+0.0155854d,+3202.12+0.0152045d,+440.04+0.00208704d,+1440.43+0.00683456d,+2481.27+0.0117782d,+2401.19+0.0113977d,+1920.76+0.00911546d,+2040.86+0.00968523d,+1240.32+0.00588418d,+1600.53+0.00759419d,+1200.3+0.00569423d,+2561.36+0.0121579d,+2160.97+0.0102557d,+2241.04+0.0106361d,+2721.53+0.0129191d
2021-01-06 00:30:00 PST,+760.119+0.0035947d,+480.048+0.00227356d,+3162.06+0.0149925d,+3202.12+0.0151827d,+440.04+0.00208405d,+1200.3+0.00568643d,+2361.15+0.0111914d,+2321.11+0.0110014d,+560.065+0.00265262d,+1360.38+0.00644777d,+1440.43+0.00682739d,+1720.61+0.00815636d,+1280.34+0.00606819d,+2801.62+0.0132867d,+2361.15+0.0111957d,+2481.27+0.0117659d,+2361.15+0.0111957d
2021-01-06 00:45:00 PST,+360.027+0.00170131d,+320.021+0.00151465d,+3482.5+0.0165041d,+3322.28+0.0157437d,+480.048+0.0022722d,+880.16+0.00416673d,+2241.04+0.0106152d,+2641.44+0.0125138d,+1040.22+0.0049248d,+1280.34+0.00606642d,+2000.83+0.00948302d,+1840.7+0.00872351d,+1400.4+0.00663564d,+3562.62+0.0168961d,+2641.44+0.0125226d,+3122.01+0.0148038d,+2281.07+0.0108125d
2021-01-06 01:00:00 PST,+440.04+0.00208494d,+960.191+0.00456007d,+3762.93+0.0178914d,+3722.87+0.0177006d,+360.027+0.00170939d,+920.175+0.00436996d,+2361.15+0.0112199d,+2401.19+0.0114104d,+1000.21+0.00475019d,+1000.21+0.00475226d,+2681.49+0.0127494d,+1840.7+0.00874873d,+1640.56+0.00779681d,+2841.67+0.0135119d,+3001.87+0.0142745d,+2401.19+0.0114154d,+2401.19+0.0114154d
2021-01-06 01:15:00 PST,+960.19+0.00455339d,+480.048+0.00227955d,+3162.07+0.015032d,+3322.29+0.0157947d,+520.056+0.00246957d,+1000.21+0.00475059d,+1480.45+0.00703297d,+2561.36+0.0121733d,+840.146+0.0039901d,+920.175+0.00437203d,+1520.48+0.00722605d,+1600.53+0.00760675d,+1240.32+0.00589391d,+2681.49+0.0127499d,+2721.53+0.0129405d,+2201+0.0104632d,+2561.36+0.0121781d
2021-01-06 01:30:00 PST,+240.012+0.00113258d,+560.065+0.00264677d,+3242.17+0.0153389d,+3122.01+0.0147697d,+400.033+0.00189037d,+1120.26+0.00529538d,+1240.32+0.00586318d,+2561.35+0.0121145d,+560.065+0.00264677d,+960.19+0.00454082d,+1360.38+0.00643442d,+1560.5+0.00738157d,+1360.38+0.00643442d,+2601.39+0.0123105d,+2601.39+0.0123105d,+2481.27+0.0117415d,+2681.48+0.01269d
2021-01-06 01:45:00 PST,+480.047+0.00226834d,+760.119+0.00359767d,+3402.39+0.0161212d,+3682.8+0.0174519d,+600.074+0.00283999d,+1160.28+0.00549255d,+1200.3+0.00568209d,+2721.53+0.0128915d,+640.084+0.0030294d,+760.119+0.00359994d,+1520.48+0.00720327d,+2841.67+0.0134698d,+2681.48+0.0127096d,+2601.4+0.0123296d,+2321.11+0.0109999d,+2281.07+0.01081d,+2521.31+0.0119497d
2021-01-06 02:00:00 PST,+1040.22+0.00492553d,+280.016+0.0013266d,+3802.99+0.0180433d,+3442.45+0.0163302d,+480.048+0.00227446d,+880.16+0.00417087d,+1000.21+0.00473998d,+2561.36+0.0121461d,+640.085+0.00303291d,+800.132+0.00379473d,+1520.48+0.0072132d,+2841.67+0.0134884d,+2521.31+0.0119662d,+2961.81+0.0140593d,+2201+0.0104446d,+2321.11+0.0110151d,+2441.23+0.0115857d
2021-01-06 02:15:00 PST,+200.008+0.000946107d,+880.16+0.00416976d,+3242.17+0.0153748d,+3162.07+0.0149944d,+400.033+0.00189478d,+800.132+0.0037905d,+880.16+0.00416976d,+2481.27+0.0117628d,+960.19+0.00454905d,+1000.21+0.00474362d,+1560.5+0.00740263d,+3041.91+0.0144389d,+2641.44+0.0125359d,+3122.02+0.0148196d,+2201+0.0104437d,+2481.27+0.011775d,+2281.08+0.0108241d
