# file...... 1Meter_645_B_power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_645_B_24:measured_power,house_meter_645_B_25:measured_power,house_meter_645_B_26:measured_power,house_meter_645_B_27:measured_power,house_meter_645_B_28:measured_power,house_meter_645_B_29:measured_power,house_meter_645_B_30:measured_power,house_meter_645_B_31:measured_power,house_meter_645_B_32:measured_power,house_meter_645_B_33:measured_power,house_meter_645_B_34:measured_power,house_meter_645_B_35:measured_power,house_meter_645_B_36:measured_power,house_meter_645_B_37:measured_power,house_meter_645_B_38:measured_power,house_meter_645_B_39:measured_power,house_meter_645_B_40:measured_power
2021-01-06 03:00:00 PST,+560.063+0.00258178d,+240.012+0.00110753d,+760.116+0.00350829d,+560.063+0.00258475d,+1000.2+0.00461684d,+2281.05+0.0105345d,+4524.12+0.0209126d,+280.016+0.00129215d,+240.012+0.00110753d,+240.012+0.00110595d,+200.008+0.000921603d,+160.005+0.000737265d,+600.072+0.00276547d,+160.005+0.000737265d,+280.016+0.00129031d,+160.005+0.000737265d,+200.008+0.000921603d
2021-01-06 03:15:00 PST,+440.039+0.00203072d,+320.021+0.00147959d,+1720.6+0.00795954d,+520.054+0.00240463d,+1000.2+0.00462562d,+3322.23+0.0153787d,+5445.99+0.0252312d,+240.012+0.00110964d,+1640.54+0.00758896d,+120.003+0.000553516d,+160.005+0.000738039d,+240.012+0.00110711d,+360.026+0.00166079d,+160.005+0.000738039d,+280.016+0.00129166d,+120.003+0.000553516d,+240.012+0.00110711d
2021-01-06 03:30:00 PST,+320.021+0.00147697d,+320.021+0.00147964d,+320.021+0.00147964d,+480.046+0.00221968d,+1080.24+0.00499608d,+2160.94+0.0099987d,+7732.08+0.035857d,+200.008+0.000924708d,+240.012+0.00110968d,+160.005+0.000738309d,+280.016+0.00129213d,+280.016+0.00129213d,+240.012+0.00110752d,+200.008+0.000922908d,+280.016+0.00129213d,+240.012+0.00110752d,+160.005+0.000738309d
2021-01-06 03:45:00 PST,+240.012+0.00110611d,+320.021+0.00147805d,+280.016+0.00129326d,+320.021+0.00147805d,+1320.35+0.00610063d,+2200.98+0.0101731d,+9257.3+0.0429103d,+320.021+0.00147805d,+280.016+0.00129326d,+120.003+0.000552916d,+240.012+0.00110591d,+160.005+0.000737239d,+280.016+0.00129026d,+240.012+0.00110591d,+160.005+0.000737239d,+200.008+0.000921571d,+160.005+0.000737239d
2021-01-06 04:00:00 PST,+280.016+0.00129061d,+1080.23+0.00499137d,+520.054+0.00240244d,+560.063+0.0025873d,+1880.71+0.00869288d,+2120.91+0.00980404d,+8936.12+0.0414217d,+240.012+0.00110863d,+240.012+0.00110863d,+200.008+0.000921494d,+200.008+0.000921494d,+160.005+0.000737178d,+280.016+0.00129015d,+200.008+0.000921494d,+240.012+0.00110582d,+200.008+0.000921494d,+160.005+0.000737178d
2021-01-06 04:15:00 PST,+3923.11+0.0181902d,+3682.75+0.0171556d,+3682.75+0.0171556d,+4163.52+0.0193989d,+4965+0.0231408d,+5726.66+0.026699d,+12793.3+0.0598176d,+4003.25+0.018651d,+3802.93+0.0177163d,+200.008+0.000923335d,+160.005+0.00073865d,+160.005+0.00073865d,+200.008+0.000923335d,+240.012+0.00110803d,+200.008+0.000923335d,+120.003+0.000553974d,+160.005+0.00073865d
2021-01-06 04:30:00 PST,+480.046+0.00220457d,+320.021+0.00147284d,+360.026+0.00165699d,+360.026+0.00165699d,+1080.23+0.00497311d,+2200.97+0.0101373d,+10140.7+0.0468557d,+560.063+0.00257784d,+280.016+0.00128871d,+240.012+0.00110185d,+200.008+0.000918186d,+200.008+0.000918186d,+160.005+0.000734531d,+200.008+0.000918186d,+320.02+0.0014692d,+160.005+0.000734531d,+200.008+0.000918186d
2021-01-06 04:45:00 PST,+400.032+0.0018399d,+400.032+0.00184399d,+400.032+0.00184399d,+400.032+0.00184399d,+1160.27+0.00535001d,+2200.97+0.0101529d,+9980.08+0.046182d,+320.021+0.00147512d,+280.016+0.0012907d,+120.003+0.000551737d,+200.008+0.000919604d,+240.012+0.00110355d,+160.005+0.000735666d,+200.008+0.000919604d,+240.012+0.00110355d,+120.003+0.000551737d,+240.012+0.00110355d
2021-01-06 05:00:00 PST,+360.026+0.00165653d,+360.026+0.00166191d,+4764.57+0.0220328d,+320.021+0.00147722d,+1360.37+0.00628213d,+2000.81+0.009242d,+9859.62+0.0456877d,+2401.16+0.0110931d,+360.026+0.00166191d,+120.003+0.000551894d,+240.012+0.00110387d,+200.008+0.000919868d,+160.005+0.000735877d,+160.005+0.000735877d,+280.016+0.00128788d,+240.012+0.00110387d,+200.008+0.000919868d
2021-01-06 05:15:00 PST,+320.021+0.00147225d,+360.026+0.00166035d,+360.026+0.00166035d,+520.054+0.00239852d,+1160.27+0.00535261d,+1760.62+0.00812414d,+8494.54+0.0393034d,+3041.86+0.0140435d,+320.021+0.00147583d,+160.005+0.00073591d,+240.012+0.00110392d,+120.003+0.00055192d,+200.008+0.00091991d,+240.012+0.00110392d,+200.008+0.00091991d,+200.008+0.00091991d,+200.008+0.00091991d
2021-01-06 05:30:00 PST,+4804.64+0.0221941d,+360.026+0.00166459d,+5285.64+0.0244869d,+720.104+0.0033299d,+1160.27+0.00536627d,+1800.65+0.0083302d,+8454.44+0.0392173d,+4363.84+0.0202089d,+360.026+0.00166459d,+160.005+0.000736904d,+160.005+0.000736904d,+160.005+0.000736904d,+280.016+0.00128967d,+240.012+0.00110541d,+200.008+0.000921152d,+200.008+0.000921152d,+120.003+0.000552665d
2021-01-06 05:45:00 PST,+280.016+0.00129035d,+320.021+0.00147679d,+1560.49+0.00720473d,+440.039+0.00203073d,+1240.31+0.00572573d,+1760.62+0.00812939d,+8133.34+0.037651d,+3162.01+0.0146083d,+280.016+0.00129216d,+240.012+0.00110446d,+200.008+0.000920362d,+160.005+0.000736272d,+240.012+0.00110446d,+200.008+0.000920362d,+240.012+0.00110446d,+160.005+0.000736272d,+160.005+0.000736272d
2021-01-06 06:00:00 PST,+6729.17+0.0312722d,+2801.6+0.0130837d,+7210.6+0.0337346d,+3162.03+0.0147691d,+7732.19+0.0361826d,+2321.1+0.0108376d,+14346.7+0.0427637d,+6408.37+0.0299716d,+5005.1+0.0233952d,+200.008+0.00092494d,+200.008+0.00092494d,+240.012+0.00110995d,+320.021+0.00148001d,+160.005+0.000739934d,+280.016+0.00129498d,+120.003+0.000554937d,+120.003+0.000554937d
2021-01-06 06:15:00 PST,+3242.13+0.0150485d,+480.047+0.00223563d,+5806.86+0.0271018d,+360.026+0.0016766d,+7090.23+0.0331088d,+3722.82+0.0173604d,+14984.8+0.0379273d,+5005.09+0.0233522d,+3242.13+0.0151159d,+200.008+0.000924725d,+320.021+0.00147967d,+280.016+0.00129468d,+240.012+0.0011097d,+200.008+0.000924725d,+280.016+0.00129468d,+160.005+0.000739762d,+240.012+0.0011097d
2021-01-06 06:30:00 PST,+3562.55+0.0164621d,+360.026+0.00166907d,+6087.5+0.028287d,+440.039+0.00204008d,+4283.71+0.0198907d,+1840.68+0.00853849d,+13504.3+0.0413874d,+1400.4+0.00649494d,+3522.51+0.0163512d,+160.005+0.000737693d,+280.016+0.00129106d,+160.005+0.000737693d,+240.012+0.00110659d,+200.008+0.000922139d,+240.012+0.00110659d,+200.008+0.000922139d,+240.012+0.00110659d
2021-01-06 06:45:00 PST,+5646.46+0.0262479d,+360.026+0.00167472d,+3682.75+0.017154d,+3562.57+0.0165934d,+3843+0.0179016d,+1720.6+0.00800805d,+10702.1+0.0474448d,+6648.98+0.0310079d,+2241.02+0.0104324d,+120.003+0.000554984d,+280.016+0.00129509d,+160.005+0.000739996d,+280.016+0.00129509d,+280.016+0.00129509d,+200.008+0.000925018d,+280.016+0.00129509d,+120.003+0.000554984d
2021-01-06 07:00:00 PST,+2841.63+0.0131941d,+360.026+0.00168236d,+18752.1+0.0882893d,+1320.35+0.00617227d,+6689.13+0.0313383d,+2480.74+0.0068217d,+8896.17+0.0417158d,+5045.19+0.0236206d,+6127.66+0.0287013d,+160.005+0.000741014d,+200.008+0.000926291d,+160.005+0.000741014d,+280.016+0.00129687d,+320.021+0.00148217d,+240.012+0.00111158d,+240.012+0.00111158d,+160.005+0.000741014d
2021-01-06 07:15:00 PST,+3001.83+0.0140007d,+240.012+0.00112615d,+16536.3+0.0781106d,+2601.38+0.0122176d,+7812.51+0.0367706d,+7126.6+0.0212501d,+11949.3+0.0563369d,+1560.5+0.00732588d,+8414.52+0.0396138d,+240.012+0.0011148d,+240.012+0.0011148d,+240.012+0.0011148d,+280.016+0.00130064d,+280.016+0.00130064d,+320.021+0.00148648d,+160.005+0.000743167d,+120.003+0.000557362d
2021-01-06 07:30:00 PST,+5806.86+0.0271119d,+240.012+0.00112338d,+16375+0.0771522d,+4965.04+0.0232837d,+8213.8+0.0385702d,+3201.85+0.0132469d,+8053.27+0.0378139d,+1400.4+0.00655767d,+3001.84+0.014066d,+280.016+0.00130019d,+280.016+0.00130019d,+320.021+0.00148597d,+280.016+0.00130019d,+360.026+0.00167176d,+280.016+0.00130019d,+320.021+0.00148597d,+200.008+0.000928663d
2021-01-06 07:45:00 PST,+6007.37+0.0281511d,+320.021+0.0015033d,+16294.7+0.0770493d,+3162.05+0.014871d,+8534.96+0.0402284d,+3963.22+0.018645d,+10939.8+0.0415309d,+1800.37+0.00470147d,+5045.22+0.0237459d,+280.016+0.00130415d,+680.094+0.00316799d,+800.13+0.00372731d,+800.13+0.00372731d,+800.13+0.00372731d,+240.012+0.00111781d,+320.021+0.00149049d,+240.012+0.00111781d
2021-01-06 08:00:00 PST,+15570.4+0.0743205d,+10945.2+0.0529247d,+16215.5+0.0785839d,+16054.4+0.0777978d,+13438.1+0.0650472d,+15490.6+0.0750479d,+15490.4+0.0746601d,+18164.8+0.056554d,+16135+0.0781908d,+280.016+0.00131837d,+640.084+0.0030141d,+600.074+0.00282564d,+4202.51+0.0137085d,+400.033+0.00188353d,+240.012+0.00113001d,+520.055+0.00244877d,+280.016+0.00131837d
2021-01-06 08:15:00 PST,+16214.7+0.077386d,+10302.3+0.0497902d,+16376.6+0.0793503d,+15893.3+0.0769928d,+17706.2+0.0858412d,+18754.3+0.090963d,+15651.7+0.0758146d,+18379.3+0.0740036d,+16014.1+0.077582d,+520.055+0.00244573d,+600.074+0.00282213d,+760.118+0.00357505d,+4243.01+0.0162693d,+920.173+0.00432812d,+720.106+0.00338681d,+760.118+0.00357505d,+840.145+0.00395157d
2021-01-06 08:30:00 PST,+16093.9+0.0768745d,+15691.9+0.0758636d,+16416.8+0.0793927d,+15812.7+0.0764516d,+18189.8+0.088033d,+18955.8+0.0917702d,+15571.1+0.0752758d,+5526.4+0.0266036d,+16295.9+0.0788043d,+200.008+0.000939456d,+360.027+0.00169119d,+720.106+0.00338313d,+2200.72+0.00751429d,+840.144+0.00394727d,+800.131+0.00375922d,+720.106+0.00338313d,+800.131+0.00375922d
2021-01-06 08:45:00 PST,+15973+0.0761242d,+15691.9+0.0759113d,+17222.6+0.0833701d,+17424+0.0843526d,+17101.7+0.0827807d,+17424+0.0843526d,+15369.8+0.0743429d,+16698.8+0.0808168d,+16175.2+0.0782651d,+320.021+0.00150137d,+880.158+0.00413019d,+800.131+0.00375453d,+2961.37+0.0106583d,+800.131+0.00375453d,+720.106+0.00337891d,+440.04+0.00206454d,+960.188+0.00450588d
2021-01-06 09:00:00 PST,+16214.6+0.0772715d,+16537.6+0.0799691d,+16940.5+0.0819311d,+16779.3+0.0811462d,+16900.2+0.0817349d,+17343.4+0.0838941d,+15450.3+0.0746768d,+16618.2+0.0803614d,+15893.2+0.076832d,+280.016+0.00131249d,+1360.38+0.00637916d,+1240.31+0.00581587d,+1200.29+0.00562812d,+680.094+0.00318825d,+520.055+0.00243783d,+360.026+0.00168757d,+760.118+0.00356351d
2021-01-06 09:15:00 PST,+16375.7+0.0780902d,+20166+0.0979332d,+16940.6+0.0821567d,+16537.8+0.0801893d,+17343.6+0.0841252d,+19704.8+0.075493d,+19036.6+0.092404d,+16860.1+0.0817631d,+16014.2+0.0776331d,+400.033+0.0018764d,+1360.38+0.00638353d,+1280.34+0.00600774d,+1280.34+0.00600774d,+480.047+0.0022518d,+880.158+0.00412931d,+280.016+0.00131339d,+640.084+0.00300269d
2021-01-06 09:30:00 PST,+18269.7+0.0876009d,+20287.5+0.0989653d,+17061.8+0.0831152d,+16699.2+0.0813362d,+18956.3+0.0924191d,+22269.4+0.0714883d,+19279+0.094005d,+18674.1+0.091032d,+17867.8+0.0870716d,+760.118+0.00357669d,+1240.32+0.00583737d,+1200.3+0.00564893d,+1160.28+0.0054605d,+880.159+0.00414173d,+1120.26+0.00527207d,+1120.26+0.00527207d,+1400.4+0.00659123d
2021-01-06 09:45:00 PST,+16899.6+0.081001d,+17545.2+0.0852933d,+16376.8+0.0795736d,+16658.8+0.0809535d,+21377+0.104091d,+18224.7+0.0815382d,+17545.2+0.0852933d,+16658.8+0.0809535d,+16537.9+0.080362d,+1240.32+0.00583872d,+1560.29+0.00421645d,+1160.28+0.00546176d,+2040.45+0.00502781d,+1160.28+0.00546176d,+1200.3+0.00565023d,+1360.38+0.00640423d,+1360.38+0.00640423d
2021-01-06 10:00:00 PST,+16657.8+0.0796301d,+20460.1+0.0674383d,+16054.5+0.0778851d,+17625.7+0.0855647d,+18391.6+0.0893117d,+17703.1+0.0817768d,+16739.2+0.0812307d,+16457.3+0.0798527d,+16215.6+0.078672d,+1920.76+0.00903274d,+1080.24+0.00507829d,+1280.34+0.00601946d,+1240.32+0.0058312d,+1200.3+0.00564296d,+1040.22+0.00489009d,+1200.3+0.00564296d,+1280.34+0.00601946d
2021-01-06 10:15:00 PST,+16617.4+0.0793085d,+9971.05+0.0254341d,+16255.8+0.0787225d,+16416.9+0.0795082d,+17383.8+0.0842256d,+20705.7+0.072871d,+16134.9+0.0781334d,+16457.1+0.0797046d,+16134.9+0.0781334d,+1760.64+0.00828347d,+1240.32+0.00583421d,+1440.43+0.00677605d,+1640.55+0.00771811d,+1160.28+0.00545754d,+1680.58+0.00790656d,+1200.3+0.00564587d,+1720.61+0.00809501d
2021-01-06 10:30:00 PST,+16738.3+0.0799683d,+7125.43+0.0175094d,+16054.4+0.0777838d,+16537.7+0.080142d,+21376.7+0.103805d,+17141.8+0.0827035d,+16537.7+0.080142d,+17988.4+0.0872254d,+16215.5+0.0785697d,+1240.32+0.00583811d,+1120.26+0.00527274d,+1240.32+0.00583811d,+2000.82+0.00942071d,+1120.26+0.00527274d,+2401.18+0.0113076d,+1160.28+0.00546119d,+1800.66+0.00847759d
2021-01-06 10:45:00 PST,+18430.6+0.087866d,+2400.67+0.00640246d,+15973.7+0.0771172d,+16416.7+0.0792709d,+21013.1+0.101663d,+18230+0.0880942d,+17786.6+0.0859355d,+17101.5+0.0826017d,+17826.9+0.0861317d,+1280.33+0.00600656d,+920.173+0.00431626d,+1320.36+0.00619442d,+1400.4+0.00657016d,+1200.29+0.00563087d,+1200.29+0.00563087d,+1080.24+0.00506741d,+1920.75+0.00901338d
2021-01-06 11:00:00 PST,+16858.9+0.0801907d,+800.121+0.00346396d,+16013.8+0.0770949d,+16456.8+0.0792426d,+20972.5+0.101179d,+16980.5+0.0817823d,+16658.2+0.0802192d,+16617.9+0.0800239d,+16577.7+0.0798285d,+960.188+0.00449725d,+1080.24+0.00505978d,+1320.36+0.00618509d,+1560.5+0.00731072d,+1240.31+0.00580995d,+1080.24+0.00505978d,+2000.82+0.00937525d,+1720.6+0.00806133d
2021-01-06 11:15:00 PST,+16697.7+0.0793482d,+3081.98+0.0147625d,+16054.1+0.077318d,+16497.1+0.0794666d,+18028.3+0.0868982d,+16899.9+0.0814209d,+16658.2+0.0802482d,+17987.9+0.0867025d,+21537.6+0.103968d,+920.173+0.00430596d,+1120.26+0.00524268d,+1280.33+0.00599223d,+1160.27+0.00543006d,+1120.26+0.00524268d,+960.188+0.00449329d,+2200.99+0.0103049d,+1520.47+0.00711681d
2021-01-06 11:30:00 PST,+16778.2+0.0796482d,+920.177+0.00440937d,+16013.9+0.0772244d,+16618+0.0801583d,+19842.9+0.0958441d,+16900+0.0815282d,+17418.2+0.0766793d,+16618+0.0801583d,+21981.8+0.106272d,+1280.33+0.0060051d,+1360.38+0.00638073d,+880.158+0.00412749d,+2241.03+0.0105151d,+2040.85+0.00957509d,+2200.5+0.00517775d,+2321.1+0.0108912d,+2241.03+0.0105151d
2021-01-06 11:45:00 PST,+16818.5+0.0798288d,+920.177+0.00440578d,+16054.1+0.0773562d,+16618+0.0800923d,+17182+0.0828304d,+16819.4+0.08107d,+16416.6+0.0791149d,+16658.3+0.0802878d,+22062.5+0.106578d,+1080.24+0.00506865d,+2040.85+0.00957977d,+680.095+0.00319059d,+1560.5+0.00732355d,+1960.79+0.00920364d,+6646.59+0.0227489d,+1280.34+0.00600803d,+2441.22+0.011461d
2021-01-06 12:00:00 PST,+18712.6+0.0890046d,+920.177+0.0044114d,+16336.1+0.0788254d,+17988.1+0.0868571d,+19076.6+0.0921556d,+16900.1+0.081566d,+17705.9+0.0854846d,+16779.2+0.0809786d,+22466.4+0.108687d,+1840.69+0.00863493d,+880.158+0.00412732d,+880.158+0.00412732d,+880.158+0.00412732d,+1160.27+0.00544149d,+5724.83+0.019389d,+1160.27+0.00544149d,+1360.38+0.00638046d
2021-01-06 12:15:00 PST,+16778.1+0.0794587d,+13679.2+0.0658008d,+18270.1+0.0880544d,+17786.4+0.0857058d,+18592.6+0.089621d,+16899.9+0.0814037d,+15933.3+0.0767161d,+7170.74+0.0343991d,+22991.2+0.11103d,+960.188+0.00448579d,+720.106+0.00336385d,+880.158+0.00411177d,+840.144+0.00392478d,+840.144+0.00392478d,+800.118+0.0033827d,+1120.26+0.00523393d,+1000.2+0.00467281d
2021-01-06 12:30:00 PST,+12110.1+0.057079d,+16496.8+0.0790745d,+6769.53+0.0323167d,+20891.3+0.100324d,+16899.7+0.081019d,+8535.16+0.0407756d,+15812.2+0.0757711d,+9016.92+0.0430858d,+22021.5+0.105802d,+720.105+0.00335771d,+760.117+0.00354434d,+680.094+0.0031711d,+1000.2+0.00466429d,+720.105+0.00335771d,+720.105+0.00335771d,+840.143+0.00391762d,+960.187+0.00447761d
2021-01-06 12:45:00 PST,+1240.31+0.00575512d,+16818.3+0.079557d,+2521.3+0.0118567d,+20849.7+0.0987924d,+1960.79+0.00921868d,+5887.11+0.027723d,+15690.7+0.0741885d,+5606.45+0.0263983d,+20405.9+0.0966718d,+560.063+0.00259068d,+680.093+0.00314606d,+640.083+0.00296092d,+680.093+0.00314606d,+1240.31+0.00573887d,+760.116+0.00351635d,+680.093+0.00314606d,+1040.22+0.00481267d
2021-01-06 13:00:00 PST,+4323.79+0.0201027d,+17180.9+0.0814229d,+680.095+0.0032012d,+19115.5+0.0906638d,+5887.12+0.0277699d,+1640.55+0.0077251d,+15811.6+0.0748907d,+5446.09+0.0256849d,+21657+0.102827d,+640.083+0.00296742d,+760.117+0.00352407d,+640.083+0.00296742d,+760.117+0.00352407d,+1800.66+0.00835175d,+720.105+0.00333851d,+640.083+0.00296742d,+840.143+0.00389522d
2021-01-06 13:15:00 PST,+2961.78+0.0137974d,+17865.8+0.0845701d,+880.159+0.00413728d,+7290.91+0.034362d,+5806.92+0.0273513d,+1840.69+0.00865578d,+16939.2+0.0801528d,+5165.47+0.0243236d,+21414.7+0.101519d,+600.073+0.00278458d,+640.083+0.00297029d,+720.105+0.00334174d,+680.093+0.00315601d,+4362.23+0.0117154d,+720.105+0.00334174d,+760.117+0.00352747d,+720.105+0.00334174d
2021-01-06 13:30:00 PST,+3802.92+0.0176468d,+16938.8+0.0796887d,+880.158+0.00411356d,+4283.74+0.0200486d,+6488.59+0.0303949d,+2761.55+0.0129165d,+18913.4+0.0890505d,+1160.27+0.00542335d,+9819.7+0.0460619d,+560.063+0.00259205d,+720.105+0.00333295d,+680.093+0.00314771d,+600.073+0.00277726d,+4482.37+0.0121427d,+640.083+0.00296248d,+960.186+0.00444458d,+760.116+0.0035182d
2021-01-06 13:45:00 PST,+600.073+0.00278413d,+17019.5+0.0801928d,+880.158+0.00411979d,+1200.29+0.00561899d,+5365.88+0.0251624d,+2761.56+0.012936d,+20123.2+0.0949389d,+2641.42+0.0123727d,+11547.3+0.0542865d,+560.063+0.00259454d,+720.105+0.00333616d,+680.093+0.00315074d,+800.129+0.00370703d,+1240.31+0.00574742d,+640.083+0.00296533d,+1040.22+0.00481983d,+1120.25+0.00519084d
2021-01-06 14:00:00 PST,+2321.08+0.0107294d,+17301.1+0.0810892d,+1040.22+0.00484319d,+520.055+0.00242083d,+2040.85+0.0095059d,+2080.88+0.00969253d,+20082.5+0.0942327d,+1400.4+0.00652111d,+7210.57+0.0336563d,+520.054+0.00240031d,+720.104+0.00332391d,+600.072+0.00276973d,+800.129+0.00369341d,+1080.23+0.00498695d,+640.082+0.00295445d,+760.116+0.00350866d,+640.082+0.00295445d
2021-01-06 14:15:00 PST,+3682.74+0.0170939d,+18268.3+0.0858039d,+2881.69+0.01345d,+960.187+0.00447807d,+3963.19+0.0185059d,+2361.13+0.011018d,+11748.2+0.0550322d,+1600.52+0.00746637d,+6969.89+0.0325855d,+600.073+0.00277576d,+680.093+0.00314601d,+520.054+0.00240554d,+560.063+0.00259064d,+1000.2+0.00462738d,+640.083+0.00296088d,+720.104+0.00333115d,+600.073+0.00277576d
