# file...... Meter_611_C_Power.real.csv
# date...... Wed May 12 05:38:12 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_611_C:measured_power.real,xfmr_meter_611_C_1:measured_power.real,xfmr_meter_611_C_2:measured_power.real,xfmr_meter_611_C_3:measured_power.real,xfmr_meter_611_C_4:measured_power.real,xfmr_meter_611_C_5:measured_power.real,house_meter_611_C_1:measured_power.real,house_meter_611_C_2:measured_power.real,house_meter_611_C_3:measured_power.real,house_meter_611_C_4:measured_power.real,house_meter_611_C_5:measured_power.real,house_meter_611_C_6:measured_power.real,house_meter_611_C_7:measured_power.real,house_meter_611_C_8:measured_power.real,house_meter_611_C_9:measured_power.real,house_meter_611_C_10:measured_power.real,house_meter_611_C_11:measured_power.real,house_meter_611_C_12:measured_power.real,house_meter_611_C_13:measured_power.real,house_meter_611_C_14:measured_power.real,house_meter_611_C_15:measured_power.real,house_meter_611_C_16:measured_power.real,house_meter_611_C_17:measured_power.real,house_meter_611_C_18:measured_power.real,house_meter_611_C_19:measured_power.real
2021-01-06 03:00:00 PST,5.2918e+004,1.1303e+004,4.3227e+003,6.8883e+003,8.6131e+003,2.1791e+004,5.6006e+002,1.2403e+003,2.4001e+002,2.0001e+002,2.4001e+002,2.5213e+003,3.1220e+003,3.1621e+003,4.8005e+002,4.0003e+002,4.8005e+002,6.8010e+002,6.8010e+002,5.2006e+002,4.0003e+002,6.8010e+002,2.8002e+002,3.2002e+002,4.4004e+002
2021-01-06 03:15:00 PST,6.0165e+004,1.1668e+004,8.4917e+003,6.3661e+003,7.3682e+003,2.6271e+004,5.6006e+002,1.2403e+003,2.2410e+003,2.8002e+002,2.0001e+002,5.0854e+003,1.9208e+003,1.2000e+002,1.5205e+003,4.4004e+002,1.7606e+003,4.4004e+002,3.6003e+002,4.8005e+002,1.9208e+003,1.5605e+003,4.0003e+002,7.6012e+002,6.0007e+002
2021-01-06 03:30:00 PST,5.6654e+004,1.6971e+004,4.0427e+003,6.2061e+003,9.2538e+003,2.0180e+004,1.6001e+002,3.0820e+003,1.6001e+002,2.3612e+003,1.2000e+002,2.6414e+003,5.0853e+003,3.3223e+003,3.2002e+002,6.4008e+002,3.6003e+002,2.4001e+002,2.0001e+002,3.6003e+002,6.4008e+002,1.2803e+003,5.6006e+002,6.0007e+002,3.6003e+002
2021-01-06 03:45:00 PST,6.0246e+004,1.7776e+004,5.0449e+003,4.2428e+003,9.0125e+003,2.4169e+004,1.2403e+003,1.1203e+003,2.4813e+003,2.0001e+002,5.6006e+002,6.0877e+003,3.5626e+003,2.4813e+003,6.4008e+002,4.0003e+002,3.2002e+002,4.0003e+002,4.8005e+002,3.6003e+002,2.0001e+002,2.2410e+003,4.4004e+002,2.0001e+002,3.6003e+002
2021-01-06 04:00:00 PST,5.5845e+004,1.3388e+004,5.2848e+003,6.5670e+003,8.8947e+003,2.1709e+004,8.8016e+002,1.7606e+003,1.6001e+002,2.3612e+003,6.8010e+002,2.6014e+003,2.4813e+003,2.4412e+003,6.8010e+002,2.0001e+002,4.4004e+002,6.0007e+002,7.2011e+002,5.6006e+002,2.0001e+002,1.8807e+003,3.6003e+002,5.6006e+002,4.8005e+002
2021-01-06 04:15:00 PST,5.6687e+004,1.2675e+004,4.4028e+003,6.1656e+003,5.4844e+003,2.7959e+004,8.4015e+002,1.1203e+003,4.0003e+002,1.6001e+002,2.4001e+002,1.3204e+003,6.1278e+003,2.4412e+003,5.2006e+002,4.8005e+002,6.4008e+002,4.8005e+002,4.4004e+002,6.4008e+002,7.2011e+002,4.8005e+002,5.6006e+002,6.4008e+002,4.0003e+002
2021-01-06 04:30:00 PST,7.1514e+004,3.3796e+004,4.3632e+003,7.3282e+003,5.8049e+003,2.0221e+004,1.1603e+003,4.0434e+003,2.0809e+003,3.2822e+003,2.4012e+003,3.9633e+003,1.5974e+004,7.2011e+002,3.2002e+002,6.4008e+002,4.4004e+002,3.6003e+002,2.0001e+002,3.2002e+002,6.4008e+002,1.4404e+003,4.4004e+002,4.0003e+002,1.2003e+003
2021-01-06 04:45:00 PST,6.6890e+004,2.8757e+004,3.5220e+003,5.4846e+003,6.2056e+003,2.2920e+004,2.4001e+002,2.3211e+003,1.2803e+003,3.4425e+003,2.0001e+002,2.4813e+003,1.5973e+004,2.6815e+003,3.2002e+002,4.8005e+002,2.0001e+002,3.6003e+002,4.0003e+002,2.0001e+002,4.4004e+002,1.1203e+003,3.2002e+002,3.6003e+002,9.2018e+002
2021-01-06 05:00:00 PST,6.9233e+004,3.5365e+004,3.8423e+003,5.6448e+003,5.1238e+003,1.9257e+004,2.5213e+003,2.3211e+003,2.5213e+003,2.6014e+003,2.2811e+003,4.5243e+003,1.5812e+004,2.6014e+003,5.2006e+002,2.0001e+002,4.0003e+002,5.2006e+002,6.8010e+002,5.6006e+002,2.0001e+002,7.6012e+002,3.6003e+002,5.6006e+002,4.4004e+002
2021-01-06 05:15:00 PST,7.4686e+004,2.7735e+004,4.0824e+003,1.4861e+004,5.8451e+003,2.2161e+004,7.2011e+002,1.2403e+003,2.5614e+003,2.5213e+003,1.6001e+002,3.2021e+003,1.4725e+004,2.4813e+003,6.4008e+002,4.0003e+002,6.4008e+002,4.4004e+002,4.8005e+002,6.4008e+002,4.8005e+002,3.6003e+002,6.0007e+002,9.6193e+003,3.2002e+002
2021-01-06 05:30:00 PST,7.7698e+004,2.4017e+004,5.0844e+003,1.7900e+004,6.7268e+003,2.3969e+004,1.5605e+003,2.0809e+003,2.0001e+002,2.4412e+003,5.5264e+003,2.8417e+003,6.8097e+003,2.4813e+003,5.6007e+002,6.8010e+002,5.2006e+002,3.6003e+002,2.4001e+002,1.7606e+003,6.4009e+002,3.2002e+002,5.6007e+002,1.2834e+004,4.8005e+002
2021-01-06 05:45:00 PST,9.9526e+004,3.4311e+004,3.6020e+003,1.8264e+004,1.3730e+004,2.9617e+004,2.4413e+003,1.8407e+003,3.3223e+003,5.4061e+003,3.8030e+003,4.9652e+003,9.9007e+003,2.4813e+003,3.6003e+002,4.8005e+002,1.6001e+002,8.4015e+002,4.4004e+002,2.0001e+002,4.4004e+002,6.8010e+002,2.0001e+002,1.2996e+004,6.8010e+002
2021-01-06 06:00:00 PST,1.1054e+005,4.8830e+004,3.3617e+003,1.8225e+004,1.7648e+004,2.2476e+004,2.2811e+003,2.2811e+003,2.6415e+003,1.5813e+004,1.6578e+004,3.5226e+003,5.1656e+003,2.0001e+002,3.2002e+002,2.0001e+002,3.6003e+002,4.4004e+002,5.6007e+002,3.6003e+002,3.6003e+002,7.6012e+002,2.8002e+002,1.3076e+004,4.0003e+002
2021-01-06 06:15:00 PST,1.1102e+005,4.7093e+004,3.9623e+003,2.0394e+004,1.7085e+004,2.2481e+004,2.1610e+003,2.2811e+003,2.6415e+003,1.6860e+004,1.5934e+004,3.8031e+003,4.4004e+002,2.6415e+003,5.2006e+002,3.2002e+002,6.4009e+002,4.8005e+002,4.8005e+002,6.8010e+002,4.4004e+002,4.0003e+002,7.6012e+002,1.2875e+004,3.6003e+002
2021-01-06 06:30:00 PST,1.1202e+005,4.8258e+004,8.0956e+003,2.0770e+004,1.6281e+004,1.8611e+004,2.2411e+003,2.2010e+003,3.0019e+003,1.5894e+004,1.5974e+004,5.1657e+003,8.0014e+002,2.6415e+003,6.0008e+002,7.2011e+002,5.6007e+002,3.6003e+002,4.5243e+003,5.2006e+002,5.2006e+002,2.8002e+002,6.8010e+002,1.4283e+004,6.0008e+002
2021-01-06 06:45:00 PST,1.1723e+005,5.7178e+004,5.5254e+003,1.8911e+004,1.1191e+004,2.4419e+004,2.2411e+003,2.1610e+003,2.8417e+003,1.5089e+004,1.5935e+004,1.4244e+004,4.0003e+002,3.8031e+003,5.2006e+002,5.6007e+002,2.0001e+002,6.0008e+002,1.9208e+003,2.8002e+002,4.8005e+002,9.6020e+002,6.8010e+002,1.3237e+004,6.4009e+002
2021-01-06 07:00:00 PST,1.2223e+005,4.8323e+004,2.1012e+004,1.9876e+004,1.3162e+004,1.9859e+004,2.2811e+003,2.7216e+003,3.6003e+002,9.5796e+003,1.1669e+004,1.6257e+004,2.6014e+003,2.5214e+003,4.0003e+002,1.6001e+002,2.4001e+002,1.6406e+003,1.3921e+004,3.2002e+002,3.6003e+002,3.8832e+003,9.6020e+002,1.3278e+004,3.6003e+002
2021-01-06 07:15:00 PST,1.6945e+005,5.0277e+004,3.0187e+004,3.5042e+004,1.3360e+004,4.0576e+004,2.3612e+003,2.3212e+003,2.7216e+003,1.1026e+004,1.1067e+004,1.6419e+004,1.4404e+003,2.5614e+003,3.2002e+002,1.1203e+003,6.8010e+002,1.0665e+004,1.4244e+004,5.6007e+002,4.8005e+002,1.9608e+003,1.4805e+003,1.0263e+004,2.4001e+002
2021-01-06 07:30:00 PST,2.1341e+005,4.6992e+004,6.7074e+004,5.5162e+004,1.9278e+004,2.4900e+004,2.2811e+003,5.6870e+003,3.2002e+002,4.3641e+003,9.8611e+003,1.7708e+004,6.0880e+003,3.6003e+002,1.1549e+004,1.2804e+003,1.2957e+004,1.3278e+004,1.4244e+004,5.6007e+002,4.8005e+002,1.2112e+004,1.3238e+004,3.0821e+003,4.4004e+002
2021-01-06 07:45:00 PST,2.7665e+005,4.5643e+004,8.3715e+004,7.9926e+004,4.1893e+004,2.5464e+004,2.2411e+003,1.1831e+004,4.7650e+003,3.2002e+002,4.4004e+002,1.4849e+004,5.7674e+003,5.1258e+003,1.3722e+004,9.5001e+003,1.4567e+004,1.4648e+004,1.4366e+004,6.0008e+002,4.4004e+002,1.4930e+004,1.4406e+004,1.2958e+004,5.2006e+002
2021-01-06 08:00:00 PST,3.1489e+005,5.6985e+004,9.4393e+004,7.4214e+004,6.0740e+004,2.8546e+004,2.9219e+003,9.5403e+003,1.6179e+004,2.4001e+002,2.4001e+002,6.1284e+003,5.2461e+003,1.6017e+004,1.1510e+004,1.2797e+004,1.3280e+004,1.3481e+004,1.4044e+004,4.8005e+002,1.2837e+004,1.4809e+004,1.4004e+004,5.2061e+003,3.6003e+002
2021-01-06 08:15:00 PST,3.1600e+005,5.7993e+004,7.3304e+004,7.5952e+004,7.5071e+004,3.3669e+004,3.7632e+003,6.4894e+003,1.5897e+004,2.4001e+002,5.6007e+002,8.0143e+003,6.3690e+003,1.6179e+004,3.2423e+003,1.4769e+004,1.2877e+004,1.3239e+004,3.5228e+003,5.7273e+003,1.3923e+004,5.2862e+003,5.2862e+003,1.4165e+004,4.0004e+002
2021-01-06 08:30:00 PST,2.8895e+005,4.6817e+004,5.5793e+004,7.4534e+004,7.9206e+004,3.2592e+004,3.1221e+003,2.4413e+003,1.5010e+004,3.2002e+002,7.2011e+002,2.2811e+003,6.4091e+003,1.6178e+004,3.4026e+003,1.3239e+004,3.6029e+003,1.2837e+004,1.2403e+003,1.6406e+003,8.2149e+003,1.1188e+004,5.0056e+003,1.3722e+004,3.4827e+003
2021-01-06 08:45:00 PST,3.0624e+005,3.8873e+004,6.8846e+004,8.5522e+004,7.8804e+004,3.4190e+004,2.4814e+003,3.6029e+003,1.2917e+004,3.2002e+002,3.6003e+002,8.8017e+002,5.5267e+003,1.2555e+004,3.3625e+003,1.3118e+004,9.5402e+003,1.3239e+004,9.0181e+003,1.5205e+003,3.4026e+003,1.5010e+004,4.7250e+003,1.0263e+004,1.5333e+004
2021-01-06 09:00:00 PST,2.9633e+005,3.8729e+004,6.1240e+004,9.7802e+004,6.9478e+004,2.9070e+004,3.5227e+003,1.1203e+003,1.3359e+004,6.0079e+003,1.6406e+003,5.2006e+002,3.3224e+003,9.0179e+003,3.5227e+003,1.2434e+004,4.4844e+003,1.3641e+004,8.8172e+003,1.6406e+003,4.0035e+003,1.2193e+004,9.2993e+003,1.7791e+004,1.4487e+004
2021-01-06 09:15:00 PST,2.6796e+005,2.6372e+004,5.9003e+004,8.3935e+004,6.5136e+004,3.3508e+004,4.4042e+003,1.9608e+003,8.3753e+003,4.8050e+003,4.8005e+002,5.2006e+002,5.4866e+003,2.4001e+002,7.3318e+003,1.2796e+004,4.6047e+003,1.5332e+004,2.5214e+003,1.7607e+003,4.2440e+003,9.9418e+003,5.4866e+003,1.5493e+004,1.4326e+004
2021-01-06 09:30:00 PST,2.6089e+005,2.5712e+004,7.0172e+004,7.0559e+004,6.5460e+004,2.8981e+004,2.9619e+003,1.6806e+003,3.5628e+003,6.4491e+003,2.3212e+003,3.0020e+003,5.4064e+003,2.4001e+002,8.5762e+003,1.4285e+004,1.2877e+004,1.3520e+004,3.7631e+003,1.5605e+003,7.4523e+003,7.4924e+003,5.5267e+003,1.3963e+004,1.3802e+004
2021-01-06 09:45:00 PST,2.4888e+005,1.8778e+004,6.3937e+004,7.1911e+004,6.2772e+004,3.1473e+004,3.0020e+003,1.7607e+003,2.4413e+003,2.6415e+003,4.8005e+002,4.1237e+003,3.4426e+003,8.4015e+002,6.6096e+003,1.5614e+004,1.3078e+004,3.2423e+003,4.9253e+003,2.3612e+003,1.2756e+004,4.8051e+003,8.1747e+003,1.4365e+004,1.4003e+004
2021-01-06 10:00:00 PST,2.2317e+005,2.5842e+004,3.3494e+004,7.3560e+004,6.2747e+004,2.7525e+004,2.7616e+003,1.1203e+003,2.3212e+003,5.0455e+003,7.2011e+002,7.8935e+003,5.6068e+003,2.8002e+002,3.3624e+003,7.0508e+003,4.1638e+003,3.2423e+003,3.7631e+003,4.6046e+003,2.2411e+003,4.9253e+003,3.3625e+003,1.7225e+004,1.4405e+004
2021-01-06 10:15:00 PST,2.5930e+005,3.0003e+004,7.1032e+004,6.8458e+004,5.7425e+004,3.2376e+004,2.4813e+003,1.6006e+003,1.8407e+003,2.8818e+003,5.7271e+003,9.4595e+003,5.5667e+003,3.2002e+002,8.6966e+003,1.3118e+004,8.0944e+003,4.8005e+002,3.0020e+003,1.2193e+004,1.3239e+004,1.1549e+004,4.0436e+003,1.7185e+004,1.4486e+004
2021-01-06 10:30:00 PST,2.6512e+005,2.1879e+004,7.5147e+004,7.1206e+004,6.2050e+004,3.4830e+004,3.4826e+003,1.4004e+003,7.2011e+002,4.4042e+003,4.0836e+003,3.5227e+003,3.4426e+003,7.6013e+002,1.3198e+004,8.4959e+003,5.8475e+003,1.0803e+003,3.2824e+003,1.6178e+004,1.4567e+004,1.1750e+004,4.1638e+003,1.8597e+004,1.4164e+004
2021-01-06 10:45:00 PST,2.2897e+005,2.0229e+004,5.3508e+004,6.4052e+004,6.0214e+004,3.0966e+004,2.9218e+003,1.0002e+003,2.1610e+003,2.4413e+003,3.3624e+003,5.5667e+003,2.8002e+002,2.4413e+003,1.5605e+003,5.4866e+003,2.5614e+003,1.9608e+003,7.6929e+003,1.3963e+004,1.4083e+004,5.8074e+003,3.0420e+003,1.1992e+004,1.0986e+004
2021-01-06 11:00:00 PST,2.1319e+005,2.6762e+004,5.5501e+004,4.9543e+004,5.6711e+004,2.4664e+004,2.1210e+003,2.2411e+003,2.8017e+003,2.6415e+003,2.8417e+003,6.0479e+003,7.2113e+003,7.6012e+002,3.5227e+003,3.5227e+003,2.2811e+003,2.9619e+003,1.1630e+004,1.2635e+004,1.4446e+004,4.0836e+003,6.4490e+003,6.4009e+002,1.4808e+004
2021-01-06 11:15:00 PST,1.7967e+005,2.2124e+004,3.5089e+004,4.7959e+004,5.1325e+004,2.3171e+004,6.0008e+002,7.2011e+002,8.4015e+002,2.7216e+003,4.1637e+003,4.2839e+003,2.8818e+003,5.8474e+003,2.5214e+003,6.6897e+003,4.8005e+002,2.6815e+003,8.6562e+003,4.2439e+003,7.2514e+003,2.4012e+003,8.4956e+003,2.5614e+003,8.7767e+003
2021-01-06 11:30:00 PST,2.0149e+005,2.3047e+004,4.0036e+004,5.0283e+004,5.5985e+004,3.2133e+004,1.8808e+003,2.3212e+003,2.5614e+003,3.0821e+003,4.5244e+003,5.3662e+003,4.4004e+002,2.8017e+003,3.1622e+003,1.3600e+004,6.4009e+002,4.5244e+003,1.1911e+004,1.6406e+003,9.2018e+002,3.4025e+003,3.9634e+003,3.6829e+003,9.6603e+003
2021-01-06 11:45:00 PST,1.9964e+005,2.2167e+004,4.5911e+004,4.7265e+004,5.8824e+004,2.5469e+004,3.6003e+002,1.4004e+003,2.8002e+002,5.0856e+003,4.0035e+003,5.6469e+003,3.3224e+003,2.0009e+003,2.0009e+003,1.6258e+004,3.6003e+002,3.9233e+003,7.8935e+003,7.0508e+003,3.1622e+003,4.9654e+003,5.2861e+003,4.9253e+003,8.3351e+003
2021-01-06 12:00:00 PST,1.9082e+005,1.3551e+004,4.3652e+004,5.3518e+004,5.5107e+004,2.4984e+004,1.6806e+003,1.2403e+003,6.8010e+002,8.4015e+002,3.0420e+003,4.8005e+002,2.8818e+003,2.6815e+003,4.6848e+003,8.7767e+003,4.4004e+002,4.9253e+003,2.6816e+003,1.2916e+004,3.0821e+003,5.8875e+003,2.9219e+003,3.6429e+003,1.5291e+004
2021-01-06 12:15:00 PST,1.8642e+005,2.1473e+004,3.4877e+004,4.8423e+004,5.3227e+004,2.8413e+004,4.4004e+002,2.8418e+003,2.3212e+003,2.8017e+003,2.9619e+003,3.5628e+003,2.8818e+003,3.6028e+003,2.2811e+003,2.6816e+003,6.4009e+002,2.6415e+003,3.3224e+003,1.3158e+004,2.0409e+003,7.9338e+003,3.6830e+003,5.0055e+003,6.0079e+003
2021-01-06 12:30:00 PST,1.7564e+005,2.3139e+004,2.7564e+004,3.6731e+004,5.5397e+004,3.2810e+004,1.2403e+003,1.6006e+003,6.4009e+002,2.7216e+003,8.4015e+002,5.8474e+003,2.8017e+003,7.3718e+003,3.2423e+003,3.5628e+003,6.4009e+002,3.4826e+003,3.3224e+003,6.9304e+003,2.3612e+003,3.9233e+003,3.4826e+003,4.1638e+003,3.2423e+003
2021-01-06 12:45:00 PST,1.6713e+005,2.3010e+004,2.3849e+004,4.4191e+004,5.3401e+004,2.2679e+004,6.8010e+002,1.1603e+003,2.8017e+003,1.8407e+003,2.6415e+003,6.7699e+003,2.9218e+003,4.1237e+003,2.2411e+003,3.8031e+003,8.0014e+002,2.8417e+003,2.9619e+003,2.4813e+003,3.8832e+003,4.7649e+003,5.6068e+003,4.7248e+003,3.5627e+003
2021-01-06 13:00:00 PST,1.7644e+005,2.3096e+004,3.0680e+004,5.3039e+004,4.5404e+004,2.4219e+004,1.2403e+003,2.4413e+003,4.0003e+002,2.2811e+003,2.9218e+003,8.0941e+003,2.5214e+003,3.1221e+003,2.0009e+003,3.2823e+003,1.4404e+003,1.8808e+003,3.8833e+003,9.2184e+003,3.6028e+003,5.2459e+003,6.7298e+003,3.2823e+003,1.1268e+004
2021-01-06 13:15:00 PST,1.5495e+005,2.0639e+004,2.0144e+004,4.0625e+004,4.9692e+004,2.3853e+004,4.0003e+002,1.1603e+003,6.7297e+003,2.7616e+003,3.6003e+002,4.2038e+003,1.0402e+003,3.9233e+003,3.7630e+003,3.5627e+003,6.4009e+002,2.0009e+003,2.6014e+003,1.5605e+003,3.7630e+003,2.2010e+003,4.6847e+003,6.0479e+003,9.3388e+003
2021-01-06 13:30:00 PST,1.6012e+005,2.2396e+004,3.5184e+004,3.7575e+004,4.2883e+004,2.2077e+004,2.3212e+003,2.3612e+003,2.9218e+003,3.0820e+003,2.8017e+003,4.0435e+003,2.0809e+003,2.7216e+003,2.5214e+003,2.5214e+003,8.6963e+003,2.3612e+003,1.8407e+003,1.1428e+004,2.4413e+003,3.2022e+003,4.5645e+003,3.8031e+003,3.6429e+003
2021-01-06 13:45:00 PST,1.5004e+005,1.9353e+004,3.1179e+004,4.2251e+004,4.0574e+004,1.6682e+004,3.6003e+002,1.4404e+003,7.1710e+003,3.6003e+002,2.7616e+003,4.0836e+003,2.8818e+003,2.4001e+002,2.7616e+003,4.8050e+003,1.1669e+004,6.8010e+002,2.0809e+003,4.0034e+003,2.8017e+003,2.2411e+003,4.4843e+003,1.1509e+004,4.9252e+003
2021-01-06 14:00:00 PST,1.7160e+005,2.3535e+004,2.4332e+004,4.4444e+004,4.5350e+004,3.3939e+004,8.4015e+002,1.9608e+003,5.1257e+003,2.9218e+003,5.2006e+002,6.5693e+003,2.8417e+003,2.6815e+003,4.5645e+003,2.3212e+003,2.0009e+003,2.1210e+003,2.1210e+003,4.8851e+003,3.1622e+003,3.0820e+003,4.5244e+003,4.2038e+003,4.8050e+003
2021-01-06 14:15:00 PST,1.6582e+005,3.2580e+004,3.1222e+004,3.1879e+004,4.7262e+004,2.2873e+004,6.0008e+002,3.2823e+003,5.1257e+003,4.4443e+003,9.2987e+003,5.0856e+003,2.9218e+003,1.6806e+003,2.0809e+003,5.6007e+002,4.8851e+003,4.8005e+002,4.1637e+003,6.9304e+003,1.6406e+003,1.0343e+004,5.3662e+003,2.2411e+003,5.4865e+003
2021-01-06 14:30:00 PST,1.4291e+005,2.4941e+004,1.8093e+004,3.4076e+004,4.1181e+004,2.4620e+004,1.2003e+003,2.0009e+003,2.7616e+003,3.6003e+002,1.2876e+004,1.4805e+003,1.4805e+003,2.6815e+003,2.6014e+003,7.2011e+002,3.1221e+003,1.8007e+003,1.7206e+003,4.0034e+003,9.2018e+002,3.1621e+003,3.1221e+003,3.0820e+003,1.0182e+004
