# file...... Meter_684_C_Power.real.csv
# date...... Wed May 12 05:38:12 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_C:measured_power.real,xfmr_meter_684_C_1:measured_power.real,xfmr_meter_684_C_2:measured_power.real,xfmr_meter_684_C_3:measured_power.real,xfmr_meter_684_C_4:measured_power.real,xfmr_meter_684_C_5:measured_power.real,house_meter_684_C_1:measured_power.real,house_meter_684_C_2:measured_power.real,house_meter_684_C_3:measured_power.real,house_meter_684_C_4:measured_power.real,house_meter_684_C_5:measured_power.real,house_meter_684_C_6:measured_power.real,house_meter_684_C_7:measured_power.real,house_meter_684_C_8:measured_power.real,house_meter_684_C_9:measured_power.real,house_meter_684_C_10:measured_power.real,house_meter_684_C_11:measured_power.real,house_meter_684_C_12:measured_power.real,house_meter_684_C_13:measured_power.real,house_meter_684_C_14:measured_power.real,house_meter_684_C_15:measured_power.real,house_meter_684_C_16:measured_power.real,house_meter_684_C_17:measured_power.real,house_meter_684_C_18:measured_power.real,house_meter_684_C_19:measured_power.real
2021-01-06 00:00:00 PST,6.0690e+004,1.2306e+004,9.0951e+003,7.5308e+003,1.5960e+004,1.5798e+004,2.1610e+003,2.6815e+003,3.2822e+003,2.0809e+003,5.6006e+002,4.4004e+002,4.8005e+002,6.0007e+002,7.2011e+002,1.0002e+003,3.6427e+003,5.2006e+002,6.0007e+002,1.6004e+003,5.2006e+002,4.8005e+002,6.0007e+002,4.8005e+002,3.2002e+002
2021-01-06 00:15:00 PST,6.2140e+004,1.6167e+004,7.4891e+003,6.5265e+003,1.6161e+004,1.5797e+004,2.0809e+003,5.4862e+003,3.5226e+003,2.0809e+003,3.6003e+002,1.5605e+003,5.6006e+002,4.8005e+002,7.2011e+002,1.0402e+003,2.2010e+003,4.0003e+002,5.2006e+002,1.6404e+003,4.8005e+002,4.8005e+002,7.6012e+002,5.6006e+002,4.0003e+002
2021-01-06 00:30:00 PST,5.7851e+004,1.7293e+004,5.7651e+003,5.2041e+003,1.3751e+004,1.5837e+004,2.0409e+003,3.8430e+003,5.6065e+003,2.5614e+003,5.2006e+002,1.9208e+003,3.6003e+002,4.0003e+002,4.4004e+002,1.1603e+003,4.4004e+002,5.2006e+002,4.4004e+002,1.5604e+003,6.8010e+002,5.2006e+002,4.0003e+002,3.2002e+002,9.6019e+002
2021-01-06 00:45:00 PST,6.3320e+004,1.8864e+004,5.9656e+003,5.8857e+003,1.4435e+004,1.8169e+004,5.3659e+003,2.8417e+003,5.4862e+003,2.8016e+003,6.8010e+002,4.0003e+002,6.0007e+002,6.4008e+002,5.6006e+002,1.1203e+003,6.0007e+002,4.8005e+002,6.0007e+002,1.7605e+003,4.4004e+002,4.0003e+002,4.0003e+002,4.4004e+002,4.4004e+002
2021-01-06 01:00:00 PST,5.7569e+004,1.4114e+004,5.9254e+003,4.1626e+003,1.5520e+004,1.7847e+004,2.4012e+003,3.3223e+003,3.3223e+003,2.7215e+003,5.6006e+002,6.4008e+002,6.0007e+002,5.2006e+002,6.8010e+002,1.1203e+003,6.0007e+002,4.0003e+002,5.2006e+002,1.6404e+003,4.4004e+002,5.2006e+002,6.0007e+002,4.8005e+002,3.2002e+002
2021-01-06 01:15:00 PST,5.5964e+004,1.6249e+004,5.7651e+003,5.0840e+003,1.3390e+004,1.5476e+004,2.1610e+003,3.4825e+003,2.8417e+003,5.8872e+003,4.4004e+002,4.8005e+002,4.0003e+002,5.2006e+002,5.6006e+002,1.1603e+003,4.4004e+002,5.2006e+002,4.8005e+002,1.5604e+003,5.2006e+002,5.2006e+002,6.4008e+002,2.8002e+002,3.2002e+002
2021-01-06 01:30:00 PST,5.5843e+004,1.6289e+004,5.5247e+003,5.5652e+003,1.2828e+004,1.5636e+004,2.0409e+003,4.2036e+003,5.7268e+003,2.0008e+003,6.4008e+002,5.6006e+002,4.8005e+002,6.0007e+002,4.4004e+002,1.0002e+003,4.0003e+002,4.8005e+002,6.8009e+002,1.6004e+003,5.2006e+002,4.0003e+002,4.0003e+002,3.6003e+002,8.0013e+002
2021-01-06 01:45:00 PST,5.8936e+004,1.5445e+004,5.7651e+003,5.9662e+003,1.4194e+004,1.7566e+004,2.0809e+003,6.0074e+003,3.0419e+003,2.0008e+003,5.6006e+002,6.4008e+002,5.6006e+002,5.2006e+002,5.6006e+002,1.0002e+003,6.4008e+002,4.8005e+002,5.2006e+002,1.5604e+003,4.0003e+002,6.0007e+002,4.4004e+002,3.6003e+002,5.2006e+002
2021-01-06 02:00:00 PST,6.0944e+004,1.5529e+004,6.0856e+003,8.5728e+003,1.3110e+004,1.7646e+004,2.0809e+003,2.6815e+003,6.8497e+003,2.1209e+003,4.4004e+002,5.2006e+002,3.6003e+002,4.4004e+002,4.0003e+002,1.1603e+003,7.2011e+002,6.8010e+002,4.0003e+002,1.5604e+003,5.6006e+002,6.0007e+002,8.8016e+002,2.4001e+002,3.6003e+002
2021-01-06 02:15:00 PST,5.5476e+004,1.2586e+004,5.4847e+003,6.2071e+003,1.2828e+004,1.8370e+004,3.0019e+003,2.7616e+003,2.6014e+003,2.0409e+003,6.8010e+002,4.4004e+002,4.4004e+002,6.0007e+002,4.0003e+002,9.6019e+002,4.8005e+002,4.8005e+002,7.6012e+002,1.5604e+003,4.4004e+002,4.0003e+002,4.4004e+002,4.4004e+002,3.2002e+002
2021-01-06 02:30:00 PST,5.6243e+004,1.4759e+004,5.7651e+003,5.3644e+003,1.2507e+004,1.7848e+004,4.8448e+003,2.6414e+003,2.9218e+003,2.1209e+003,6.0007e+002,5.2006e+002,6.4008e+002,4.4004e+002,6.8010e+002,1.0402e+003,5.2006e+002,3.6003e+002,5.2006e+002,1.6404e+003,5.2006e+002,4.8005e+002,3.6003e+002,2.4001e+002,5.2006e+002
2021-01-06 02:45:00 PST,5.9337e+004,1.5685e+004,6.4463e+003,5.9253e+003,1.3472e+004,1.7808e+004,2.0809e+003,3.0019e+003,2.8417e+003,5.6466e+003,4.0003e+002,6.0007e+002,5.2006e+002,5.6006e+002,5.2006e+002,1.3204e+003,5.6006e+002,6.0007e+002,6.4008e+002,1.6004e+003,6.4008e+002,5.6006e+002,5.2006e+002,3.6003e+002,9.2017e+002
2021-01-06 03:00:00 PST,5.9915e+004,1.7543e+004,5.7251e+003,4.8441e+003,1.3510e+004,1.8292e+004,2.1209e+003,7.9731e+003,3.3623e+003,2.0809e+003,4.0003e+002,4.0003e+002,4.8005e+002,6.8010e+002,4.4004e+002,1.0402e+003,5.6006e+002,4.0003e+002,6.8010e+002,1.7204e+003,5.2006e+002,3.6003e+002,1.1603e+003,4.8005e+002,2.8002e+002
2021-01-06 03:15:00 PST,5.8781e+004,1.8381e+004,5.5248e+003,5.2844e+003,1.3270e+004,1.6321e+004,2.0409e+003,3.8030e+003,6.5288e+003,2.2410e+003,7.2011e+002,4.4004e+002,5.6006e+002,2.0008e+003,5.6006e+002,9.6019e+002,3.6003e+002,4.0003e+002,7.6012e+002,1.6404e+003,4.0003e+002,4.4004e+002,4.4004e+002,2.4001e+002,4.0003e+002
2021-01-06 03:30:00 PST,5.4195e+004,1.5120e+004,6.0455e+003,5.0039e+003,1.2709e+004,1.5317e+004,2.1209e+003,3.8030e+003,4.1636e+003,2.8417e+003,6.8010e+002,6.8010e+002,3.6003e+002,4.4004e+002,4.8005e+002,1.1203e+003,6.0007e+002,6.0007e+002,5.2006e+002,1.5604e+003,4.8005e+002,6.8010e+002,3.2002e+002,4.4004e+002,7.2011e+002
2021-01-06 03:45:00 PST,5.3351e+004,1.5119e+004,5.4447e+003,5.0844e+003,1.3391e+004,1.4312e+004,2.0008e+003,3.1621e+003,3.7229e+003,3.6828e+003,3.6003e+002,5.2006e+002,4.4004e+002,1.2003e+003,4.0003e+002,1.0802e+003,5.6006e+002,4.0003e+002,4.0003e+002,1.6004e+003,5.2006e+002,4.8005e+002,7.6012e+002,2.4001e+002,8.4015e+002
2021-01-06 04:00:00 PST,5.6451e+004,1.9506e+004,5.8454e+003,5.6447e+003,1.2668e+004,1.2786e+004,5.7669e+003,3.6027e+003,3.1621e+003,4.0033e+003,5.6006e+002,5.2006e+002,6.0007e+002,1.2403e+003,7.2011e+002,9.6019e+002,4.0003e+002,5.2006e+002,4.8005e+002,1.8405e+003,4.8005e+002,4.4004e+002,6.0007e+002,7.2011e+002,4.0003e+002
2021-01-06 04:15:00 PST,5.6024e+004,2.1848e+004,6.6065e+003,4.6032e+003,1.4795e+004,8.1702e+003,2.1209e+003,7.6522e+003,2.7215e+003,5.6065e+003,5.6006e+002,6.0007e+002,4.8005e+002,2.0409e+003,6.0007e+002,8.8016e+002,6.4008e+002,6.8010e+002,5.6006e+002,1.5604e+003,1.0802e+003,6.0007e+002,2.4001e+002,8.0013e+002,4.0003e+002
2021-01-06 04:30:00 PST,4.7650e+004,1.4916e+004,7.1688e+003,4.9643e+003,1.4274e+004,6.3259e+003,2.1209e+003,3.5226e+003,2.9218e+003,2.1209e+003,5.2006e+002,5.2006e+002,5.2006e+002,2.6414e+003,6.8010e+002,4.4004e+002,6.8010e+002,4.4004e+002,4.0003e+002,1.9606e+003,2.1610e+003,4.0003e+002,4.8005e+002,2.4001e+002,4.4004e+002
2021-01-06 04:45:00 PST,5.5250e+004,1.8905e+004,1.0462e+004,6.3661e+003,1.3391e+004,6.1255e+003,2.5213e+003,3.7229e+003,6.9300e+003,2.1209e+003,5.2006e+002,4.0003e+002,6.0007e+002,2.0409e+003,6.4008e+002,1.0002e+003,4.4004e+002,3.6003e+002,4.4004e+002,4.1632e+003,3.0019e+003,4.0003e+002,1.1603e+003,6.4008e+002,9.6019e+002
2021-01-06 05:00:00 PST,4.8854e+004,1.6002e+004,1.0258e+004,4.4030e+003,1.2507e+004,5.6848e+003,3.6027e+003,3.6428e+003,2.8016e+003,2.0809e+003,6.4008e+002,5.2006e+002,7.2011e+002,1.9608e+003,5.6006e+002,6.8010e+002,4.0003e+002,1.2403e+003,6.8010e+002,3.3620e+003,2.1209e+003,1.2003e+003,3.2002e+002,3.2002e+002,4.0003e+002
2021-01-06 05:15:00 PST,5.3395e+004,1.6442e+004,1.5761e+004,4.9642e+003,1.0622e+004,5.6047e+003,2.0409e+003,3.5626e+003,2.8817e+003,2.2811e+003,4.4004e+002,5.6007e+002,2.4813e+003,2.1610e+003,5.2006e+002,3.2822e+003,9.6019e+002,1.0002e+003,4.8005e+002,4.2033e+003,3.2021e+003,2.0809e+003,3.2002e+002,5.2006e+002,2.8002e+002
