# file...... 1Meter_684_A_power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_A_20:measured_power.real,house_meter_684_A_21:measured_power.real,house_meter_684_A_22:measured_power.real,house_meter_684_A_23:measured_power.real,house_meter_684_A_24:measured_power.real,house_meter_684_A_25:measured_power.real,house_meter_684_A_26:measured_power.real,house_meter_684_A_27:measured_power.real,house_meter_684_A_28:measured_power.real,house_meter_684_A_29:measured_power.real,house_meter_684_A_30:measured_power.real,house_meter_684_A_31:measured_power.real,house_meter_684_A_32:measured_power.real,house_meter_684_A_33:measured_power.real,house_meter_684_A_34:measured_power.real,house_meter_684_A_35:measured_power.real,house_meter_684_A_36:measured_power.real,house_meter_684_A_37:measured_power.real,house_meter_684_A_38:measured_power.real,house_meter_684_A_39:measured_power.real,house_meter_684_A_40:measured_power.real
2021-01-06 00:00:00 PST,7.6012e+002,1.9604e+003,4.4004e+002,1.0002e+003,3.6003e+002,7.2010e+002,8.0013e+002,4.0003e+002,1.8807e+003,8.8016e+002,7.6012e+002,7.2010e+002,8.4014e+002,1.4004e+003,1.1203e+003,5.2005e+002,4.4004e+002,4.4004e+002,4.8005e+002,2.4001e+002,5.6006e+002
2021-01-06 00:15:00 PST,1.0002e+003,1.0402e+003,8.0013e+002,6.0007e+002,6.8009e+002,6.8009e+002,1.2403e+003,4.0003e+002,1.9207e+003,7.2010e+002,6.8009e+002,6.0007e+002,8.0013e+002,1.2803e+003,1.0002e+003,6.0007e+002,5.6006e+002,2.4001e+002,4.0003e+002,2.2407e+003,4.4004e+002
2021-01-06 00:30:00 PST,7.6012e+002,8.4014e+002,4.0003e+002,8.0013e+002,4.0003e+002,7.6012e+002,6.0007e+002,4.0003e+002,1.9207e+003,8.0013e+002,9.6019e+002,6.4008e+002,9.2017e+002,1.2003e+003,2.3606e+003,6.4008e+002,2.4001e+002,2.0001e+002,8.8016e+002,1.8805e+003,6.4008e+002
2021-01-06 00:45:00 PST,7.2010e+002,8.8016e+002,8.4014e+002,6.4008e+002,6.4008e+002,8.0013e+002,8.0013e+002,4.0003e+002,1.9207e+003,5.2005e+002,1.0402e+003,5.6006e+002,5.2005e+002,1.0802e+003,4.6825e+003,4.8005e+002,3.6003e+002,2.4001e+002,4.4004e+002,1.8404e+003,4.4004e+002
2021-01-06 01:00:00 PST,4.4004e+002,6.0007e+002,4.8005e+002,8.0013e+002,5.6006e+002,6.4008e+002,1.0002e+003,8.4014e+002,1.8807e+003,8.4014e+002,6.4008e+002,6.0007e+002,8.0013e+002,1.2003e+003,3.8821e+003,6.0007e+002,5.2005e+002,2.8002e+002,3.2002e+002,1.8004e+003,4.4004e+002
2021-01-06 01:15:00 PST,6.8009e+002,7.2010e+002,6.4008e+002,6.0007e+002,6.8009e+002,6.0007e+002,4.0003e+002,4.0003e+002,2.0008e+003,7.6012e+002,7.2010e+002,5.6006e+002,5.6006e+002,1.1203e+003,1.9605e+003,6.0007e+002,3.6003e+002,5.2005e+002,3.2002e+002,8.4008e+002,5.2005e+002
2021-01-06 01:30:00 PST,4.8005e+002,4.8005e+002,8.0013e+002,9.2017e+002,4.4004e+002,4.8005e+002,6.8009e+002,2.8002e+002,1.8407e+003,9.6018e+002,7.6012e+002,6.0007e+002,5.2005e+002,8.8016e+002,1.0402e+003,5.2005e+002,3.2002e+002,5.2005e+002,3.2002e+002,4.8005e+002,3.6003e+002
2021-01-06 01:45:00 PST,7.6012e+002,7.6012e+002,1.2003e+003,7.6012e+002,6.8009e+002,4.8005e+002,8.8016e+002,5.2005e+002,1.6806e+003,4.0003e+002,4.8005e+002,5.6006e+002,9.6018e+002,1.3203e+003,1.2803e+003,8.0013e+002,4.4004e+002,2.0001e+002,7.2010e+002,3.6003e+002,5.6006e+002
2021-01-06 02:00:00 PST,4.8005e+002,6.4008e+002,9.6018e+002,9.6018e+002,4.8005e+002,4.0003e+002,4.8005e+002,6.8009e+002,1.8807e+003,1.0002e+003,5.2005e+002,5.6006e+002,5.6006e+002,8.4014e+002,9.6018e+002,6.0007e+002,3.6003e+002,2.4001e+002,4.8005e+002,2.4001e+002,5.6006e+002
2021-01-06 02:15:00 PST,2.4412e+003,8.0013e+002,2.3611e+003,5.2005e+002,6.8009e+002,4.0003e+002,5.2005e+002,4.4004e+002,1.8007e+003,6.4008e+002,7.2010e+002,5.6006e+002,5.2005e+002,5.2005e+002,1.2803e+003,5.2005e+002,4.0003e+002,2.0001e+002,4.4004e+002,3.2002e+002,2.4001e+002
2021-01-06 02:30:00 PST,4.4004e+002,4.4004e+002,1.8807e+003,9.2017e+002,6.0007e+002,6.0007e+002,5.6006e+002,6.0007e+002,1.6405e+003,8.4014e+002,7.6012e+002,5.2005e+002,6.4008e+002,9.6019e+002,9.6019e+002,5.2005e+002,6.8009e+002,2.0001e+002,3.2002e+002,4.0003e+002,4.8005e+002
2021-01-06 02:45:00 PST,8.0013e+002,8.4014e+002,2.9217e+003,3.6003e+002,5.6006e+002,6.8009e+002,8.4014e+002,3.6003e+002,1.7606e+003,6.4008e+002,5.6006e+002,5.6006e+002,8.0013e+002,6.4008e+002,1.1203e+003,9.2017e+002,4.4004e+002,3.6003e+002,3.6003e+002,4.8005e+002,3.2002e+002
2021-01-06 03:00:00 PST,5.2005e+002,4.8005e+002,1.9608e+003,7.2010e+002,5.2005e+002,4.8005e+002,4.0003e+002,4.8005e+002,1.8007e+003,7.6012e+002,6.8009e+002,6.0007e+002,6.0007e+002,5.6006e+002,9.2017e+002,5.2005e+002,3.6003e+002,6.8009e+002,6.4008e+002,3.6003e+002,5.2005e+002
2021-01-06 03:15:00 PST,6.8009e+002,8.8016e+002,2.3211e+003,1.7606e+003,5.6006e+002,6.4008e+002,3.2002e+002,9.2017e+002,1.3604e+003,6.0007e+002,7.2010e+002,4.8005e+002,6.4008e+002,8.8016e+002,7.2010e+002,5.2005e+002,3.2002e+002,2.4001e+002,3.2002e+002,2.8002e+002,3.2002e+002
2021-01-06 03:30:00 PST,4.4004e+002,5.2005e+002,2.6414e+003,4.5642e+003,5.2005e+002,6.0007e+002,5.2005e+002,4.4004e+002,4.8005e+002,5.2005e+002,5.2005e+002,6.4008e+002,8.8016e+002,6.8009e+002,1.0402e+003,6.4008e+002,4.0003e+002,2.4001e+002,3.6003e+002,2.4001e+002,2.0001e+002
2021-01-06 03:45:00 PST,6.8009e+002,8.0013e+002,3.2822e+003,4.4039e+003,7.6012e+002,4.8005e+002,8.0013e+002,2.8002e+002,5.6006e+002,9.2017e+002,9.6018e+002,5.6006e+002,5.2005e+002,6.0007e+002,5.6006e+002,9.2017e+002,5.6006e+002,2.4001e+002,4.0003e+002,2.8002e+002,2.4001e+002
2021-01-06 04:00:00 PST,4.0003e+002,4.4004e+002,3.0419e+003,2.9618e+003,2.4412e+003,6.4008e+002,2.8002e+002,5.2005e+002,3.6003e+002,5.2005e+002,5.2005e+002,5.6006e+002,7.2010e+002,9.6019e+002,4.0003e+002,4.0003e+002,5.6006e+002,2.4001e+002,2.0001e+002,6.4008e+002,3.2002e+002
2021-01-06 04:15:00 PST,3.1620e+003,1.7206e+003,4.0433e+003,4.2436e+003,5.2005e+002,5.6006e+002,5.6006e+002,6.8009e+002,4.4004e+002,4.4004e+002,6.8009e+002,4.8005e+002,4.0003e+002,5.6006e+002,7.2010e+002,6.0007e+002,3.2002e+002,3.2002e+002,5.2005e+002,2.8002e+002,5.6006e+002
2021-01-06 04:30:00 PST,3.2021e+003,5.1654e+003,3.0819e+003,3.0018e+003,5.2005e+002,3.2002e+002,5.2005e+002,4.8005e+002,4.8005e+002,8.4014e+002,6.0007e+002,6.0007e+002,8.0013e+002,6.4008e+002,5.6006e+002,9.6019e+002,5.2005e+002,6.0007e+002,2.4001e+002,2.4001e+002,3.2002e+002
2021-01-06 04:45:00 PST,4.1234e+003,4.6043e+003,4.2436e+003,4.1635e+003,1.5205e+003,4.4004e+002,6.0007e+002,4.0003e+002,3.6003e+002,4.0003e+002,6.0007e+002,8.0013e+002,6.0007e+002,1.0402e+003,4.4004e+002,4.8005e+002,3.2002e+002,4.0003e+002,2.4001e+002,2.4001e+002,2.4001e+002
2021-01-06 05:00:00 PST,2.2010e+003,3.4825e+003,3.2021e+003,3.0419e+003,3.3222e+003,4.8005e+002,3.6003e+002,5.2005e+002,4.4004e+002,4.8005e+002,5.2005e+002,4.4004e+002,5.6006e+002,4.4004e+002,5.6006e+002,5.6006e+002,2.8002e+002,2.0001e+002,2.8002e+002,2.4001e+002,2.0001e+002
2021-01-06 05:15:00 PST,2.3211e+003,4.1234e+003,3.8430e+003,4.0834e+003,4.2036e+003,3.6003e+002,6.0007e+002,3.6003e+002,7.6012e+002,9.2017e+002,9.6019e+002,5.2005e+002,4.8005e+002,6.4008e+002,6.0007e+002,9.2017e+002,9.2017e+002,2.4001e+002,3.2002e+002,4.0003e+002,2.4001e+002
2021-01-06 05:30:00 PST,3.4825e+003,2.0809e+003,7.9327e+003,3.1620e+003,3.3222e+003,4.8005e+002,8.4014e+002,7.2010e+002,6.0007e+002,3.6003e+002,6.4008e+002,6.0007e+002,8.8016e+002,1.0002e+003,4.8005e+002,4.4004e+002,2.8002e+002,2.0001e+002,5.6006e+002,8.0013e+002,4.4004e+002
