# file...... 1Meter_652_A_power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_24:measured_power,house_meter_652_A_25:measured_power,house_meter_652_A_26:measured_power,house_meter_652_A_27:measured_power,house_meter_652_A_28:measured_power,house_meter_652_A_29:measured_power,house_meter_652_A_30:measured_power,house_meter_652_A_31:measured_power,house_meter_652_A_32:measured_power,house_meter_652_A_33:measured_power,house_meter_652_A_34:measured_power,house_meter_652_A_35:measured_power,house_meter_652_A_36:measured_power,house_meter_652_A_37:measured_power,house_meter_652_A_38:measured_power,house_meter_652_A_39:measured_power,house_meter_652_A_40:measured_power
2021-01-06 03:00:00 PST,+3802.95+0.0177852d,+1880.72+0.00882119d,+760.118+0.00356356d,+3242.15+0.0152152d,+7010.06+0.0329486d,+8735.64+0.0410882d,+7571.74+0.0355968d,+2761.56+0.0129573d,+2521.3+0.0118288d,+2881.69+0.0134995d,+13557.7+0.0637904d,+2641.42+0.0123727d,+760.118+0.00355774d,+1120.26+0.00524414d,+2521.3+0.0118094d,+240.012+0.00112314d,+1960.78+0.00918196d
2021-01-06 03:15:00 PST,+2361.13+0.0110232d,+1880.72+0.00881768d,+720.106+0.00337459d,+7651.99+0.0359608d,+5846.99+0.0274579d,+8414.5+0.0395567d,+10864.2+0.0511242d,+2801.6+0.0131401d,+840.144+0.00393731d,+5566.32+0.0260565d,+4764.63+0.0222964d,+7571.7+0.035473d,+760.118+0.00355123d,+200.008+0.000934221d,+1880.72+0.00879063d,+320.021+0.00149486d,+1520.47+0.00710576d
2021-01-06 03:30:00 PST,+2521.29+0.011742d,+2961.79+0.0138514d,+7531.58+0.0352886d,+4163.53+0.0194811d,+8615.16+0.0403836d,+5446.05+0.0254953d,+2841.64+0.0132888d,+2481.25+0.0116018d,+680.094+0.00317763d,+6087.53+0.0284035d,+840.143+0.00391163d,+2641.42+0.0123072d,+760.117+0.00353893d,+240.012+0.0011172d,+2561.33+0.0119337d,+160.005+0.000744765d,+2080.88+0.00969327d
2021-01-06 03:45:00 PST,+3242.14+0.0151266d,+1480.45+0.00692779d,+920.173+0.00430499d,+3362.31+0.0157461d,+6408.39+0.0300487d,+5005.11+0.0234553d,+2841.65+0.0133049d,+14523.2+0.068326d,+720.106+0.00336871d,+2841.64+0.0132632d,+640.083+0.00298487d,+1760.63+0.00821401d,+4524.16+0.0211307d,+280.016+0.00130559d,+2601.38+0.0121406d,+640.083+0.00298487d,+5125.35+0.0239445d
2021-01-06 04:00:00 PST,+3001.83+0.0140102d,+1800.66+0.00843794d,+2321.1+0.010879d,+4524.18+0.0212241d,+6127.68+0.0287654d,+4564.26+0.0214124d,+2841.65+0.0133217d,+4403.96+0.0206591d,+12471.9+0.0586999d,+2801.6+0.0130794d,+680.094+0.0031723d,+3442.41+0.0160752d,+3202.09+0.0149515d,+200.008+0.000932749d,+2481.25+0.0115823d,+1880.72+0.00877692d,+2120.91+0.00989884d
2021-01-06 04:15:00 PST,+3843.01+0.0179683d,+2681.47+0.0125904d,+760.118+0.00356621d,+3402.37+0.01598d,+4965.05+0.0233344d,+4804.73+0.0225795d,+6047.49+0.0284342d,+2881.7+0.0135317d,+14080.7+0.0664244d,+2721.51+0.0127445d,+9859.89+0.0463079d,+7491.47+0.0351503d,+680.094+0.00318216d,+160.005+0.000748505d,+1840.69+0.00861666d,+560.064+0.00262041d,+2040.85+0.00955443d
2021-01-06 04:30:00 PST,+2361.14+0.0110588d,+2241.03+0.0105863d,+1720.61+0.00812612d,+8213.92+0.0388969d,+10864.4+0.0515046d,+5365.93+0.0253804d,+14483.4+0.0687644d,+2761.57+0.013048d,+13356.9+0.0633863d,+8735.66+0.0411615d,+14000.3+0.0661113d,+2721.52+0.0127918d,+840.144+0.00394586d,+200.008+0.000939121d,+1200.29+0.00563819d,+2641.43+0.012415d,+1200.29+0.00563819d
2021-01-06 04:45:00 PST,+2241.02+0.0104625d,+3041.89+0.0142833d,+7571.75+0.0356195d,+3362.31+0.0157899d,+4884.88+0.0229544d,+6889.72+0.032402d,+2841.65+0.013342d,+2321.1+0.0108956d,+12673+0.0597423d,+1680.58+0.00785771d,+13195.6+0.061989d,+2561.34+0.0119801d,+800.13+0.00373975d,+440.039+0.00205641d,+2681.46+0.0125426d,+480.047+0.00224341d,+1960.78+0.0091689d
2021-01-06 05:00:00 PST,+3242.14+0.0151458d,+3963.21+0.0186004d,+760.118+0.00356277d,+3162.04+0.0148355d,+6408.4+0.0301065d,+6689.16+0.0314291d,+2961.79+0.0138948d,+12753.4+0.0600715d,+720.106+0.00337517d,+2801.6+0.0131335d,+13477.3+0.0634566d,+1840.69+0.00862549d,+6649.04+0.0312188d,+280.016+0.00131132d,+2801.6+0.0131335d,+2601.38+0.0121939d,+3322.25+0.0155775d
2021-01-06 05:15:00 PST,+3162.02+0.0147011d,+1160.27+0.00540559d,+760.117+0.00354073d,+5165.42+0.0241044d,+6127.64+0.0286057d,+6288.04+0.0293565d,+2921.73+0.0136218d,+6047.44+0.0282304d,+1480.44+0.00689814d,+2681.46+0.0124781d,+5766.75+0.0268691d,+2281.05+0.0106131d,+2000.81+0.00930817d,+240.012+0.00111578d,+2761.55+0.0128512d,+360.026+0.0016738d,+4243.65+0.0197603d
2021-01-06 05:30:00 PST,+2000.81+0.00929496d,+3482.46+0.0162488d,+800.13+0.00372925d,+6809.44+0.0318152d,+8173.6+0.0382102d,+7571.67+0.0353875d,+2040.85+0.00951679d,+2801.59+0.0130683d,+1160.27+0.0054086d,+3482.46+0.016215d,+2281.05+0.0106158d,+7371.04+0.0343752d,+800.13+0.0037215d,+320.021+0.00148816d,+2601.37+0.0121081d,+3482.46+0.016215d,+1280.33+0.00595614d
2021-01-06 05:45:00 PST,+1920.75+0.00892252d,+1160.27+0.00542002d,+6007.36+0.0281179d,+3242.14+0.015158d,+7411.21+0.0347086d,+8213.77+0.0384798d,+16173.6+0.0760177d,+2721.51+0.0127212d,+1640.55+0.00766504d,+6689.07+0.0311408d,+720.105+0.00334433d,+2601.37+0.0120906d,+760.117+0.00353021d,+360.026+0.0016718d,+2681.46+0.0124632d,+360.026+0.0016718d,+2080.88+0.00966938d
2021-01-06 06:00:00 PST,+1880.71+0.0087207d,+3602.64+0.0168138d,+3722.82+0.0173755d,+3162.03+0.0147548d,+5285.68+0.0246856d,+7571.67+0.0353948d,+5526.21+0.0258115d,+2601.38+0.0121359d,+14160.9+0.066376d,+1320.35+0.00612456d,+640.083+0.00296826d,+2521.28+0.0117009d,+3642.68+0.0169128d,+2200.98+0.0102131d,+2601.37+0.0120729d,+2681.45+0.012445d,+2040.84+0.00946937d
2021-01-06 06:15:00 PST,+1800.66+0.0083563d,+1240.31+0.00579351d,+760.118+0.00354982d,+5486.13+0.0256702d,+5726.68+0.0267984d,+7812.45+0.03659d,+2921.74+0.0136568d,+10944.5+0.0513248d,+13959.9+0.0655467d,+2721.5+0.0126593d,+9136.96+0.0426125d,+2040.84+0.00949057d,+3772.08+0.0175537d,+2561.33+0.0119135d,+400.032+0.00185904d,+320.021+0.00148716d,+2361.13+0.0109814d
2021-01-06 06:30:00 PST,+1920.75+0.00894397d,+4083.41+0.0191537d,+840.144+0.00393557d,+5325.8+0.024994d,+6288.09+0.0295216d,+7090.28+0.0332988d,+2921.74+0.0136983d,+8133.54+0.0382146d,+13960+0.0657469d,+2761.55+0.0129184d,+13396.7+0.0629425d,+7812.46+0.0366217d,+795.329+0.00371751d,+2441.21+0.0114183d,+3722.83+0.0174219d,+920.172+0.00430127d,+5245.61+0.0245635d
2021-01-06 06:45:00 PST,+2000.81+0.00928692d,+2080.88+0.00971651d,+840.143+0.00392101d,+5005.1+0.0233988d,+11306.1+0.0529922d,+7692.06+0.0359998d,+1640.55+0.00765904d,+3482.47+0.0162704d,+14000.1+0.0656915d,+7932.79+0.0370082d,+5606.38+0.0261302d,+2681.46+0.0124829d,+720.105+0.00334961d,+3322.24+0.0154699d,+2681.46+0.0124829d,+2080.88+0.00968468d,+3482.46+0.016217d
2021-01-06 07:00:00 PST,+1880.71+0.00872831d,+2801.6+0.013121d,+9498.46+0.0446072d,+4283.75+0.0200746d,+6047.47+0.0283603d,+6729.25+0.0315664d,+12471.9+0.0586426d,+3682.77+0.0172541d,+13477.2+0.063396d,+4083.38+0.0189804d,+680.094+0.00315686d,+2561.33+0.0118982d,+680.094+0.00315686d,+2481.25+0.0115259d,+2681.45+0.0124569d,+320.021+0.00148526d,+2321.09+0.0107812d
2021-01-06 07:15:00 PST,+2921.72+0.0135212d,+3562.57+0.0165903d,+880.157+0.00409428d,+4444.01+0.0207024d,+6087.52+0.0283776d,+6729.2+0.031377d,+8414.39+0.0392617d,+2681.46+0.0124826d,+13678.1+0.0639597d,+1280.33+0.00592916d,+720.105+0.00333402d,+2641.41+0.012239d,+6809.37+0.0316045d,+2521.28+0.0116818d,+2601.37+0.0120532d,+2601.37+0.0120532d,+2281.05+0.0105677d
2021-01-06 07:30:00 PST,+1840.68+0.00844274d,+1360.37+0.00626529d,+880.155+0.00405284d,+5566.23+0.025679d,+6849.43+0.0316152d,+8614.93+0.0397927d,+2841.62+0.0130951d,+8333.97+0.0384905d,+2200.97+0.0101402d,+2721.48+0.012504d,+720.104+0.00330592d,+2841.62+0.0130566d,+797.727+0.00366239d,+2401.15+0.0110309d,+2721.48+0.012504d,+400.032+0.00183627d,+8012.88+0.036894d
2021-01-06 07:45:00 PST,+1880.7+0.00859605d,+4443.96+0.020444d,+2521.27+0.0115899d,+7290.66+0.0335783d,+7250.55+0.033393d,+9297.36+0.042855d,+2801.57+0.0128799d,+9096.61+0.0419264d,+760.116+0.00349167d,+4484.03+0.0206455d,+8775.47+0.0404741d,+9056.48+0.0417749d,+667.289+0.00306765d,+1000.2+0.00459872d,+2801.57+0.0128904d,+3562.54+0.0163967d,+17461.5+0.0808187d
2021-01-06 08:00:00 PST,+2080.86+0.00948978d,+2601.35+0.0118973d,+680.092+0.00310802d,+4964.92+0.0227285d,+7049.92+0.0323001d,+7410.96+0.0339592d,+1840.67+0.00841577d,+2881.65+0.0131807d,+760.115+0.00347383d,+5686.5+0.0262236d,+13677.7+0.0632791d,+3802.9+0.017524d,+720.104+0.00331418d,+2481.24+0.0114276d,+11145+0.051509d,+15568.9+0.0720838d,+13235.3+0.0612214d
2021-01-06 08:15:00 PST,+1800.65+0.00824304d,+3682.72+0.0169726d,+9458+0.0436906d,+4524.11+0.0208573d,+6047.35+0.027897d,+8293.84+0.0382949d,+9136.8+0.0422014d,+2721.49+0.0125377d,+1720.59+0.00792346d,+2681.45+0.0123991d,+8173.49+0.0378785d,+2921.72+0.0135115d,+3202.07+0.0148096d,+1480.44+0.00684231d,+16454.9+0.0765138d,+20243.1+0.0942745d,+10301.4+0.0477813d
2021-01-06 08:30:00 PST,+1840.68+0.00845088d,+3602.61+0.0166585d,+880.156+0.00406539d,+5005.05+0.0231565d,+5726.61+0.0265026d,+8012.96+0.037118d,+9177+0.0425302d,+2761.54+0.012765d,+12793.1+0.0593757d,+1080.23+0.00498936d,+760.116+0.00351035d,+2801.58+0.0129488d,+4964.97+0.022968d,+1280.33+0.00591403d,+16615.9+0.0772291d,+17864.7+0.0830754d,+1840.68+0.00850429d
2021-01-06 08:45:00 PST,+1840.68+0.00847508d,+3362.28+0.0155908d,+760.117+0.00352093d,+7370.99+0.0342346d,+11145.2+0.0518431d,+6608.83+0.0306852d,+0+0d,+7611.72+0.0353561d,+13879.1+0.0646321d,+0+0d,+640.083+0.00296315d,+7050.05+0.0327216d,+5125.31+0.0237697d,+2241.01+0.0103811d,+15649.7+0.0728897d,+13074.6+0.0608324d,+3963.17+0.0183714d
2021-01-06 09:00:00 PST,+1920.74+0.00885072d,+1680.57+0.00779338d,+680.093+0.00315255d,+3162.02+0.0146722d,+9859.7+0.0458746d,+9297.52+0.0432491d,+3482.45+0.0161611d,+11225.6+0.0522586d,+13758.4+0.0641161d,+12833.3+0.0596069d,+640.082+0.00295836d,+3362.28+0.015557d,+3602.62+0.0166706d,+720.104+0.00332832d,+8614.99+0.0399456d,+5526.16+0.0255915d,+2120.91+0.00980836d
2021-01-06 09:15:00 PST,+2000.81+0.00926947d,+4524.16+0.021101d,+5125.34+0.0239108d,+5005.09+0.0233487d,+6969.88+0.0325405d,+9016.55+0.042131d,+3923.13+0.0182933d,+2801.59+0.0130577d,+13597.7+0.0636562d,+7330.9+0.0341185d,+8213.68+0.0382408d,+5846.93+0.0271956d,+3883.05+0.0180467d,+1520.47+0.00705971d,+4083.38+0.0189793d,+920.171+0.00427143d,+1560.49+0.00724567d
2021-01-06 09:30:00 PST,+1840.68+0.00854345d,+2000.81+0.00934871d,+10341.8+0.0484867d,+4844.78+0.0226633d,+7010.02+0.032821d,+5766.78+0.0269864d,+7972.97+0.0373442d,+3001.83+0.0140316d,+10663.2+0.05d,+3242.14+0.0151263d,+17945.9+0.0842319d,+5285.68+0.024681d,+10864.1+0.0508444d,+1800.66+0.0083961d,+320.021+0.00149129d,+600.073+0.00279665d,+840.143+0.00391588d
2021-01-06 09:45:00 PST,+1800.65+0.00833389d,+3682.74+0.017111d,+2641.41+0.0122675d,+3041.87+0.0141296d,+6849.51+0.0318654d,+6528.64+0.0303687d,+10381.9+0.0483682d,+3482.45+0.016179d,+1320.35+0.00612882d,+2000.81+0.00927713d,+15851+0.073911d,+5566.27+0.0258463d,+3923.11+0.0182044d,+520.055+0.00240989d,+280.016+0.00129745d,+560.063+0.00259533d,+1720.6+0.00797698d
2021-01-06 10:00:00 PST,+1840.68+0.00853458d,+3242.13+0.0150743d,+2681.46+0.0124646d,+6889.63+0.0320807d,+8374.23+0.0390172d,+4844.76+0.0225403d,+3081.92+0.0143285d,+5245.58+0.0244091d,+720.105+0.0033447d,+6167.72+0.0287167d,+8896.07+0.0414658d,+11225.6+0.0523738d,+5292.08+0.024631d,+2040.84+0.0094862d,+320.021+0.00148648d,+1200.29+0.00557727d,+1000.2+0.00464716d
2021-01-06 10:15:00 PST,+1920.74+0.00884026d,+3041.86+0.0140656d,+2721.49+0.0125826d,+5045.13+0.0233476d,+7050.03+0.0326522d,+5606.34+0.0259506d,+3081.91+0.014251d,+15126.3+0.0702874d,+1840.68+0.00850722d,+5686.49+0.0262154d,+3522.49+0.0162249d,+4924.87+0.0226972d,+4003.22+0.0184428d,+960.185+0.00441816d,+440.039+0.00202436d,+1080.23+0.00497079d,+800.128+0.00368145d
2021-01-06 10:30:00 PST,+1960.77+0.00899273d,+2641.4+0.0121443d,+7009.86+0.0322857d,+3162+0.0145409d,+5606.3+0.0258067d,+5365.77+0.0246971d,+2361.12+0.0108545d,+2961.76+0.013619d,+4323.75+0.0198927d,+2841.61+0.0130366d,+3562.54+0.0163487d,+4604.24+0.021138d,+4203.53+0.0192952d,+1240.31+0.00568657d,+520.054+0.00238366d,+480.046+0.00220025d,+3682.71+0.016901d
2021-01-06 10:45:00 PST,+2921.73+0.0135924d,+2921.74+0.0136592d,+7050.14+0.0330153d,+5005.11+0.023419d,+8294.04+0.0388602d,+5205.52+0.0243587d,+7130.37+0.0333921d,+2961.79+0.0138467d,+13959.9+0.0655585d,+2761.55+0.0128598d,+3522.52+0.0164085d,+5486.11+0.0255757d,+10341.8+0.0483078d,+2921.73+0.0136066d,+2120.91+0.00987397d,+320.021+0.00148877d,+4444.01+0.0207088d
2021-01-06 11:00:00 PST,+1800.66+0.00840105d,+2881.7+0.0135135d,+2721.51+0.0127615d,+5927.19+0.0278297d,+5806.9+0.0272635d,+5686.61+0.0266975d,+11949.3+0.0562439d,+2801.6+0.0131374d,+13517.5+0.0636664d,+1920.75+0.00897371d,+10864.1+0.0509427d,+10703.4+0.0501858d,+3883.07+0.0181561d,+400.033+0.00186779d,+2721.51+0.012719d,+360.026+0.00168097d,+2681.46+0.0125316d
2021-01-06 11:15:00 PST,+1840.69+0.00862513d,+2361.14+0.0110698d,+2761.56+0.0129493d,+3121.99+0.0146415d,+7010.05+0.0329282d,+6047.48+0.0283955d,+2921.74+0.0137013d,+2681.47+0.0125733d,+3081.94+0.0144535d,+7692.13+0.0362072d,+15569.9+0.0735265d,+7130.42+0.0335555d,+3919.14+0.018419d,+2801.61+0.0131609d,+480.047+0.00225293d,+440.04+0.00206514d,+1440.42+0.00676278d
