# file...... Meter_684_C_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_C:measured_power,xfmr_meter_684_C_1:measured_power,xfmr_meter_684_C_2:measured_power,xfmr_meter_684_C_3:measured_power,xfmr_meter_684_C_4:measured_power,xfmr_meter_684_C_5:measured_power,house_meter_684_C_1:measured_power,house_meter_684_C_2:measured_power,house_meter_684_C_3:measured_power,house_meter_684_C_4:measured_power,house_meter_684_C_5:measured_power,house_meter_684_C_6:measured_power,house_meter_684_C_7:measured_power,house_meter_684_C_8:measured_power,house_meter_684_C_9:measured_power,house_meter_684_C_10:measured_power,house_meter_684_C_11:measured_power,house_meter_684_C_12:measured_power,house_meter_684_C_13:measured_power,house_meter_684_C_14:measured_power,house_meter_684_C_15:measured_power,house_meter_684_C_16:measured_power,house_meter_684_C_17:measured_power,house_meter_684_C_18:measured_power,house_meter_684_C_19:measured_power,house_meter_684_C_20:measured_power,house_meter_684_C_21:measured_power,house_meter_684_C_22:measured_power,house_meter_684_C_23:measured_power
2021-01-06 00:00:00 PST,+60690+156.176j,+12305.6+30.0443j,+9095.16+16.8798j,+7530.82+11.7423j,+15960.4+49.4583j,+15797.7+47.6896j,+2160.97+0.0102673d,+2681.49+0.0127432d,+3282.23+0.015602d,+2080.9+0.00988658d,+560.065+0.00265926d,+440.04+0.00208926d,+480.048+0.00227925d,+600.074+0.00284928d,+720.107+0.00341734d,+1000.21+0.00474713d,+3642.75+0.0173079d,+520.056+0.00246777d,+600.074+0.00284757d,+1600.39+0.00566052d,+520.056+0.00246777d,+480.048+0.00227788d,+600.074+0.00284674d,+480.048+0.00227722d,+320.021+0.001518d,+3361.77+0.0120576d,+1520.48+0.00721585d,+560.065+0.00265689d,+400.033+0.00189759d
2021-01-06 00:15:00 PST,+62140+169.87j,+16166.6+52.7433j,+7489.16+10.9825j,+6526.47+8.14535j,+16160.6+50.3109j,+15796.8+47.2927j,+2080.9+0.00987608d,+5486.23+0.0260748d,+3522.57+0.0167283d,+2080.9+0.00987608d,+360.027+0.0017075d,+1560.5+0.00740467d,+560.065+0.00265644d,+480.048+0.00227683d,+720.107+0.00341023d,+1040.22+0.00492686d,+2201+0.0104297d,+400.033+0.00189419d,+520.056+0.00246264d,+1640.4+0.00557115d,+480.048+0.00227315d,+480.048+0.00227315d,+760.119+0.00359913d,+560.065+0.00265166d,+400.033+0.00189386d,+1880.39+0.00479471d,+1040.22+0.00492598d,+880.16+0.00416772d,+400.033+0.00189386d
2021-01-06 00:30:00 PST,+57850.8+156.735j,+17292.9+60.1382j,+5765.15+6.39094j,+5204.15+5.18898j,+13751.2+37.1434j,+15837+47.5112j,+2040.86+0.00967839d,+3843.05+0.0182385d,+5606.5+0.026627d,+2561.36+0.0121493d,+520.056+0.00246472d,+1920.76+0.00910839d,+360.027+0.00170617d,+400.033+0.0018958d,+440.04+0.00208095d,+1160.28+0.00548858d,+440.04+0.00208095d,+520.056+0.00245942d,+440.04+0.00208095d,+1560.37+0.00546065d,+680.095+0.00321649d,+520.056+0.00245942d,+400.033+0.00189153d,+320.021+0.00151315d,+960.19+0.00454123d,+560.065+0.0026484d,+1000.21+0.00473057d,+280.016+0.00132397d,+920.174+0.00435191d
2021-01-06 00:45:00 PST,+63319.8+189.868j,+18864.3+72.0832j,+5965.57+6.86323j,+5885.68+6.78677j,+14434.6+40.9912j,+18169.3+62.7064j,+5365.95+0.025471d,+2841.67+0.0134747d,+5486.22+0.0260432d,+2801.62+0.0132846d,+680.095+0.00322201d,+400.033+0.00189497d,+600.074+0.00284281d,+640.085+0.00303241d,+560.065+0.00264685d,+1120.26+0.00529554d,+600.074+0.00283598d,+480.047+0.00226862d,+600.074+0.00283598d,+1760.47+0.00609722d,+440.04+0.00207952d,+400.033+0.00189042d,+400.033+0.00189039d,+440.04+0.00207948d,+440.04+0.00207948d,+1120.26+0.00529546d,+1720.61+0.00813533d,+1000.21+0.00472774d,+400.033+0.00189039d
2021-01-06 01:00:00 PST,+57568.9+157.766j,+14113.6+39.4505j,+5925.43+6.75778j,+4162.64+3.32091j,+15519.8+47.3743j,+17847.2+60.4938j,+2401.19+0.0114074d,+3322.28+0.0157893d,+3322.28+0.0157893d,+2721.53+0.0129309d,+560.065+0.00265868d,+640.085+0.00303865d,+600.074+0.00284866d,+520.056+0.00246872d,+680.095+0.00322371d,+1120.26+0.00531108d,+600.074+0.00284431d,+400.033+0.00189597d,+520.056+0.00246495d,+1640.4+0.00557637d,+440.04+0.00208562d,+520.056+0.00246495d,+600.074+0.00284337d,+480.048+0.00227453d,+320.021+0.0015162d,+480.048+0.00227453d,+1040.22+0.00492986d,+440.04+0.00208494d,+360.027+0.00170577d
2021-01-06 01:15:00 PST,+55964.6+147.048j,+16249.4+54.3004j,+5765.14+6.40232j,+5083.97+4.96785j,+13389.8+35.3669j,+15475.9+45.6735j,+2160.97+0.0102742d,+3482.51+0.0165665d,+2841.67+0.0135144d,+5887.19+0.0280336d,+440.04+0.00209066d,+480.048+0.00228077d,+400.033+0.00190055d,+520.056+0.0024709d,+560.065+0.00265582d,+1160.28+0.00550339d,+440.04+0.00208656d,+520.056+0.00246606d,+480.048+0.00227631d,+1560.37+0.00547539d,+520.056+0.00246606d,+520.056+0.00246606d,+640.085+0.00303499d,+280.016+0.00132751d,+320.021+0.0015172d,+400.033+0.00189659d,+920.175+0.00436355d,+560.065+0.00265548d,+1000.21+0.00474323d
2021-01-06 01:30:00 PST,+55843.5+145.362j,+16289.2+54.1881j,+5524.73+5.86252j,+5565.17+6.09742j,+12827.7+32.4769j,+15636.5+46.4044j,+2040.86+0.00965688d,+4203.65+0.0199085d,+5726.77+0.0271391d,+2000.83+0.0094673d,+640.084+0.00302699d,+560.065+0.00264848d,+480.047+0.00227002d,+600.074+0.00283773d,+440.04+0.00207663d,+1000.21+0.00472125d,+400.033+0.0018878d,+480.047+0.00226547d,+680.095+0.00320982d,+1600.37+0.00537457d,+520.056+0.00245432d,+400.033+0.0018878d,+400.033+0.00188782d,+360.027+0.00169899d,+800.132+0.00377656d,+800.132+0.00377656d,+1800.67+0.00850252d,+800.132+0.00377656d,+360.027+0.00169899d
2021-01-06 01:45:00 PST,+58935.7+160.996j,+15444.7+48.9523j,+5765.06+6.35472j,+5966.21+7.12117j,+14193.7+39.7226j,+17565.7+58.475j,+2080.89+0.00985663d,+6007.46+0.0285019d,+3041.91+0.0144144d,+2000.83+0.00947706d,+560.065+0.00265121d,+640.084+0.0030301d,+560.065+0.00265121d,+520.056+0.00246178d,+560.065+0.00264643d,+1000.21+0.00472706d,+640.084+0.00302465d,+480.047+0.00226826d,+520.056+0.00245734d,+1560.37+0.00545603d,+400.033+0.00189012d,+600.074+0.00283554d,+440.04+0.00207926d,+360.027+0.00170113d,+520.056+0.00245743d,+720.107+0.00340302d,+920.174+0.00434884d,+200.008+0.00094498d,+2320.9+0.00893996d
2021-01-06 02:00:00 PST,+60944.1+166.791j,+15528.6+50.9066j,+6085.64+7.08728j,+8572.78+14.6998j,+13110.5+34.6104j,+17646.2+59.1082j,+2080.89+0.00987024d,+2681.49+0.0127222d,+6849.71+0.0325542d,+2120.93+0.0100603d,+440.04+0.00208581d,+520.056+0.00246517d,+360.027+0.00170649d,+440.04+0.00208581d,+400.033+0.00189281d,+1160.28+0.00549172d,+720.107+0.00340773d,+680.095+0.00321833d,+400.033+0.00189281d,+1560.35+0.00521118d,+560.065+0.00265019d,+600.074+0.00283956d,+880.16+0.00416734d,+240.012+0.0011361d,+360.027+0.00170427d,+360.027+0.00170427d,+960.19+0.00454642d,+1120.26+0.00530468d,+3601.53+0.00975474d
2021-01-06 02:15:00 PST,+55476.1+141.715j,+12586.5+31.2588j,+5484.67+5.78971j,+6207.09+7.86175j,+12827.5+32.4757j,+18370+63.9983j,+3001.86+0.0142332d,+2761.57+0.0130926d,+2601.4+0.0123323d,+2040.86+0.00967278d,+680.095+0.00322154d,+440.04+0.00208422d,+440.04+0.00208422d,+600.074+0.0028424d,+400.033+0.00189219d,+960.19+0.00454283d,+480.047+0.00227074d,+480.047+0.00227074d,+760.119+0.00359597d,+1560.37+0.005462d,+440.04+0.00208146d,+400.033+0.00189219d,+440.04+0.00208174d,+440.04+0.00208174d,+320.021+0.00151388d,+400.033+0.00189245d,+1680.58+0.00795457d,+320.021+0.00151388d,+2400.86+0.00821033d
