# file...... Meter_652A_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power,xfmr_meter_652_A_1:measured_power,xfmr_meter_652_A_2:measured_power,xfmr_meter_652_A_3:measured_power,xfmr_meter_652_A_4:measured_power,xfmr_meter_652_A_5:measured_power,house_meter_652_A_1:measured_power,house_meter_652_A_2:measured_power,house_meter_652_A_3:measured_power,house_meter_652_A_4:measured_power,house_meter_652_A_5:measured_power,house_meter_652_A_6:measured_power,house_meter_652_A_7:measured_power,house_meter_652_A_8:measured_power,house_meter_652_A_9:measured_power,house_meter_652_A_10:measured_power,house_meter_652_A_11:measured_power,house_meter_652_A_12:measured_power,house_meter_652_A_13:measured_power,house_meter_652_A_14:measured_power,house_meter_652_A_15:measured_power,house_meter_652_A_16:measured_power,house_meter_652_A_17:measured_power,house_meter_652_A_18:measured_power,house_meter_652_A_19:measured_power,house_meter_652_A_20:measured_power,house_meter_652_A_21:measured_power,house_meter_652_A_22:measured_power,house_meter_652_A_23:measured_power
2021-01-06 02:30:00 PST,+104610+738.803j,+9132.94+15.8555j,+9453.39+16.7975j,+13507.4+34.3368j,+56595+616.141j,+15919.6+53.632j,+1240.31+0.00576562d,+2681.46+0.0124721d,+760.117+0.00353273d,+720.094+0.00299552d,+960.187+0.00446294d,+1040.22+0.00483509d,+760.117+0.00353273d,+960.187+0.00446294d,+840.143+0.00390502d,+1480.44+0.00688295d,+720.105+0.00334692d,+640.083+0.00297489d,+1880.72+0.00874534d,+1080.24+0.00502147d,+1960.78+0.00911792d,+840.143+0.00390502d,+200.008+0.000930094d,+1720.6+0.00800621d,+1840.69+0.00856541d,+1800.66+0.00837901d,+1000.2+0.00465274d,+1840.69+0.00856541d,+2601.37+0.0121089d
2021-01-06 02:45:00 PST,+107437+632.214j,+11099+23.3698j,+9533.71+17.1151j,+12704.2+30.3548j,+42867+358.006j,+31232+201.662j,+2361.13+0.0109804d,+2681.46+0.0124717d,+1600.52+0.00744087d,+760.117+0.00353261d,+840.143+0.00390465d,+760.117+0.00353261d,+880.157+0.00409069d,+1200.29+0.00557929d,+640.083+0.00297376d,+840.143+0.00390353d,+760.117+0.0035316d,+760.117+0.0035316d,+2040.84+0.00948693d,+1600.52+0.00743874d,+1880.72+0.00874201d,+1000.2+0.00464752d,+200.008+0.000929591d,+1720.6+0.00800187d,+1760.63+0.00818816d,+1720.6+0.00800187d,+840.143+0.0039058d,+1880.72+0.00874708d,+2080.88+0.0096788d
2021-01-06 03:00:00 PST,+96731+461.462j,+9092.96+15.7379j,+12543.4+29.4506j,+14673.5+40.8685j,+34634.3+230.866j,+25785.9+143.3j,+880.156+0.00407909d,+2761.54+0.0128081d,+800.129+0.00370808d,+1360.37+0.00630588d,+720.105+0.00333711d,+960.186+0.00445013d,+880.143+0.00372511d,+720.105+0.00333711d,+1880.71+0.00872519d,+640.083+0.00296804d,+1600.52+0.00742443d,+1200.29+0.00556697d,+1720.6+0.00798185d,+2801.59+0.0130022d,+1800.66+0.0083535d,+880.156+0.00408165d,+680.093+0.00315485d,+1800.66+0.00835675d,+1760.63+0.00817085d,+1720.6+0.00798496d,+440.039+0.00204108d,+1800.66+0.00835675d,+2641.41+0.0122628d
2021-01-06 03:15:00 PST,+95093.4+478.428j,+7729.73+11.5103j,+10256.1+19.8489j,+15234.3+43.309j,+39218.3+299.455j,+22653.9+103j,+680.093+0.00314652d,+2641.41+0.0122304d,+640.083+0.00296136d,+600.064+0.00243072d,+680.093+0.00314652d,+1040.22+0.00481338d,+760.116+0.00351687d,+680.093+0.00314652d,+840.142+0.00388905d,+600.073+0.00277749d,+640.083+0.00296273d,+640.083+0.00296273d,+1880.71+0.00870954d,+1480.44+0.00685479d,+1840.68+0.00852403d,+2321.09+0.0107508d,+1520.47+0.00704662d,+1840.68+0.00853177d,+1920.74+0.00890315d,+2961.77+0.0137344d,+360.026+0.00166776d,+1760.63+0.00816043d,+2481.24+0.0115038d
2021-01-06 03:30:00 PST,+81206.9+342.659j,+8291.06+13.1725j,+9493.64+16.9287j,+13146.3+32.5229j,+34871.1+231.243j,+15404.1+47.8423j,+960.186+0.00443628d,+2761.54+0.0127682d,+680.093+0.00314183d,+560.063+0.0025872d,+800.129+0.00369654d,+680.093+0.00314183d,+960.171+0.00408199d,+880.156+0.00406639d,+600.072+0.00277268d,+880.156+0.00406728d,+640.082+0.00295759d,+720.104+0.00332745d,+1720.6+0.00795372d,+1000.2+0.00462225d,+2040.84+0.00943531d,+1880.71+0.00869445d,+240.012+0.00110957d,+1840.68+0.00851491d,+1880.71+0.00870023d,+1920.74+0.00888556d,+360.026+0.00166447d,+2241.01+0.0103685d,+2120.91+0.00981232d
2021-01-06 03:45:00 PST,+89643.2+406.948j,+9132.98+15.8423j,+11139.3+23.5673j,+15477.1+45.4173j,+35435.6+254.605j,+18457.3+66.4252j,+920.171+0.0042648d,+2641.41+0.0122509d,+800.129+0.00370825d,+720.105+0.00333727d,+1560.49+0.00723443d,+760.117+0.00352276d,+760.117+0.00352276d,+960.186+0.00445034d,+720.105+0.00333849d,+960.186+0.00445197d,+720.105+0.00333849d,+640.083+0.0029674d,+1880.71+0.0087233d,+1360.37+0.00630848d,+1880.71+0.0087233d,+2961.77+0.0137436d,+480.047+0.0022271d,+1720.6+0.00798645d,+1920.75+0.00891618d,+1880.72+0.00873022d,+360.026+0.0016702d,+3121.97+0.0144994d,+2721.5+0.0126374d
2021-01-06 04:00:00 PST,+89474.2+425.79j,+8812.36+14.8644j,+9694.25+17.7055j,+14873.5+41.6533j,+39249.5+296.646j,+16843.7+53.7359j,+760.117+0.00352521d,+2641.41+0.0122594d,+600.073+0.00278279d,+800.117+0.0033583d,+600.073+0.00278279d,+1080.24+0.00501048d,+1640.54+0.00761109d,+680.093+0.00315398d,+720.105+0.00334013d,+640.083+0.00296886d,+640.083+0.00296886d,+720.105+0.00334013d,+1840.68+0.00854169d,+1320.35+0.0061258d,+1800.66+0.0083558d,+2000.81+0.00928535d,+680.094+0.00315748d,+1920.75+0.00892194d,+1960.78+0.00910804d,+1720.6+0.0079916d,+440.039+0.00204277d,+2681.46+0.0124593d,+2441.21+0.0113419d
2021-01-06 04:15:00 PST,+98099.6+520.54j,+8972.76+15.4509j,+9333.24+16.4873j,+14513+40.2828j,+39831.5+312.487j,+25448+134.428j,+1440.42+0.00672035d,+2681.46+0.0125168d,+760.117+0.00354538d,+640.083+0.00298536d,+600.073+0.00279871d,+1200.29+0.00559947d,+960.172+0.00412122d,+680.094+0.00317203d,+600.073+0.00279889d,+640.083+0.00298556d,+840.143+0.00391903d,+600.073+0.00279889d,+1880.72+0.00877673d,+1320.35+0.00616028d,+1880.72+0.00877673d,+1560.49+0.00728139d,+320.021+0.00149391d,+1800.66+0.00841084d,+1720.6+0.00803663d,+1840.69+0.00859796d,+680.094+0.00317526d,+1960.78+0.00915937d,+2321.1+0.0108441d
2021-01-06 04:30:00 PST,+121520+964.54j,+8050.45+12.5303j,+8891.95+14.9664j,+13427.3+34.146j,+59457.5+686.521j,+31690.8+213.756j,+800.13+0.00374111d,+2561.34+0.0119845d,+640.083+0.0029926d,+640.083+0.0029926d,+720.106+0.00336684d,+680.094+0.00317971d,+720.106+0.00336684d,+1280.33+0.00598754d,+800.13+0.00374169d,+680.094+0.00318021d,+720.106+0.00336736d,+640.083+0.00299306d,+1880.72+0.00879879d,+1200.29+0.00561391d,+1840.69+0.00861137d,+1120.26+0.0052394d,+440.039+0.0020592d,+1760.63+0.00824345d,+1720.6+0.0080559d,+1880.72+0.00880615d,+640.084+0.00299556d,+1920.75+0.00899373d,+2681.47+0.0125596d
2021-01-06 04:45:00 PST,+100700+570.331j,+7769.86+11.6882j,+10618.3+21.7866j,+14592.5+40.3001j,+43826.7+369.081j,+23891.7+125.932j,+760.117+0.00353835d,+2641.42+0.0123052d,+640.083+0.00297945d,+680.083+0.0028152d,+680.094+0.00316574d,+560.064+0.00260689d,+840.143+0.003911d,+960.187+0.00447004d,+640.083+0.002981d,+880.157+0.00409948d,+640.083+0.002981d,+720.105+0.00335379d,+2000.81+0.00932335d,+1360.38+0.00633741d,+3282.19+0.0153023d,+1080.24+0.00503179d,+560.064+0.00261015d,+1920.75+0.00895651d,+3041.88+0.0141908d,+1800.66+0.00839612d,+400.032+0.00186421d,+2080.88+0.00970384d,+2521.29+0.0117597d
