# file...... 1Meter_684_C_power.real.csv
# date...... Wed May 12 05:38:12 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_C_20:measured_power.real,house_meter_684_C_21:measured_power.real,house_meter_684_C_22:measured_power.real,house_meter_684_C_23:measured_power.real,house_meter_684_C_24:measured_power.real,house_meter_684_C_25:measured_power.real,house_meter_684_C_26:measured_power.real,house_meter_684_C_27:measured_power.real,house_meter_684_C_28:measured_power.real,house_meter_684_C_29:measured_power.real,house_meter_684_C_30:measured_power.real,house_meter_684_C_31:measured_power.real,house_meter_684_C_32:measured_power.real,house_meter_684_C_33:measured_power.real,house_meter_684_C_34:measured_power.real,house_meter_684_C_35:measured_power.real,house_meter_684_C_36:measured_power.real,house_meter_684_C_37:measured_power.real,house_meter_684_C_38:measured_power.real,house_meter_684_C_39:measured_power.real,house_meter_684_C_40:measured_power.real
2021-01-06 00:00:00 PST,3.3618e+003,1.5205e+003,5.6006e+002,4.0003e+002,2.8002e+002,2.4001e+002,3.2822e+003,3.2422e+003,5.2006e+002,1.8007e+003,2.5614e+003,2.3211e+003,1.9608e+003,2.1209e+003,1.0002e+003,2.6414e+003,1.2403e+003,2.6014e+003,1.0802e+003,2.1209e+003,2.9618e+003
2021-01-06 00:15:00 PST,1.8804e+003,1.0402e+003,8.8016e+002,4.0003e+002,6.0007e+002,9.6019e+002,3.2822e+003,3.2021e+003,4.4004e+002,1.4404e+003,2.4813e+003,2.4012e+003,1.9208e+003,2.0409e+003,1.2403e+003,1.6005e+003,1.2003e+003,2.5614e+003,2.1610e+003,2.2410e+003,2.7215e+003
2021-01-06 00:30:00 PST,5.6006e+002,1.0002e+003,2.8002e+002,9.2017e+002,7.6012e+002,4.8005e+002,3.1621e+003,3.2021e+003,4.4004e+002,1.2003e+003,2.3611e+003,2.3211e+003,5.6006e+002,1.3604e+003,1.4404e+003,1.7206e+003,1.2803e+003,2.8016e+003,2.3611e+003,2.4813e+003,2.3611e+003
2021-01-06 00:45:00 PST,1.1203e+003,1.7206e+003,1.0002e+003,4.0003e+002,3.6003e+002,3.2002e+002,3.4825e+003,3.3223e+003,4.8005e+002,8.8016e+002,2.2410e+003,2.6414e+003,1.0402e+003,1.2803e+003,2.0008e+003,1.8407e+003,1.4004e+003,3.5626e+003,2.6414e+003,3.1220e+003,2.2811e+003
2021-01-06 01:00:00 PST,4.8005e+002,1.0402e+003,4.4004e+002,3.6003e+002,4.4004e+002,9.6019e+002,3.7629e+003,3.7229e+003,3.6003e+002,9.2017e+002,2.3612e+003,2.4012e+003,1.0002e+003,1.0002e+003,2.6815e+003,1.8407e+003,1.6406e+003,2.8417e+003,3.0019e+003,2.4012e+003,2.4012e+003
2021-01-06 01:15:00 PST,4.0003e+002,9.2017e+002,5.6006e+002,1.0002e+003,9.6019e+002,4.8005e+002,3.1621e+003,3.3223e+003,5.2006e+002,1.0002e+003,1.4805e+003,2.5614e+003,8.4015e+002,9.2017e+002,1.5205e+003,1.6005e+003,1.2403e+003,2.6815e+003,2.7215e+003,2.2010e+003,2.5614e+003
2021-01-06 01:30:00 PST,8.0013e+002,1.8007e+003,8.0013e+002,3.6003e+002,2.4001e+002,5.6006e+002,3.2422e+003,3.1220e+003,4.0003e+002,1.1203e+003,1.2403e+003,2.5613e+003,5.6006e+002,9.6019e+002,1.3604e+003,1.5605e+003,1.3604e+003,2.6014e+003,2.6014e+003,2.4813e+003,2.6815e+003
2021-01-06 01:45:00 PST,7.2011e+002,9.2017e+002,2.0001e+002,2.3209e+003,4.8005e+002,7.6012e+002,3.4024e+003,3.6828e+003,6.0007e+002,1.1603e+003,1.2003e+003,2.7215e+003,6.4008e+002,7.6012e+002,1.5205e+003,2.8417e+003,2.6815e+003,2.6014e+003,2.3211e+003,2.2811e+003,2.5213e+003
2021-01-06 02:00:00 PST,3.6003e+002,9.6019e+002,1.1203e+003,3.6015e+003,1.0402e+003,2.8002e+002,3.8030e+003,3.4424e+003,4.8005e+002,8.8016e+002,1.0002e+003,2.5614e+003,6.4008e+002,8.0013e+002,1.5205e+003,2.8417e+003,2.5213e+003,2.9618e+003,2.2010e+003,2.3211e+003,2.4412e+003
2021-01-06 02:15:00 PST,4.0003e+002,1.6806e+003,3.2002e+002,2.4009e+003,2.0001e+002,8.8016e+002,3.2422e+003,3.1621e+003,4.0003e+002,8.0013e+002,8.8016e+002,2.4813e+003,9.6019e+002,1.0002e+003,1.5605e+003,3.0419e+003,2.6414e+003,3.1220e+003,2.2010e+003,2.4813e+003,2.2811e+003
2021-01-06 02:30:00 PST,1.0402e+003,1.0002e+003,6.4008e+002,1.1202e+003,4.4004e+002,4.8005e+002,3.2021e+003,3.2822e+003,4.8005e+002,7.6012e+002,1.0002e+003,2.3211e+003,9.6019e+002,1.0802e+003,8.4015e+002,3.1621e+003,2.6815e+003,2.9218e+003,2.3612e+003,2.4012e+003,2.3612e+003
2021-01-06 02:45:00 PST,3.2002e+002,1.0402e+003,7.2011e+002,1.1203e+003,9.2017e+002,2.4001e+002,3.5626e+003,3.8831e+003,4.4004e+002,1.1203e+003,9.6019e+002,2.2811e+003,9.6019e+002,1.2403e+003,6.8010e+002,3.4825e+003,2.6014e+003,2.5614e+003,2.4012e+003,2.2811e+003,2.5213e+003
2021-01-06 03:00:00 PST,4.0003e+002,1.6005e+003,2.8002e+002,3.6003e+002,2.8002e+002,1.0402e+003,3.5226e+003,3.2021e+003,4.0003e+002,1.1603e+003,1.0802e+003,2.4412e+003,6.4008e+002,9.2017e+002,7.2011e+002,4.2437e+003,2.4412e+003,2.4813e+003,2.4012e+003,2.2410e+003,2.8016e+003
2021-01-06 03:15:00 PST,1.1203e+003,1.0002e+003,1.0802e+003,3.6003e+002,6.4008e+002,2.8002e+002,3.3223e+003,3.5226e+003,6.8010e+002,1.0802e+003,1.2403e+003,2.5614e+003,5.6006e+002,4.8005e+002,1.0002e+003,3.3223e+003,1.9208e+003,2.4412e+003,2.1610e+003,2.2010e+003,2.7616e+003
2021-01-06 03:30:00 PST,3.6003e+002,1.1203e+003,3.2002e+002,1.0002e+003,7.2011e+002,5.6006e+002,3.2021e+003,3.7629e+003,4.8005e+002,3.6003e+002,1.0402e+003,2.7215e+003,5.6006e+002,4.8005e+002,9.6019e+002,3.5226e+003,7.2011e+002,2.4412e+003,2.2811e+003,2.2410e+003,2.6414e+003
2021-01-06 03:45:00 PST,4.0003e+002,1.6806e+003,6.4008e+002,2.4001e+002,2.8002e+002,8.0013e+002,3.6027e+003,3.5226e+003,5.6006e+002,4.0003e+002,9.2017e+002,2.7215e+003,8.4015e+002,4.4004e+002,1.7206e+003,2.8817e+003,6.8010e+002,2.4012e+003,1.8007e+003,2.5213e+003,1.8407e+003
2021-01-06 04:00:00 PST,7.6012e+002,1.0802e+003,8.0013e+002,4.0003e+002,8.8016e+002,3.2002e+002,3.6027e+003,3.2021e+003,6.0007e+002,4.0003e+002,9.6019e+002,2.4012e+003,1.1603e+003,7.6012e+002,2.0008e+003,2.6014e+003,9.6019e+002,2.6014e+003,7.2011e+002,2.6815e+003,4.4004e+002
2021-01-06 04:15:00 PST,6.0007e+002,8.8016e+002,3.6003e+002,9.2017e+002,4.0003e+002,1.0002e+003,3.1621e+003,3.3623e+003,5.2006e+002,8.0013e+002,1.6806e+003,1.7206e+003,2.5213e+003,8.4015e+002,5.6006e+002,1.3604e+003,8.8016e+002,1.0402e+003,8.8016e+002,2.0008e+003,6.0007e+002
