# file...... 1Meter_645_C_power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_645_C_24:measured_power,house_meter_645_C_25:measured_power,house_meter_645_C_26:measured_power,house_meter_645_C_27:measured_power,house_meter_645_C_28:measured_power,house_meter_645_C_29:measured_power,house_meter_645_C_30:measured_power,house_meter_645_C_31:measured_power,house_meter_645_C_32:measured_power,house_meter_645_C_33:measured_power,house_meter_645_C_34:measured_power,house_meter_645_C_35:measured_power,house_meter_645_C_36:measured_power,house_meter_645_C_37:measured_power,house_meter_645_C_38:measured_power,house_meter_645_C_39:measured_power,house_meter_645_C_40:measured_power
2021-01-06 00:00:00 PST,+1320.36+0.00619064d,+600.073+0.00280982d,+520.055+0.00243505d,+1240.31+0.00580923d,+560.064+0.00262243d,+1480.45+0.00693462d,+1080.24+0.00505916d,+520.055+0.00243505d,+1080.24+0.00505916d,+1480.45+0.00693754d,+1680.58+0.00787601d,+440.04+0.0020612d,+760.118+0.00356095d,+1720.6+0.00806373d,+1120.26+0.00524887d,+1320.36+0.00618693d,+840.144+0.00393598d
2021-01-06 00:15:00 PST,+4965.04+0.0233186d,+640.084+0.00299659d,+680.094+0.00318395d,+1160.27+0.00543305d,+560.064+0.00262189d,+880.158+0.00412091d,+760.118+0.00355871d,+1320.36+0.00618304d,+2040.85+0.00955982d,+680.094+0.00318346d,+1040.22+0.00486989d,+880.158+0.00412027d,+1040.22+0.00486989d,+680.094+0.00318346d,+880.158+0.00412027d,+880.158+0.00412027d,+1120.26+0.00524476d
2021-01-06 00:30:00 PST,+2881.7+0.0135132d,+560.064+0.00262025d,+680.094+0.00318197d,+1120.26+0.0052423d,+600.073+0.00280748d,+1840.69+0.00861614d,+1440.42+0.00674142d,+840.144+0.00393105d,+720.106+0.00336922d,+800.131+0.00374528d,+1240.31+0.00580675d,+1320.36+0.00618169d,+1560.5+0.0073067d,+2000.82+0.00937009d,+960.188+0.00449478d,+1160.27+0.00543186d,+960.188+0.00449478d
2021-01-06 00:45:00 PST,+712.103+0.00333052d,+600.073+0.00280574d,+2233.02+0.0104478d,+944.182+0.00441529d,+920.172+0.00430297d,+1120.26+0.00523904d,+760.118+0.00355428d,+560.064+0.00261862d,+1400.4+0.00654992d,+2000.82+0.00936134d,+1320.36+0.00617591d,+640.083+0.00299314d,+1280.33+0.00598862d,+1040.22+0.00486504d,+1160.27+0.00542678d,+1120.26+0.00523953d,+480.047+0.00224463d
2021-01-06 01:00:00 PST,+1080.24+0.00506428d,+720.106+0.0033786d,+4444.04+0.0208824d,+1280.34+0.00600846d,+4524.19+0.0212597d,+1160.28+0.00544477d,+1440.42+0.00676019d,+1920.75+0.00901624d,+880.158+0.00412981d,+640.084+0.00299913d,+880.158+0.00412441d,+1400.4+0.00656365d,+1240.31+0.00581295d,+1480.45+0.00693906d,+640.084+0.00299913d,+1600.52+0.00750224d,+1440.42+0.00675135d
2021-01-06 01:15:00 PST,+1160.27+0.00543543d,+640.084+0.0029981d,+560.064+0.00262321d,+800.131+0.003748d,+2481.26+0.0116308d,+1880.72+0.00881362d,+560.064+0.00262321d,+440.04+0.00206094d,+1320.36+0.00618617d,+1440.42+0.00675019d,+1760.63+0.00825185d,+520.055+0.00243619d,+560.064+0.00262366d,+1480.45+0.00693786d,+1440.42+0.00675019d,+1200.29+0.00562433d,+1200.29+0.00562433d
2021-01-06 01:30:00 PST,+1080.24+0.00505247d,+560.064+0.00261746d,+560.064+0.00261746d,+1440.42+0.00673422d,+720.106+0.00336563d,+760.118+0.0035527d,+1520.47+0.0071087d,+760.118+0.0035527d,+1120.26+0.00523671d,+560.064+0.00261811d,+920.172+0.00430213d,+960.188+0.00448929d,+1640.55+0.00767239d,+960.188+0.00448929d,+1040.22+0.00486364d,+1120.26+0.00523802d,+1600.52+0.00748508d
2021-01-06 01:45:00 PST,+704.101+0.00329695d,+2329.11+0.010911d,+464.044+0.00217222d,+3706.81+0.0173748d,+504.052+0.00235954d,+1920.75+0.00899652d,+640.084+0.00299649d,+1240.31+0.00580783d,+1240.31+0.00580783d,+1200.29+0.0056193d,+2160.95+0.0101207d,+1680.58+0.00786933d,+520.055+0.00243402d,+2080.88+0.00974537d,+1640.55+0.00768178d,+1360.38+0.00636916d,+400.033+0.00187218d
2021-01-06 02:00:00 PST,+960.188+0.00450484d,+4363.89+0.02048d,+560.064+0.00262433d,+2401.18+0.0112598d,+560.064+0.00262433d,+1040.22+0.00487519d,+1680.58+0.0078784d,+680.094+0.00318692d,+1080.24+0.00506282d,+1080.24+0.00505776d,+440.039+0.00205976d,+640.084+0.00299639d,+1640.55+0.00768294d,+640.084+0.00299639d,+560.064+0.00262171d,+840.144+0.00393324d,+1120.26+0.00524522d
2021-01-06 02:15:00 PST,+920.173+0.0043105d,+600.073+0.00280699d,+680.094+0.00318141d,+600.073+0.00280699d,+520.055+0.00243261d,+1240.31+0.00580339d,+600.073+0.00280699d,+1440.42+0.00674024d,+1040.22+0.00486676d,+560.064+0.00262097d,+1640.55+0.00768078d,+440.039+0.00205919d,+640.084+0.00299554d,+1920.75+0.00899368d,+1680.58+0.00786831d,+1400.4+0.0065558d,+880.158+0.00411948d
2021-01-06 02:30:00 PST,+920.173+0.00430567d,+680.094+0.00318124d,+680.094+0.00318124d,+480.047+0.00224531d,+600.073+0.00280684d,+1760.63+0.00823923d,+2040.85+0.00955166d,+520.055+0.00243247d,+1160.27+0.00542841d,+1520.47+0.00711465d,+600.073+0.00280684d,+1440.42+0.00673987d,+1600.52+0.00748948d,+1000.2+0.00467921d,+400.033+0.001871d,+640.083+0.00299403d,+720.106+0.00336845d
2021-01-06 02:45:00 PST,+888.161+0.0041571d,+560.064+0.00261972d,+424.037+0.00198334d,+616.077+0.00288179d,+520.055+0.00243254d,+880.158+0.00411751d,+640.083+0.00299411d,+480.047+0.00224537d,+840.144+0.00393026d,+520.055+0.0024345d,+1680.58+0.00787088d,+400.033+0.00187255d,+600.073+0.00280917d,+1360.38+0.00637042d,+1600.52+0.00749571d,+1800.66+0.00843371d,+1360.38+0.00637042d
2021-01-06 03:00:00 PST,+1080.24+0.00505805d,+600.073+0.00280922d,+1120.26+0.00524556d,+640.084+0.00299658d,+720.106+0.00337132d,+1800.66+0.00843387d,+1560.5+0.00730828d,+1280.33+0.00599551d,+1400.4+0.00655807d,+1480.45+0.00693116d,+440.039+0.0020593d,+1280.33+0.00599378d,+1120.26+0.00524405d,+1640.55+0.00768123d,+480.047+0.00224657d,+640.084+0.00299572d,+480.047+0.00224657d
2021-01-06 03:15:00 PST,+4363.9+0.0205224d,+600.074+0.00281279d,+4524.19+0.0212407d,+600.074+0.00281279d,+720.106+0.00337559d,+920.173+0.00431379d,+680.094+0.00318798d,+520.055+0.00243763d,+1080.24+0.00506451d,+720.106+0.00337641d,+1360.38+0.00638017d,+1080.24+0.00506574d,+1160.27+0.00544124d,+1680.58+0.00788294d,+1680.58+0.00788294d,+1840.69+0.00863454d,+1440.42+0.00675581d
2021-01-06 03:30:00 PST,+3682.77+0.0172781d,+520.055+0.00243687d,+2321.1+0.0108842d,+600.073+0.00281191d,+3442.42+0.0161498d,+1520.47+0.00712753d,+1680.58+0.00787857d,+1640.55+0.0076908d,+2200.99+0.0103205d,+840.144+0.00393205d,+720.106+0.00337008d,+960.188+0.0044941d,+800.131+0.00374471d,+2000.82+0.00936867d,+520.055+0.00243365d,+400.033+0.0018719d,+520.055+0.00243365d
2021-01-06 03:45:00 PST,+808.133+0.00378108d,+464.044+0.00217168d,+480.047+0.00224659d,+384.03+0.00179716d,+2993.83+0.0140253d,+2160.95+0.01012d,+560.064+0.00262115d,+680.094+0.00318305d,+560.064+0.00262115d,+2040.85+0.00956354d,+1120.26+0.00524761d,+1400.4+0.00656064d,+1400.4+0.00656064d,+1280.33+0.00599786d,+1360.38+0.00637304d,+1680.58+0.00787412d,+1640.55+0.00768645d
2021-01-06 04:00:00 PST,+920.173+0.00430606d,+640.084+0.00299585d,+600.073+0.00280854d,+1800.66+0.00843181d,+560.064+0.00262124d,+960.188+0.00449465d,+1480.45+0.00693146d,+1680.58+0.00786911d,+1560.5+0.0073065d,+680.094+0.00318195d,+1160.27+0.00542962d,+440.039+0.0020586d,+1080.24+0.00505492d,+2160.95+0.0101165d,+680.094+0.00318195d,+520.055+0.00243301d,+480.047+0.0022458d
2021-01-06 04:15:00 PST,+920.172+0.0042995d,+800.13+0.00374069d,+600.073+0.00280517d,+4484.1+0.0209951d,+480.047+0.00224397d,+1600.52+0.00748503d,+520.055+0.00243103d,+920.172+0.0043021d,+1120.26+0.00523798d,+1520.47+0.00711158d,+760.118+0.00355414d,+880.158+0.00411562d,+2721.51+0.0127353d,+1280.33+0.00598782d,+1240.31+0.00580056d,+1720.6+0.0080483d,+1280.33+0.00598782d
2021-01-06 04:30:00 PST,+1080.24+0.00507489d,+3522.54+0.0165674d,+680.095+0.00319494d,+2120.92+0.00996952d,+600.074+0.00281893d,+1200.29+0.00563993d,+1600.52+0.00752176d,+600.074+0.00281893d,+1560.5+0.00733354d,+1200.29+0.00563688d,+1480.45+0.00695334d,+1120.26+0.00526083d,+720.106+0.00338113d,+1480.45+0.00695334d,+1000.2+0.00469682d,+1280.34+0.00601296d,+680.095+0.00319321d
