# file...... Meter_684_A_Power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_A:measured_power.real,xfmr_meter_684_A_1:measured_power.real,xfmr_meter_684_A_2:measured_power.real,xfmr_meter_684_A_3:measured_power.real,xfmr_meter_684_A_4:measured_power.real,xfmr_meter_684_A_5:measured_power.real,house_meter_684_A_1:measured_power.real,house_meter_684_A_2:measured_power.real,house_meter_684_A_3:measured_power.real,house_meter_684_A_4:measured_power.real,house_meter_684_A_5:measured_power.real,house_meter_684_A_6:measured_power.real,house_meter_684_A_7:measured_power.real,house_meter_684_A_8:measured_power.real,house_meter_684_A_9:measured_power.real,house_meter_684_A_10:measured_power.real,house_meter_684_A_11:measured_power.real,house_meter_684_A_12:measured_power.real,house_meter_684_A_13:measured_power.real,house_meter_684_A_14:measured_power.real,house_meter_684_A_15:measured_power.real,house_meter_684_A_16:measured_power.real,house_meter_684_A_17:measured_power.real,house_meter_684_A_18:measured_power.real,house_meter_684_A_19:measured_power.real
2021-01-06 03:00:00 PST,2.9588e+004,5.7647e+003,7.4891e+003,5.9657e+003,5.8053e+003,4.5630e+003,6.8009e+002,6.4008e+002,8.4014e+002,6.4008e+002,8.0013e+002,6.8009e+002,7.6012e+002,7.2010e+002,6.4008e+002,9.2017e+002,8.0013e+002,6.0007e+002,2.5213e+003,5.6006e+002,5.6006e+002,8.8016e+002,6.4008e+002,4.4004e+002,6.8009e+002
2021-01-06 03:15:00 PST,3.1713e+004,6.0852e+003,8.0105e+003,8.3309e+003,5.6848e+003,3.6020e+003,8.4014e+002,6.0007e+002,8.0013e+002,6.8009e+002,8.4014e+002,7.2010e+002,7.6012e+002,8.4014e+002,6.4008e+002,9.6018e+002,8.0013e+002,6.0007e+002,1.0002e+003,7.6012e+002,2.8016e+003,4.4004e+002,4.4004e+002,7.6012e+002,9.2017e+002
2021-01-06 03:30:00 PST,3.0437e+004,5.8448e+003,5.2839e+003,1.0903e+004,4.6030e+003,3.8023e+003,8.0013e+002,6.0007e+002,7.2010e+002,7.2010e+002,8.4014e+002,6.4008e+002,7.6012e+002,7.6012e+002,6.8009e+002,8.4014e+002,8.0013e+002,6.0007e+002,5.6006e+002,5.2005e+002,6.0007e+002,6.8009e+002,1.0002e+003,5.2005e+002,6.8009e+002
2021-01-06 03:45:00 PST,3.9799e+004,5.7246e+003,7.0074e+003,1.8181e+004,5.0838e+003,3.8022e+003,7.6012e+002,5.6006e+002,7.2010e+002,6.4008e+002,8.4014e+002,7.2010e+002,8.0013e+002,6.8009e+002,6.8009e+002,9.2017e+002,8.0013e+002,6.0007e+002,6.8009e+002,1.8407e+003,1.0402e+003,4.4004e+002,4.8005e+002,6.7291e+003,1.0002e+003
2021-01-06 04:00:00 PST,4.3557e+004,1.2021e+004,8.0499e+003,1.5641e+004,4.1224e+003,3.7221e+003,2.1609e+003,1.4404e+003,1.8407e+003,1.3204e+003,2.0408e+003,1.7206e+003,7.2010e+002,7.6012e+002,2.2010e+003,9.6019e+002,7.6012e+002,1.2803e+003,8.8016e+002,7.2010e+002,5.2005e+002,7.2010e+002,1.0002e+003,4.6844e+003,6.4008e+002
2021-01-06 04:15:00 PST,6.2806e+004,2.2514e+004,1.2306e+004,1.9861e+004,4.2426e+003,3.8822e+003,3.7228e+003,3.5225e+003,2.2811e+003,3.4023e+003,2.4812e+003,3.5626e+003,2.6414e+003,8.4014e+002,3.6827e+003,1.1603e+003,8.8016e+002,3.4825e+003,6.8009e+002,8.0013e+002,8.0013e+002,8.0013e+002,1.5605e+003,3.4825e+003,1.0802e+003
2021-01-06 04:30:00 PST,7.0813e+004,2.3402e+004,1.3711e+004,2.4973e+004,4.6431e+003,4.0825e+003,3.6427e+003,3.6828e+003,8.4014e+002,3.4825e+003,3.6427e+003,3.5626e+003,3.6427e+003,8.4014e+002,3.6026e+003,1.2003e+003,1.0002e+003,3.4424e+003,4.8005e+002,2.6815e+003,4.4004e+002,8.4014e+002,3.4825e+003,4.1235e+003,2.3211e+003
2021-01-06 04:45:00 PST,7.6934e+004,2.2475e+004,1.6804e+004,3.0049e+004,4.2025e+003,3.4018e+003,3.6827e+003,3.6427e+003,8.4014e+002,3.4825e+003,2.6414e+003,3.5225e+003,3.6827e+003,9.2017e+002,3.7228e+003,1.1603e+003,1.0002e+003,3.4825e+003,9.6019e+002,3.5626e+003,1.2003e+003,1.6806e+003,3.8831e+003,3.5225e+003,3.8831e+003
2021-01-06 05:00:00 PST,7.9033e+004,2.3845e+004,2.0672e+004,2.7952e+004,3.8020e+003,2.7611e+003,3.7629e+003,3.6827e+003,8.4014e+002,3.5626e+003,3.8430e+003,3.4424e+003,3.7228e+003,9.2017e+002,3.6827e+003,1.0802e+003,1.0802e+003,3.6026e+003,5.2005e+002,6.3682e+003,7.2010e+002,3.5626e+003,3.6026e+003,5.1253e+003,3.8831e+003
2021-01-06 05:15:00 PST,8.6017e+004,2.4528e+004,2.1629e+004,3.0613e+004,4.9636e+003,4.2828e+003,3.6827e+003,3.6427e+003,1.7606e+003,3.4825e+003,3.8029e+003,3.5225e+003,3.6827e+003,8.8016e+002,3.6427e+003,1.0802e+003,1.0002e+003,3.5225e+003,3.5626e+003,3.5225e+003,2.0809e+003,3.1620e+003,3.9632e+003,3.9231e+003,4.0433e+003
