# file...... 1Meter_611_C_power.real.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_20:measured_power.real,house_meter_611_C_21:measured_power.real,house_meter_611_C_22:measured_power.real,house_meter_611_C_23:measured_power.real,house_meter_611_C_24:measured_power.real,house_meter_611_C_25:measured_power.real,house_meter_611_C_26:measured_power.real,house_meter_611_C_27:measured_power.real,house_meter_611_C_28:measured_power.real,house_meter_611_C_29:measured_power.real,house_meter_611_C_30:measured_power.real,house_meter_611_C_31:measured_power.real,house_meter_611_C_32:measured_power.real,house_meter_611_C_33:measured_power.real,house_meter_611_C_34:measured_power.real,house_meter_611_C_35:measured_power.real,house_meter_611_C_36:measured_power.real,house_meter_611_C_37:measured_power.real,house_meter_611_C_38:measured_power.real,house_meter_611_C_39:measured_power.real,house_meter_611_C_40:measured_power.real
2021-01-06 03:30:00 PST,3.2002e+002,7.6012e+002,8.0013e+002,1.0802e+003,1.7206e+003,9.2017e+002,9.2017e+002,8.4014e+002,5.2006e+002,6.8009e+002,9.6019e+002,1.6806e+003,2.7215e+003,1.8407e+003,2.0409e+003,2.4813e+003,2.5613e+003,4.0834e+003,2.7215e+003,2.0008e+003,2.4012e+003
2021-01-06 03:45:00 PST,2.8002e+002,6.8009e+002,6.0007e+002,1.1203e+003,5.6006e+002,5.6006e+002,1.8007e+003,7.6012e+002,1.9208e+003,6.8009e+002,8.8016e+002,1.5205e+003,8.8016e+002,3.1220e+003,2.0409e+003,2.0409e+003,2.6414e+003,5.6465e+003,1.5605e+003,4.2036e+003,2.8417e+003
2021-01-06 04:00:00 PST,5.6006e+002,8.4014e+002,2.0409e+003,9.6019e+002,7.6012e+002,3.6828e+003,1.0402e+003,6.0007e+002,1.2003e+003,5.6006e+002,5.2006e+002,6.8009e+002,6.0007e+002,4.0033e+003,3.4825e+003,2.0409e+003,2.5213e+003,2.0008e+003,2.2811e+003,2.8016e+003,2.5213e+003
2021-01-06 04:15:00 PST,1.0802e+003,9.2017e+002,7.2011e+002,1.0802e+003,7.6012e+002,5.6006e+002,1.0002e+003,6.0007e+002,6.4008e+002,5.6006e+002,6.8009e+002,8.0013e+002,6.4008e+002,1.9208e+003,5.0452e+003,2.0809e+003,5.6065e+003,2.0008e+003,3.7228e+003,4.8448e+003,2.6414e+003
2021-01-06 04:30:00 PST,1.0802e+003,1.5205e+003,6.8009e+002,1.1603e+003,8.4014e+002,9.2017e+002,7.6012e+002,6.0007e+002,5.6006e+002,7.6012e+002,6.8009e+002,7.6012e+002,7.6012e+002,1.6806e+003,2.8417e+003,2.0409e+003,1.8807e+003,2.0809e+003,3.3623e+003,2.4012e+003,3.8831e+003
2021-01-06 04:45:00 PST,4.0003e+002,7.6012e+002,7.2011e+002,1.0402e+003,9.6019e+002,9.2017e+002,8.0013e+002,1.0002e+003,6.4008e+002,6.0007e+002,7.2011e+002,6.4008e+002,8.8016e+002,1.8007e+003,2.8016e+003,4.8849e+003,1.8807e+003,2.0008e+003,2.7616e+003,2.0409e+003,4.6845e+003
2021-01-06 05:00:00 PST,4.8005e+002,1.0002e+003,8.0013e+002,1.0002e+003,1.0002e+003,6.4008e+002,6.8009e+002,6.4008e+002,7.2011e+002,5.2006e+002,5.2006e+002,7.2011e+002,6.8009e+002,1.8407e+003,2.0409e+003,2.9618e+003,1.7606e+003,2.3211e+003,1.5205e+003,2.0008e+003,4.7647e+003
2021-01-06 05:15:00 PST,4.4004e+002,1.2803e+003,6.4008e+002,1.1203e+003,8.0013e+002,5.2006e+002,9.2017e+002,5.2006e+002,9.6019e+002,6.4008e+002,5.2006e+002,1.0402e+003,7.2011e+002,1.6005e+003,2.0008e+003,2.1209e+003,1.8007e+003,7.3712e+003,2.7215e+003,2.0409e+003,2.4412e+003
2021-01-06 05:30:00 PST,4.0003e+002,9.2017e+002,6.8009e+002,1.3204e+003,6.4008e+002,6.0007e+002,1.1203e+003,6.8009e+002,6.0007e+002,6.4008e+002,6.8009e+002,1.0402e+003,1.3604e+003,5.8871e+003,4.2437e+003,2.4412e+003,2.0409e+003,2.0008e+003,2.6414e+003,2.1209e+003,2.5213e+003
2021-01-06 05:45:00 PST,4.8005e+002,8.4015e+002,8.4015e+002,1.1603e+003,1.0002e+003,1.0402e+003,8.4015e+002,7.2011e+002,5.6006e+002,6.4008e+002,6.4008e+002,6.8010e+002,8.5752e+003,1.4805e+003,5.6867e+003,2.7215e+003,5.6867e+003,2.0809e+003,3.9232e+003,5.6867e+003,2.2410e+003
2021-01-06 06:00:00 PST,4.8005e+002,1.5205e+003,7.6012e+002,9.6019e+002,6.8010e+002,1.9608e+003,6.8010e+002,8.4015e+002,7.2011e+002,5.6006e+002,5.2006e+002,7.6012e+002,1.1548e+004,2.0809e+003,2.0809e+003,2.8016e+003,3.3223e+003,2.0409e+003,2.7616e+003,2.4012e+003,4.9250e+003
2021-01-06 06:15:00 PST,3.6003e+002,2.0809e+003,2.0409e+003,1.1603e+003,6.8010e+002,1.7206e+003,8.0013e+002,5.6006e+002,5.6006e+002,6.8010e+002,5.2006e+002,7.2011e+002,1.1467e+004,1.6005e+003,2.0809e+003,6.3283e+003,2.6014e+003,2.0809e+003,1.6406e+003,2.0809e+003,4.0033e+003
2021-01-06 06:30:00 PST,2.8002e+002,8.4015e+002,2.0409e+003,1.1603e+003,8.0013e+002,7.2011e+002,8.4015e+002,7.6012e+002,6.0007e+002,5.2006e+002,7.2011e+002,6.8010e+002,1.1387e+004,2.0008e+003,2.1209e+003,2.0809e+003,2.2811e+003,2.2010e+003,2.7616e+003,2.0809e+003,3.0419e+003
2021-01-06 06:45:00 PST,6.0007e+002,7.6012e+002,8.8016e+002,1.1203e+003,9.2018e+002,6.8010e+002,8.0013e+002,4.8005e+002,8.4015e+002,5.6006e+002,5.6006e+002,7.2011e+002,6.5288e+003,4.4040e+003,2.0809e+003,2.2010e+003,2.0809e+003,7.2910e+003,1.5205e+003,2.0409e+003,2.7215e+003
2021-01-06 07:00:00 PST,5.6006e+002,1.1203e+003,6.8010e+002,2.3211e+003,5.2006e+002,8.4015e+002,1.0402e+003,7.6012e+002,8.4015e+002,7.2011e+002,5.2006e+002,8.8016e+002,7.5318e+003,3.0820e+003,2.6014e+003,2.0809e+003,1.8787e+003,2.8817e+003,3.9633e+003,7.6012e+002,2.5614e+003
2021-01-06 07:15:00 PST,3.2002e+002,1.0802e+003,3.6428e+003,7.1307e+003,1.0704e+004,8.0013e+002,9.2018e+002,2.0809e+003,5.2006e+002,6.4009e+002,5.2006e+002,1.0802e+003,6.7696e+003,2.2010e+003,6.8097e+003,6.0076e+003,5.4863e+003,5.2458e+003,7.2912e+003,4.6846e+003,2.6415e+003
2021-01-06 07:30:00 PST,1.1203e+003,8.8016e+002,1.1589e+004,1.1428e+004,1.2956e+004,6.4009e+002,2.6815e+003,6.4488e+003,4.8005e+002,4.8005e+002,6.4009e+002,1.0402e+003,6.8098e+003,2.1610e+003,3.3624e+003,2.4012e+003,2.0008e+003,3.8832e+003,1.6406e+003,2.9618e+003,6.4087e+003
2021-01-06 07:45:00 PST,1.6096e+004,7.6012e+002,1.1428e+004,1.1348e+004,1.1549e+004,6.4009e+002,1.2031e+004,1.0865e+004,6.0008e+002,5.5265e+003,6.4009e+002,4.1236e+003,7.2112e+003,5.5666e+003,2.3211e+003,2.3211e+003,2.0409e+003,4.5244e+003,2.8017e+003,2.1210e+003,3.6829e+003
2021-01-06 08:00:00 PST,1.5211e+004,3.8432e+003,1.1227e+004,1.1187e+004,1.2434e+004,6.1281e+003,1.1428e+004,1.0785e+004,9.2018e+002,1.2353e+004,9.1381e+003,2.6415e+003,6.8502e+003,9.8610e+003,2.5614e+003,2.8818e+003,2.5614e+003,3.8432e+003,1.6406e+003,2.2811e+003,2.8017e+003
2021-01-06 08:15:00 PST,1.4526e+004,2.6816e+003,1.1429e+004,1.0946e+004,1.5734e+004,1.2514e+004,1.1630e+004,1.1268e+004,1.0384e+004,1.1228e+004,1.0544e+004,1.2403e+003,5.5267e+003,6.0078e+003,2.1210e+003,6.6496e+003,2.5616e+003,7.4921e+003,3.6028e+003,2.5214e+003,2.5614e+003
