# file...... Meter_684_A_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_A:measured_power,xfmr_meter_684_A_1:measured_power,xfmr_meter_684_A_2:measured_power,xfmr_meter_684_A_3:measured_power,xfmr_meter_684_A_4:measured_power,xfmr_meter_684_A_5:measured_power,house_meter_684_A_1:measured_power,house_meter_684_A_2:measured_power,house_meter_684_A_3:measured_power,house_meter_684_A_4:measured_power,house_meter_684_A_5:measured_power,house_meter_684_A_6:measured_power,house_meter_684_A_7:measured_power,house_meter_684_A_8:measured_power,house_meter_684_A_9:measured_power,house_meter_684_A_10:measured_power,house_meter_684_A_11:measured_power,house_meter_684_A_12:measured_power,house_meter_684_A_13:measured_power,house_meter_684_A_14:measured_power,house_meter_684_A_15:measured_power,house_meter_684_A_16:measured_power,house_meter_684_A_17:measured_power,house_meter_684_A_18:measured_power,house_meter_684_A_19:measured_power,house_meter_684_A_20:measured_power,house_meter_684_A_21:measured_power,house_meter_684_A_22:measured_power,house_meter_684_A_23:measured_power
2021-01-06 02:30:00 PST,+29346.5+33.2017j,+6005.09+6.62247j,+5203.83+4.97876j,+7448.72+10.5458j,+6165.71+7.12076j,+4523.09+3.83964j,+840.142+0.00387838d,+640.082+0.0029546d,+800.129+0.0036936d,+600.072+0.00276987d,+840.142+0.00387838d,+680.093+0.00313934d,+880.156+0.00406316d,+720.104+0.00332408d,+600.072+0.00276947d,+720.104+0.0033236d,+800.129+0.00369307d,+560.063+0.00258477d,+640.082+0.00295417d,+480.046+0.00221541d,+800.129+0.00369307d,+600.072+0.00276947d,+1760.62+0.00813277d,+560.063+0.00258583d,+840.142+0.00387939d,+440.039+0.00203157d,+440.039+0.00203157d,+1880.71+0.00868791d,+920.17+0.00424907d
2021-01-06 02:45:00 PST,+30229.1+35.5669j,+5684.56+5.93234j,+6005.14+6.64159j,+7690.16+11.5858j,+6205.91+7.26013j,+4643.26+4.04735j,+640.082+0.00295278d,+560.063+0.00258355d,+800.129+0.00369133d,+640.082+0.00295278d,+840.142+0.00387599d,+680.093+0.0031374d,+840.142+0.00387599d,+680.093+0.0031374d,+640.082+0.00295295d,+920.17+0.00424558d,+800.129+0.00369154d,+640.082+0.00295295d,+800.129+0.00369154d,+760.116+0.00350688d,+1000.2+0.00461498d,+440.039+0.00202991d,+520.054+0.00239983d,+720.104+0.00332324d,+960.185+0.00443163d,+800.129+0.00369267d,+840.142+0.0038774d,+2921.72+0.0134955d,+360.026+0.00166126d
2021-01-06 03:00:00 PST,+29587.8+33.9478j,+5764.66+6.08324j,+7489.06+10.7422j,+5965.68+6.79113j,+5805.28+6.39094j,+4563.01+3.84504j,+680.093+0.00313174d,+640.082+0.00294745d,+840.142+0.003869d,+640.082+0.00294745d,+800.128+0.00368467d,+680.093+0.00313174d,+760.116+0.00350035d,+720.104+0.00331604d,+640.082+0.00294837d,+920.17+0.004239d,+800.128+0.00368582d,+600.072+0.00276403d,+2521.28+0.0116224d,+560.063+0.0025797d,+560.063+0.0025797d,+880.155+0.0040546d,+640.082+0.00294756d,+440.039+0.0020262d,+680.093+0.00313186d,+520.054+0.00239472d,+480.046+0.00221046d,+1960.77+0.00903408d,+720.104+0.00331616d
2021-01-06 03:15:00 PST,+31713.5+40.8441j,+6085.19+6.77181j,+8010.55+12.3545j,+8330.9+13.1578j,+5684.79+6.01382j,+3601.97+2.4317j,+840.141+0.00386431d,+600.072+0.00275983d,+800.128+0.00368021d,+680.093+0.00312795d,+840.141+0.00386431d,+720.104+0.00331203d,+760.116+0.00349612d,+840.141+0.00386431d,+640.082+0.00294491d,+960.185+0.00441822d,+800.128+0.00368149d,+600.072+0.00276079d,+1000.2+0.00460242d,+760.116+0.00349733d,+2801.57+0.0129008d,+440.039+0.00202438d,+440.039+0.0020245d,+760.116+0.00349754d,+920.17+0.00423427d,+680.093+0.00312922d,+880.155+0.00405007d,+2321.08+0.0106867d,+1760.62+0.00810443d
2021-01-06 03:30:00 PST,+30436.9+42.2691j,+5844.79+6.24157j,+5283.93+5.10981j,+10902.8+24.1809j,+4603.01+3.88835j,+3802.26+2.73371j,+800.128+0.00367724d,+600.072+0.0027576d,+720.104+0.00330936d,+720.104+0.00330936d,+840.141+0.0038612d,+640.082+0.00294151d,+760.116+0.0034933d,+760.116+0.0034933d,+680.093+0.00312512d,+840.141+0.00386081d,+800.128+0.00367687d,+600.072+0.00275732d,+560.063+0.00257344d,+520.054+0.00238956d,+600.072+0.00275732d,+680.093+0.00312512d,+1000.2+0.00460132d,+520.054+0.00239199d,+680.093+0.00312829d,+440.039+0.0020239d,+520.054+0.00239199d,+2641.4+0.0121595d,+4564.18+0.0210271d
2021-01-06 03:45:00 PST,+39799.4+89.4334j,+5724.61+6.00469j,+7007.4+9.19439j,+18181.3+66.4964j,+5083.77+4.79103j,+3802.18+2.70646j,+760.116+0.00350197d,+560.063+0.00258009d,+720.104+0.00331757d,+640.082+0.00294881d,+840.142+0.00387078d,+720.104+0.00331757d,+800.128+0.00368637d,+680.093+0.00313319d,+680.093+0.00313392d,+920.17+0.00424062d,+800.129+0.00368723d,+600.072+0.00276509d,+680.093+0.00313392d,+1840.68+0.00848594d,+1040.22+0.00479409d,+440.039+0.00202753d,+480.046+0.00221641d,+6729.13+0.0311472d,+1000.2+0.00461896d,+680.093+0.00314029d,+800.129+0.00369472d,+3282.17+0.0151711d,+4403.91+0.0203653d
2021-01-06 04:00:00 PST,+43556.9+92.5544j,+12021.1+26.7948j,+8049.87+12.1839j,+15641.2+47.5772j,+4122.44+3.13405j,+3722.11+2.60672j,+2160.94+0.00998038d,+1440.42+0.00665069d,+1840.68+0.00850016d,+1320.35+0.00609602d,+2040.84+0.00942523d,+1720.6+0.00794522d,+720.104+0.0033239d,+760.116+0.00350865d,+2200.97+0.0101581d,+960.185+0.00442931d,+760.116+0.00350612d,+1280.33+0.00590689d,+880.156+0.00406001d,+720.104+0.00332151d,+520.054+0.00239858d,+720.104+0.00332151d,+1000.2+0.00462035d,+4684.42+0.0216715d,+640.082+0.00295638d,+400.032+0.00184747d,+440.039+0.00203227d,+3041.86+0.0140632d,+2961.77+0.0136925d
2021-01-06 04:15:00 PST,+62806.4+205.681j,+22514+94.3524j,+12305.9+29.707j,+19861.3+74.9134j,+4242.57+3.32596j,+3882.19+2.80248j,+3722.81+0.0173269d,+3522.52+0.0163934d,+2281.05+0.0106104d,+3402.35+0.0158334d,+2481.25+0.0115426d,+3562.57+0.0165801d,+2641.41+0.0122884d,+840.143+0.00390568d,+3682.74+0.0171082d,+1160.27+0.00538453d,+880.157+0.00408412d,+3482.45+0.0161764d,+680.093+0.00315553d,+800.129+0.00371266d,+800.129+0.00371266d,+800.129+0.00371266d,+1560.49+0.00725305d,+3482.46+0.0161988d,+1080.24+0.00501988d,+3162.03+0.0147064d,+1720.6+0.00799773d,+4043.31+0.0188119d,+4243.65+0.0197456d
2021-01-06 04:30:00 PST,+70812.5+264.282j,+23401.9+102.785j,+13711.4+36.6176j,+24973.1+116.989j,+4643.12+4.00601j,+4082.52+3.13776j,+3642.69+0.0169763d,+3682.75+0.0171633d,+840.143+0.00391092d,+3482.46+0.0162285d,+3642.69+0.0169763d,+3562.58+0.0166024d,+3642.69+0.0169763d,+840.143+0.00391092d,+3602.63+0.0167595d,+1200.29+0.00557833d,+1000.2+0.00464804d,+3442.4+0.016013d,+480.047+0.00223036d,+2681.46+0.0124695d,+440.039+0.00204444d,+840.143+0.00390398d,+3482.46+0.0162332d,+4123.45+0.0192261d,+2321.09+0.0108145d,+3202.08+0.0149245d,+5165.42+0.0240946d,+3081.93+0.0143638d,+3001.83+0.01399d
2021-01-06 04:45:00 PST,+76933.9+321.478j,+22475.3+94.5191j,+16804.1+53.6631j,+30049.4+166.903j,+4202.54+3.26983j,+3401.83+2.20588j,+3682.74+0.0171074d,+3642.68+0.0169211d,+840.143+0.00389823d,+3482.45+0.0161757d,+2641.41+0.012265d,+3522.51+0.0163621d,+3682.74+0.0171074d,+920.171+0.00426969d,+3722.8+0.0172759d,+1160.27+0.00537873d,+1000.2+0.00463638d,+3482.45+0.0161589d,+960.186+0.00445082d,+3562.57+0.0165312d,+1200.29+0.00556434d,+1680.57+0.00779234d,+3883.06+0.0180645d,+3522.51+0.0163848d,+3883.06+0.0180645d,+4123.45+0.0191847d,+4604.3+0.0214261d,+4243.65+0.019745d,+4163.51+0.0193715d
