# file...... Meter_652A_Power.real.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power.real,xfmr_meter_652_A_1:measured_power.real,xfmr_meter_652_A_2:measured_power.real,xfmr_meter_652_A_3:measured_power.real,xfmr_meter_652_A_4:measured_power.real,xfmr_meter_652_A_5:measured_power.real,house_meter_652_A_1:measured_power.real,house_meter_652_A_2:measured_power.real,house_meter_652_A_3:measured_power.real,house_meter_652_A_4:measured_power.real,house_meter_652_A_5:measured_power.real,house_meter_652_A_6:measured_power.real,house_meter_652_A_7:measured_power.real,house_meter_652_A_8:measured_power.real,house_meter_652_A_9:measured_power.real,house_meter_652_A_10:measured_power.real,house_meter_652_A_11:measured_power.real,house_meter_652_A_12:measured_power.real,house_meter_652_A_13:measured_power.real,house_meter_652_A_14:measured_power.real,house_meter_652_A_15:measured_power.real,house_meter_652_A_16:measured_power.real,house_meter_652_A_17:measured_power.real,house_meter_652_A_18:measured_power.real,house_meter_652_A_19:measured_power.real
2021-01-06 03:00:00 PST,9.6734e+004,9.0930e+003,1.2544e+004,1.4674e+004,3.4636e+004,2.5787e+004,8.8016e+002,2.7616e+003,8.0013e+002,1.3604e+003,7.2011e+002,9.6019e+002,8.8014e+002,7.2011e+002,1.8807e+003,6.4008e+002,1.6005e+003,1.2003e+003,1.7206e+003,2.8016e+003,1.8007e+003,8.8016e+002,6.8009e+002,1.8007e+003,1.7606e+003
2021-01-06 03:15:00 PST,9.5096e+004,7.7298e+003,1.0256e+004,1.5235e+004,3.9220e+004,2.2655e+004,6.8009e+002,2.6414e+003,6.4008e+002,6.0006e+002,6.8009e+002,1.0402e+003,7.6012e+002,6.8009e+002,8.4014e+002,6.0007e+002,6.4008e+002,6.4008e+002,1.8807e+003,1.4804e+003,1.8407e+003,2.3211e+003,1.5205e+003,1.8407e+003,1.9208e+003
2021-01-06 03:30:00 PST,8.1209e+004,8.2911e+003,9.4937e+003,1.3146e+004,3.4872e+004,1.5404e+004,9.6019e+002,2.7615e+003,6.8009e+002,5.6006e+002,8.0013e+002,6.8009e+002,9.6017e+002,8.8016e+002,6.0007e+002,8.8016e+002,6.4008e+002,7.2011e+002,1.7206e+003,1.0002e+003,2.0408e+003,1.8807e+003,2.4001e+002,1.8407e+003,1.8807e+003
2021-01-06 03:45:00 PST,8.9645e+004,9.1330e+003,1.1139e+004,1.5477e+004,3.5437e+004,1.8458e+004,9.2017e+002,2.6414e+003,8.0013e+002,7.2011e+002,1.5605e+003,7.6012e+002,7.6012e+002,9.6019e+002,7.2011e+002,9.6019e+002,7.2011e+002,6.4008e+002,1.8807e+003,1.3604e+003,1.8807e+003,2.9618e+003,4.8005e+002,1.7206e+003,1.9207e+003
2021-01-06 04:00:00 PST,8.9476e+004,8.8124e+003,9.6943e+003,1.4874e+004,3.9251e+004,1.6844e+004,7.6012e+002,2.6414e+003,6.0007e+002,8.0012e+002,6.0007e+002,1.0802e+003,1.6405e+003,6.8009e+002,7.2011e+002,6.4008e+002,6.4008e+002,7.2011e+002,1.8407e+003,1.3204e+003,1.8007e+003,2.0008e+003,6.8009e+002,1.9207e+003,1.9608e+003
2021-01-06 04:15:00 PST,9.8100e+004,8.9728e+003,9.3332e+003,1.4513e+004,3.9832e+004,2.5448e+004,1.4404e+003,2.6815e+003,7.6012e+002,6.4008e+002,6.0007e+002,1.2003e+003,9.6017e+002,6.8009e+002,6.0007e+002,6.4008e+002,8.4014e+002,6.0007e+002,1.8807e+003,1.3204e+003,1.8807e+003,1.5605e+003,3.2002e+002,1.8007e+003,1.7206e+003
2021-01-06 04:30:00 PST,1.2152e+005,8.0505e+003,8.8920e+003,1.3427e+004,5.9458e+004,3.1691e+004,8.0013e+002,2.5613e+003,6.4008e+002,6.4008e+002,7.2011e+002,6.8009e+002,7.2011e+002,1.2803e+003,8.0013e+002,6.8009e+002,7.2011e+002,6.4008e+002,1.8807e+003,1.2003e+003,1.8407e+003,1.1203e+003,4.4004e+002,1.7606e+003,1.7206e+003
2021-01-06 04:45:00 PST,1.0070e+005,7.7699e+003,1.0618e+004,1.4593e+004,4.3827e+004,2.3892e+004,7.6012e+002,2.6414e+003,6.4008e+002,6.8008e+002,6.8009e+002,5.6006e+002,8.4014e+002,9.6019e+002,6.4008e+002,8.8016e+002,6.4008e+002,7.2011e+002,2.0008e+003,1.3604e+003,3.2822e+003,1.0802e+003,5.6006e+002,1.9208e+003,3.0419e+003
2021-01-06 05:00:00 PST,1.0396e+005,8.8548e+003,9.4133e+003,1.4151e+004,3.7605e+004,3.3932e+004,5.6006e+002,3.9231e+003,6.8009e+002,8.0013e+002,6.0007e+002,7.6012e+002,7.6011e+002,7.6012e+002,6.0007e+002,9.2017e+002,8.8016e+002,6.0007e+002,1.8407e+003,1.6005e+003,1.8007e+003,1.1603e+003,3.6003e+002,1.7606e+003,1.7606e+003
2021-01-06 05:15:00 PST,8.2229e+004,7.3288e+003,1.0056e+004,1.4392e+004,3.0064e+004,2.0388e+004,5.6006e+002,2.5213e+003,6.0007e+002,7.6012e+002,8.4014e+002,6.0007e+002,6.8009e+002,7.6012e+002,7.6012e+002,6.0007e+002,6.8009e+002,8.0013e+002,3.0018e+003,1.0002e+003,1.9608e+003,1.2403e+003,6.4008e+002,1.7206e+003,1.8007e+003
