# file...... 1Meter_684_A_power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_A_24:measured_power,house_meter_684_A_25:measured_power,house_meter_684_A_26:measured_power,house_meter_684_A_27:measured_power,house_meter_684_A_28:measured_power,house_meter_684_A_29:measured_power,house_meter_684_A_30:measured_power,house_meter_684_A_31:measured_power,house_meter_684_A_32:measured_power,house_meter_684_A_33:measured_power,house_meter_684_A_34:measured_power,house_meter_684_A_35:measured_power,house_meter_684_A_36:measured_power,house_meter_684_A_37:measured_power,house_meter_684_A_38:measured_power,house_meter_684_A_39:measured_power,house_meter_684_A_40:measured_power
2021-01-06 00:00:00 PST,+360.026+0.00166676d,+720.105+0.00333464d,+800.129+0.00370533d,+400.032+0.00185222d,+1880.71+0.00871323d,+880.156+0.00407606d,+760.117+0.00351998d,+720.105+0.00333464d,+840.142+0.00389069d,+1400.4+0.00648456d,+1120.25+0.00518677d,+520.055+0.00240727d,+440.039+0.00203682d,+440.039+0.00203682d,+480.046+0.00222204d,+240.012+0.00111086d,+560.063+0.00259251d
2021-01-06 00:15:00 PST,+680.093+0.00313714d,+680.093+0.00313757d,+1240.31+0.00572338d,+400.032+0.00184532d,+1920.74+0.00886565d,+720.104+0.00332221d,+680.093+0.00313757d,+600.072+0.00276831d,+800.129+0.00369152d,+1280.33+0.00590785d,+1000.2+0.00461473d,+600.072+0.00276817d,+560.063+0.00258356d,+240.012+0.00110703d,+400.032+0.00184522d,+2240.67+0.00686077d,+440.039+0.00202979d
2021-01-06 00:30:00 PST,+400.032+0.00184474d,+760.116+0.00350688d,+600.072+0.00276833d,+400.032+0.00184533d,+1920.74+0.00886568d,+800.129+0.00369154d,+960.185+0.00443028d,+640.082+0.00295295d,+920.17+0.00424558d,+1200.29+0.0055397d,+2360.56+0.00548906d,+640.082+0.00295351d,+240.012+0.00110731d,+200.008+0.000922735d,+880.156+0.00406166d,+1880.51+0.00622954d,+640.082+0.00295351d
2021-01-06 00:45:00 PST,+640.082+0.00294994d,+800.129+0.00368819d,+800.129+0.00368819d,+400.032+0.00184365d,+1920.74+0.00885763d,+520.054+0.00239692d,+1040.22+0.00479534d,+560.063+0.00258136d,+520.054+0.00239692d,+1080.23+0.00498262d,+4682.53+0.0124159d,+480.046+0.00221369d,+360.026+0.00166015d,+240.012+0.00110669d,+440.039+0.00202917d,+1840.45+0.00560263d,+440.039+0.00202917d
2021-01-06 01:00:00 PST,+560.063+0.00258908d,+640.083+0.00296049d,+1000.2+0.00462678d,+840.142+0.00388612d,+1880.71+0.00870298d,+840.142+0.00388612d,+640.083+0.00296049d,+600.073+0.00277539d,+800.129+0.00370097d,+1200.29+0.00555463d,+3882.08+0.0123209d,+600.073+0.00277631d,+520.054+0.00240602d,+280.016+0.00129536d,+320.021+0.00148045d,+1800.44+0.00566747d,+440.039+0.00203576d
2021-01-06 01:15:00 PST,+680.093+0.00314899d,+600.073+0.00277871d,+400.032+0.00185225d,+400.032+0.00185225d,+2000.81+0.00927024d,+760.117+0.00352004d,+720.105+0.0033347d,+560.063+0.0025934d,+560.063+0.0025934d,+1120.25+0.00518879d,+1960.46+0.00537624d,+600.073+0.00277883d,+360.026+0.00166706d,+520.055+0.0024082d,+320.021+0.00148179d,+840.084+0.00230269d,+520.055+0.0024082d
2021-01-06 01:30:00 PST,+440.039+0.00202428d,+480.046+0.00220861d,+680.093+0.00312924d,+280.016+0.0012882d,+1840.68+0.00847328d,+960.185+0.0044185d,+760.116+0.00349756d,+600.072+0.00276096d,+520.054+0.00239272d,+880.155+0.00404887d,+1040.22+0.00478548d,+520.054+0.00239199d,+320.021+0.00147182d,+520.054+0.00239199d,+320.021+0.00147182d,+480.046+0.00220794d,+360.026+0.00165584d
2021-01-06 01:45:00 PST,+680.093+0.00313145d,+480.046+0.00221004d,+880.155+0.00405272d,+520.054+0.00239427d,+1680.57+0.00774074d,+400.032+0.00184161d,+480.046+0.00221004d,+560.063+0.00257851d,+960.185+0.00442136d,+1320.35+0.00608039d,+1280.33+0.00589599d,+800.128+0.00368393d,+440.039+0.00202572d,+200.008+0.00092065d,+720.104+0.00331538d,+360.026+0.00165733d,+560.063+0.00257838d
2021-01-06 02:00:00 PST,+480.046+0.00220398d,+400.032+0.00183667d,+480.046+0.00220411d,+680.093+0.00312286d,+1880.71+0.00864002d,+1000.2+0.00459333d,+520.054+0.00238784d,+560.063+0.00257158d,+560.063+0.00257158d,+840.141+0.00385677d,+960.184+0.00440806d,+600.072+0.00275444d,+360.026+0.00165243d,+240.012+0.00110154d,+480.046+0.00220339d,+240.012+0.00110154d,+560.063+0.00257075d
2021-01-06 02:15:00 PST,+680.093+0.00313228d,+400.032+0.0018408d,+520.054+0.00239322d,+440.039+0.00202493d,+1800.65+0.0082906d,+640.082+0.00294571d,+720.104+0.00331408d,+560.063+0.00257737d,+520.054+0.00239322d,+520.054+0.00239249d,+1280.33+0.0058919d,+520.054+0.00239249d,+400.032+0.00184024d,+200.008+0.000920011d,+440.039+0.00202432d,+320.021+0.00147212d,+240.012+0.00110404d
2021-01-06 02:30:00 PST,+600.072+0.00277059d,+600.072+0.00276995d,+560.063+0.00258522d,+600.072+0.00276995d,+1640.54+0.00757595d,+840.142+0.00387849d,+760.116+0.00350894d,+520.054+0.00240051d,+640.082+0.00295468d,+960.185+0.00443156d,+960.185+0.00443156d,+520.054+0.00239979d,+680.093+0.00313849d,+200.008+0.000922818d,+320.021+0.00147662d,+400.032+0.00184586d,+480.046+0.00221514d
2021-01-06 02:45:00 PST,+560.063+0.0025845d,+680.093+0.0031377d,+840.142+0.00387635d,+360.026+0.00166081d,+1760.62+0.00812639d,+640.082+0.00295306d,+560.063+0.0025838d,+560.063+0.0025838d,+800.129+0.00369168d,+640.082+0.00295222d,+1120.25+0.00516788d,+920.17+0.00424453d,+440.039+0.00202941d,+360.026+0.00166034d,+360.026+0.00166034d,+480.046+0.00221395d,+320.021+0.00147583d
2021-01-06 03:00:00 PST,+520.054+0.00239472d,+480.046+0.00221039d,+400.032+0.0018419d,+480.046+0.00221039d,+1800.65+0.00829557d,+760.116+0.00350038d,+680.093+0.00313177d,+600.072+0.00276319d,+600.072+0.00276319d,+560.063+0.00257834d,+920.17+0.00423676d,+520.054+0.00239411d,+360.026+0.0016573d,+680.093+0.00313106d,+640.082+0.00294681d,+360.026+0.0016573d,+520.054+0.00239411d
2021-01-06 03:15:00 PST,+560.063+0.00257682d,+640.082+0.00294367d,+320.021+0.00147155d,+920.17+0.00423224d,+1360.37+0.00625801d,+600.072+0.00275963d,+720.104+0.00331179d,+480.046+0.00220754d,+640.082+0.00294367d,+880.155+0.00404661d,+720.104+0.00331054d,+520.054+0.00239066d,+320.021+0.001471d,+240.012+0.0011032d,+320.021+0.001471d,+280.016+0.00128709d,+320.021+0.001471d
2021-01-06 03:30:00 PST,+520.054+0.00239199d,+600.072+0.00275698d,+520.054+0.00238927d,+440.039+0.00202159d,+480.046+0.00220543d,+520.054+0.00238927d,+520.054+0.00238927d,+640.082+0.00294085d,+880.155+0.00404426d,+680.093+0.00312428d,+1040.22+0.00477934d,+640.082+0.00294043d,+400.032+0.0018375d,+240.012+0.0011024d,+360.026+0.00165371d,+240.012+0.0011024d,+200.008+0.000918641d
2021-01-06 03:45:00 PST,+760.116+0.0035099d,+480.046+0.00221114d,+800.128+0.00368594d,+280.016+0.00128968d,+560.063+0.00257979d,+920.17+0.00423914d,+960.185+0.00442356d,+560.063+0.00257979d,+520.054+0.00239546d,+600.072+0.00276348d,+560.063+0.00257919d,+920.17+0.00423816d,+560.063+0.00257919d,+240.012+0.00110515d,+400.032+0.0018421d,+280.016+0.00128938d,+240.012+0.00110515d
