# file...... Meter_611_C_Power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_611_C:measured_power,xfmr_meter_611_C_1:measured_power,xfmr_meter_611_C_2:measured_power,xfmr_meter_611_C_3:measured_power,xfmr_meter_611_C_4:measured_power,xfmr_meter_611_C_5:measured_power,house_meter_611_C_1:measured_power,house_meter_611_C_2:measured_power,house_meter_611_C_3:measured_power,house_meter_611_C_4:measured_power,house_meter_611_C_5:measured_power,house_meter_611_C_6:measured_power,house_meter_611_C_7:measured_power,house_meter_611_C_8:measured_power,house_meter_611_C_9:measured_power,house_meter_611_C_10:measured_power,house_meter_611_C_11:measured_power,house_meter_611_C_12:measured_power,house_meter_611_C_13:measured_power,house_meter_611_C_14:measured_power,house_meter_611_C_15:measured_power,house_meter_611_C_16:measured_power,house_meter_611_C_17:measured_power,house_meter_611_C_18:measured_power,house_meter_611_C_19:measured_power,house_meter_611_C_20:measured_power,house_meter_611_C_21:measured_power,house_meter_611_C_22:measured_power,house_meter_611_C_23:measured_power
2021-01-06 02:30:00 PST,+48910.6+126.401j,+10339.6+21.6489j,+3441.75+2.23121j,+6606.86+8.38178j,+7688.74+11.1328j,+20833.3+82.7119j,+160.005+0.000750166d,+1480.45+0.00694464d,+240.012+0.0011253d,+200.008+0.00093773d,+200.008+0.00093773d,+2761.56+0.012961d,+2881.7+0.0135255d,+2401.18+0.0112679d,+640.084+0.00299773d,+520.055+0.00243547d,+480.047+0.00224808d,+160.005+0.000749213d,+280.016+0.00131122d,+520.055+0.00243547d,+360.026+0.00168593d,+480.047+0.00224808d,+680.094+0.00318702d,+1720.6+0.00806642d,+400.033+0.0018744d,+200.008+0.000937084d,+840.144+0.00393729d,+1160.27+0.00543828d,+1000.2+0.00468771d
2021-01-06 02:45:00 PST,+52937.9+161.697j,+11389.5+28.5656j,+6206.45+7.55938j,+5485.11+5.935j,+5484.39+5.64191j,+24372.1+113.626j,+120.003+0.000563195d,+1400.4+0.00657578d,+200.008+0.000938704d,+240.012+0.00112647d,+200.008+0.000938704d,+5045.21+0.0237259d,+3923.15+0.0184407d,+240.012+0.00112647d,+640.084+0.00300179d,+1640.55+0.00769681d,+360.026+0.00168822d,+480.047+0.00225112d,+560.064+0.00262644d,+360.026+0.00168822d,+400.033+0.00187584d,+1760.63+0.0082606d,+1760.63+0.0082595d,+160.005+0.000750127d,+200.008+0.000937681d,+360.026+0.00168799d,+640.084+0.00300139d,+680.094+0.00318906d,+1160.28+0.00544176d
2021-01-06 03:00:00 PST,+52917.3+143.084j,+11303.2+25.7695j,+4322.7+3.49408j,+6888.26+9.4311j,+8613+14.7808j,+21789.9+89.2748j,+560.064+0.00262668d,+1240.31+0.00581864d,+240.012+0.0011255d,+200.008+0.000937892d,+240.012+0.0011255d,+2521.3+0.0118343d,+3121.99+0.0146574d,+3162.04+0.0148457d,+480.047+0.00224843d,+400.033+0.0018736d,+480.047+0.00224843d,+680.094+0.00318567d,+680.094+0.00318567d,+520.055+0.00243586d,+400.033+0.0018736d,+680.094+0.00318567d,+280.016+0.00131204d,+320.021+0.00149952d,+440.04+0.00206199d,+720.106+0.00337474d,+880.158+0.00412508d,+640.084+0.00299962d,+1080.24+0.00506322d
2021-01-06 03:15:00 PST,+60163.3+193.995j,+11667.4+28.5708j,+8491.62+13.9686j,+6366+7.63917j,+7368.12+10.2674j,+26269.7+133.103j,+560.064+0.00262938d,+1240.31+0.00582463d,+2241.03+0.0105284d,+280.016+0.00131446d,+200.008+0.000938852d,+5085.3+0.0239187d,+1920.75+0.00902256d,+120.003+0.000563281d,+1520.47+0.00713691d,+440.04+0.00206457d,+1760.63+0.00826501d,+440.04+0.00206457d,+360.026+0.00168911d,+480.047+0.00225232d,+1920.75+0.00901726d,+1560.5+0.0073249d,+400.033+0.0018761d,+760.118+0.00356539d,+600.074+0.0028145d,+520.055+0.00243912d,+920.173+0.00431642d,+840.144+0.00394089d,+1120.26+0.00525542d
2021-01-06 03:30:00 PST,+56652.5+161.105j,+16970.4+57.352j,+4042.68+3.18227j,+6206.07+7.39769j,+9253.65+16.5124j,+20179.3+76.2851j,+160.005+0.000750575d,+3081.94+0.0144745d,+160.005+0.000750575d,+2361.14+0.0110859d,+120.003+0.000562917d,+2641.43+0.0124034d,+5085.29+0.023903d,+3322.26+0.0156047d,+320.021+0.00149772d,+640.084+0.00299603d,+360.026+0.00168498d,+240.012+0.00112324d,+200.008+0.000936007d,+360.026+0.00168498d,+640.084+0.00299603d,+1280.33+0.0059944d,+560.064+0.00262244d,+600.073+0.00280983d,+360.026+0.00168565d,+320.021+0.00149832d,+760.118+0.00355946d,+800.131+0.00374689d,+1080.24+0.00505917d
2021-01-06 03:45:00 PST,+60244.5+198.489j,+17775.6+63.0815j,+5044.88+5.24205j,+4242.8+3.44703j,+9012.39+15.4513j,+24168.3+110.807j,+1240.31+0.0058288d,+1120.26+0.00526433d,+2481.26+0.0116665d,+200.008+0.000939529d,+560.064+0.00263126d,+6087.6+0.0286653d,+3562.6+0.0167582d,+2481.26+0.0116665d,+640.084+0.00300024d,+400.033+0.00187487d,+320.021+0.00149982d,+400.033+0.00187487d,+480.047+0.00224996d,+360.026+0.00168734d,+200.008+0.000937321d,+2241.03+0.0105111d,+440.04+0.0020621d,+200.008+0.000937182d,+360.026+0.00168709d,+280.016+0.00131212d,+680.094+0.00318736d,+600.074+0.00281224d,+1120.26+0.00525118d
2021-01-06 04:00:00 PST,+55843.2+152.908j,+13388.2+34.4099j,+5284.78+5.51971j,+6566.94+8.34633j,+8894.52+16.0268j,+21708.5+88.2461j,+880.158+0.00412946d,+1760.63+0.00826337d,+160.005+0.000750485d,+2361.14+0.0110845d,+680.095+0.00319056d,+2601.38+0.0122136d,+2481.26+0.011649d,+2441.22+0.0114608d,+680.094+0.00318579d,+200.008+0.000936726d,+440.04+0.00206109d,+600.073+0.00281085d,+720.106+0.00337327d,+560.064+0.0026234d,+200.008+0.000936726d,+1880.72+0.00881424d,+360.026+0.00168667d,+560.064+0.00262402d,+480.047+0.00224905d,+560.064+0.00262402d,+840.144+0.0039367d,+2040.85+0.00956759d,+960.188+0.00449942d
2021-01-06 04:15:00 PST,+56685.3+199.48j,+12674.1+34.4179j,+4402.79+3.6212j,+6165.58+7.14598j,+5484.35+5.62568j,+27958+148.206j,+840.144+0.00394439d,+1120.26+0.00526009d,+400.033+0.00187777d,+160.005+0.000750999d,+240.012+0.00112655d,+1320.36+0.00620015d,+6127.7+0.0288313d,+2441.22+0.0114688d,+520.055+0.00243756d,+480.047+0.00225d,+640.084+0.00300029d,+480.047+0.00225d,+440.04+0.00206245d,+640.084+0.00300029d,+720.106+0.0033755d,+480.047+0.00225d,+560.064+0.00262598d,+640.084+0.00300127d,+400.033+0.00187552d,+1080.24+0.00506601d,+920.173+0.00431506d,+720.106+0.00337659d,+1080.24+0.00506601d
2021-01-06 04:30:00 PST,+71510.4+339.713j,+33793.3+241.56j,+4363.17+3.73751j,+7328.12+10.2184j,+5804.85+6.31411j,+20220.2+77.1352j,+1160.28+0.00549211d,+4043.37+0.0191619d,+2080.89+0.00985353d,+3282.22+0.0155498d,+2401.19+0.0113717d,+3963.24+0.0187815d,+15972.9+0.0760729d,+720.107+0.00340797d,+320.021+0.00150599d,+640.084+0.00301257d,+440.04+0.00207089d,+360.027+0.00169428d,+200.008+0.000941176d,+320.021+0.00150599d,+640.084+0.00301257d,+1440.43+0.00678163d,+440.04+0.00207203d,+400.033+0.00188361d,+1200.3+0.00565362d,+1080.24+0.00508788d,+1520.47+0.00716267d,+680.095+0.00320269d,+1160.28+0.00546503d
2021-01-06 04:45:00 PST,+66886.7+300.658j,+28754.5+184.903j,+3522.02+2.41242j,+5484.53+5.7063j,+6205.56+7.20782j,+22919.4+99.783j,+240.012+0.00113193d,+2321.11+0.010956d,+1280.34+0.00604082d,+3442.44+0.0162564d,+200.008+0.000943249d,+2481.27+0.0117128d,+15972.8+0.0758209d,+2681.48+0.0126589d,+320.021+0.00150225d,+480.047+0.00225359d,+200.008+0.000938836d,+360.027+0.00169007d,+400.033+0.0018779d,+200.008+0.000938836d,+440.04+0.00206574d,+1120.26+0.00526045d,+320.021+0.00150279d,+360.027+0.00169068d,+920.173+0.00432212d,+400.033+0.00187858d,+760.118+0.0035701d,+720.106+0.00338211d,+1040.22+0.00488624d
