# file...... Meter_645_B_Power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_power.real,xfmr_meter_645_B_1:measured_power.real,xfmr_meter_645_B_2:measured_power.real,xfmr_meter_645_B_3:measured_power.real,xfmr_meter_645_B_4:measured_power.real,xfmr_meter_645_B_5:measured_power.real,house_meter_645_B_1:measured_power.real,house_meter_645_B_2:measured_power.real,house_meter_645_B_3:measured_power.real,house_meter_645_B_4:measured_power.real,house_meter_645_B_5:measured_power.real,house_meter_645_B_6:measured_power.real,house_meter_645_B_7:measured_power.real,house_meter_645_B_8:measured_power.real,house_meter_645_B_9:measured_power.real,house_meter_645_B_10:measured_power.real,house_meter_645_B_11:measured_power.real,house_meter_645_B_12:measured_power.real,house_meter_645_B_13:measured_power.real,house_meter_645_B_14:measured_power.real,house_meter_645_B_15:measured_power.real,house_meter_645_B_16:measured_power.real,house_meter_645_B_17:measured_power.real,house_meter_645_B_18:measured_power.real,house_meter_645_B_19:measured_power.real
2021-01-06 03:00:00 PST,2.1545e+004,2.2807e+003,3.8020e+003,3.5620e+003,9.9000e+003,2.0006e+003,2.4001e+002,2.8002e+002,2.0001e+002,4.4004e+002,3.2002e+002,2.8002e+002,2.8002e+002,2.4001e+002,4.8005e+002,4.8005e+002,5.2005e+002,4.8005e+002,4.0003e+002,4.8005e+002,4.0003e+002,5.6006e+002,3.6003e+002,4.0003e+002,4.0003e+002
2021-01-06 03:15:00 PST,2.6163e+004,2.9212e+003,3.5618e+003,3.7622e+003,1.4238e+004,1.6804e+003,2.8002e+002,5.6006e+002,2.4001e+002,2.8002e+002,3.2002e+002,4.4004e+002,5.2005e+002,2.8002e+002,2.8002e+002,5.2005e+002,3.6003e+002,5.6006e+002,4.8005e+002,6.0007e+002,4.0003e+002,3.6003e+002,6.0007e+002,4.8005e+002,3.2002e+002
2021-01-06 03:30:00 PST,2.3085e+004,3.0414e+003,3.0013e+003,2.6410e+003,1.2561e+004,1.8405e+003,5.2005e+002,2.0001e+002,3.6003e+002,2.8002e+002,4.8005e+002,6.4008e+002,2.8002e+002,2.8002e+002,5.2005e+002,4.8005e+002,2.8002e+002,3.2002e+002,2.4001e+002,4.4004e+002,4.4004e+002,2.8002e+002,4.0003e+002,4.0003e+002,4.0003e+002
2021-01-06 03:45:00 PST,2.4460e+004,2.6810e+003,3.3216e+003,2.5609e+003,1.4336e+004,1.5603e+003,3.6003e+002,2.4001e+002,4.4004e+002,2.8002e+002,2.4001e+002,3.2002e+002,3.2002e+002,4.8005e+002,4.4004e+002,4.4004e+002,6.0007e+002,3.6003e+002,4.0003e+002,2.8002e+002,3.6003e+002,4.4004e+002,4.0003e+002,3.2002e+002,4.8005e+002
2021-01-06 04:00:00 PST,2.6783e+004,2.5610e+003,3.3616e+003,3.6019e+003,1.5618e+004,1.6404e+003,3.2002e+002,2.0001e+002,4.4004e+002,5.6006e+002,2.0001e+002,2.8002e+002,2.8002e+002,2.8002e+002,4.0003e+002,2.8002e+002,4.8005e+002,4.8005e+002,5.2005e+002,3.6003e+002,3.2002e+002,5.2005e+002,4.0003e+002,6.4008e+002,6.0007e+002
2021-01-06 04:15:00 PST,6.7703e+004,2.1207e+003,3.9223e+003,1.7171e+004,4.3047e+004,1.4403e+003,2.4001e+002,3.6003e+002,2.0001e+002,2.0001e+002,2.4001e+002,3.2002e+002,1.6001e+002,4.0003e+002,3.6003e+002,4.8005e+002,3.2002e+002,5.2005e+002,4.0003e+002,9.2017e+002,5.6006e+002,3.6003e+002,4.8005e+002,4.8005e+002,2.8002e+002
2021-01-06 04:30:00 PST,2.6110e+004,2.6811e+003,3.3216e+003,3.0813e+003,1.5345e+004,1.6804e+003,2.0001e+002,5.6006e+002,2.4001e+002,3.2002e+002,2.0001e+002,2.8002e+002,5.2005e+002,3.6003e+002,5.2005e+002,4.8005e+002,3.2002e+002,2.8002e+002,2.8002e+002,5.6006e+002,4.8005e+002,4.0003e+002,3.2002e+002,2.8002e+002,4.4004e+002
2021-01-06 04:45:00 PST,2.5828e+004,2.8812e+003,3.2815e+003,2.9612e+003,1.5184e+004,1.5203e+003,4.0003e+002,2.0001e+002,2.0001e+002,2.8002e+002,6.0007e+002,5.6006e+002,2.4001e+002,4.0003e+002,3.6003e+002,4.4004e+002,5.6006e+002,3.6003e+002,4.0003e+002,4.0003e+002,2.8002e+002,4.8005e+002,2.8002e+002,3.2002e+002,4.8005e+002
2021-01-06 05:00:00 PST,3.2540e+004,2.5610e+003,3.2415e+003,3.6419e+003,2.1495e+004,1.6004e+003,4.0003e+002,2.0001e+002,3.2002e+002,2.4001e+002,3.2002e+002,3.6003e+002,2.0001e+002,5.2005e+002,3.2002e+002,2.8002e+002,4.0003e+002,5.2005e+002,5.2005e+002,4.8005e+002,3.2002e+002,4.0003e+002,5.6006e+002,7.6012e+002,6.0007e+002
2021-01-06 05:15:00 PST,2.6102e+004,2.6010e+003,3.2415e+003,2.6410e+003,1.6058e+004,1.5603e+003,3.2002e+002,2.0001e+002,6.0007e+002,4.8005e+002,2.0001e+002,2.4001e+002,3.2002e+002,2.4001e+002,5.6006e+002,4.0003e+002,2.4001e+002,4.4004e+002,3.2002e+002,4.8005e+002,4.8005e+002,3.2002e+002,4.0003e+002,3.6003e+002,3.2002e+002
