# file...... Meter_645_C_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_C:measured_power,xfmr_meter_645_C_1:measured_power,xfmr_meter_645_C_2:measured_power,xfmr_meter_645_C_3:measured_power,xfmr_meter_645_C_4:measured_power,xfmr_meter_645_C_5:measured_power,house_meter_645_C_1:measured_power,house_meter_645_C_2:measured_power,house_meter_645_C_3:measured_power,house_meter_645_C_4:measured_power,house_meter_645_C_5:measured_power,house_meter_645_C_6:measured_power,house_meter_645_C_7:measured_power,house_meter_645_C_8:measured_power,house_meter_645_C_9:measured_power,house_meter_645_C_10:measured_power,house_meter_645_C_11:measured_power,house_meter_645_C_12:measured_power,house_meter_645_C_13:measured_power,house_meter_645_C_14:measured_power,house_meter_645_C_15:measured_power,house_meter_645_C_16:measured_power,house_meter_645_C_17:measured_power,house_meter_645_C_18:measured_power,house_meter_645_C_19:measured_power,house_meter_645_C_20:measured_power,house_meter_645_C_21:measured_power,house_meter_645_C_22:measured_power,house_meter_645_C_23:measured_power
2021-01-06 00:00:00 PST,+64754.3+194.023j,+11141.7+24.6914j,+24527.1+112.452j,+12624.4+30.3383j,+7087.55+9.50401j,+9373.1+16.5776j,+280.016+0.00131197d,+240.012+0.00112452d,+200.008+0.000937076d,+360.026+0.0016869d,+2801.35+0.0110803d,+2481.26+0.011636d,+2761.56+0.012952d,+2000.82+0.00938111d,+2561.34+0.0120418d,+3602.66+0.0169446d,+3843.03+0.0180769d,+2681.47+0.0126072d,+2321.1+0.0109112d,+4203.62+0.019776d,+2921.75+0.0137382d,+2321.1+0.0109112d,+1240.31+0.00581516d,+680.094+0.00318787d,+1880.72+0.00882d,+3242.15+0.0152131d,+1240.31+0.00581516d,+1080.24+0.00506432d,+1920.75+0.00900788d
2021-01-06 00:15:00 PST,+68586.7+230.738j,+10499.4+21.9891j,+27027.2+137.117j,+15802.2+49.0843j,+8049.91+12.3219j,+7207.46+9.68411j,+240.012+0.00112395d,+200.008+0.000936604d,+280.016+0.00131131d,+360.026+0.00168605d,+1920.75+0.00900088d,+2521.3+0.011818d,+2120.92+0.0099397d,+2841.65+0.0133213d,+2401.18+0.0112889d,+4123.48+0.0193999d,+3522.54+0.0165685d,+5486.17+0.0258254d,+2681.47+0.0126081d,+3722.84+0.0175121d,+2801.61+0.0131737d,+2200.99+0.0103469d,+3562.59+0.0167223d,+720.106+0.00337615d,+1400.4+0.00656748d,+920.173+0.0043145d,+1000.2+0.00468991d,+1040.22+0.00487762d,+2160.95+0.0101374d
2021-01-06 00:30:00 PST,+66922.4+202.434j,+9977.29+19.7491j,+23922.8+106.882j,+15198+44.9613j,+7809.26+11.5669j,+10014.7+18.7981j,+160.005+0.00074876d,+240.012+0.00112319d,+240.012+0.00112319d,+520.055+0.002434d,+1720.58+0.00769082d,+2521.3+0.01181d,+2441.22+0.0114345d,+2120.92+0.00993297d,+1800.66+0.00845377d,+4043.35+0.0190002d,+3442.42+0.0161724d,+3322.26+0.0156071d,+2481.26+0.0116523d,+3402.37+0.0159839d,+2921.75+0.0137233d,+2441.22+0.0114641d,+4644.41+0.0217948d,+760.118+0.00356134d,+1760.63+0.00825237d,+920.173+0.00431152d,+1000.2+0.00468666d,+960.188+0.00449908d,+2241.03+0.0105061d
2021-01-06 00:45:00 PST,+60378.3+170.989j,+9295.22+17.2204j,+23600+103.758j,+9883.19+20.2609j,+8547.22+13.8979j,+9052.24+15.4509j,+120.003+0.00056106d,+240.012+0.0011222d,+160.005+0.000748098d,+520.055+0.00243185d,+1720.6+0.00804973d,+1880.72+0.00879941d,+1880.72+0.00879941d,+2761.55+0.0129252d,+2281.06+0.0107025d,+4083.41+0.019173d,+3362.31+0.0157826d,+2721.51+0.0127713d,+2561.34+0.0120189d,+3162.04+0.0148413d,+2881.7+0.0135239d,+2481.26+0.0116427d,+1000.2+0.00467852d,+496.05+0.00231983d,+656.088+0.00306847d,+688.096+0.00321821d,+784.125+0.00366748d,+944.182+0.00441637d,+4588.3+0.0214935d
2021-01-06 01:00:00 PST,+70257.9+217.653j,+9616.7+18.6184j,+23560+103.647j,+11342.8+25.714j,+16405.1+52.7956j,+9332.82+16.3697j,+160.005+0.000749603d,+160.005+0.000749603d,+160.005+0.000749603d,+240.012+0.00112446d,+1720.58+0.00769949d,+2361.14+0.0110715d,+2601.38+0.0121993d,+2200.99+0.0103199d,+2441.22+0.011477d,+4123.48+0.0193993d,+3322.26+0.0156247d,+2521.3+0.0118539d,+2721.52+0.0127962d,+3041.9+0.0143045d,+3122+0.0146817d,+2200.99+0.0103466d,+1320.36+0.00619058d,+600.074+0.00281266d,+640.084+0.00300024d,+1160.27+0.00543968d,+960.188+0.00450125d,+1120.26+0.00525197d,+4444.04+0.0208628d
2021-01-06 01:15:00 PST,+60296.6+171.746j,+9697.3+19.058j,+23962.8+107.197j,+8330.1+12.9935j,+8692.33+14.6823j,+9613.7+17.4081j,+200.008+0.00093683d,+160.005+0.000749446d,+160.005+0.000749446d,+240.012+0.00112422d,+1600.52+0.00750106d,+2601.38+0.0121967d,+1760.63+0.00825198d,+2961.79+0.0138885d,+2601.39+0.012229d,+4003.28+0.01883d,+2841.65+0.0133598d,+2561.34+0.0120405d,+2641.43+0.0124174d,+3562.6+0.0167542d,+3482.48+0.0163769d,+2200.99+0.010345d,+1200.29+0.005623d,+560.064+0.00262304d,+640.084+0.0029979d,+1080.24+0.00506033d,+1080.24+0.00506033d,+1280.33+0.00599816d,+1320.36+0.00618575d
2021-01-06 01:30:00 PST,+62989.3+185.647j,+11865.2+28.2342j,+24284.9+109.903j,+10579.1+22.0588j,+7448.29+10.4601j,+8811.39+14.5543j,+240.012+0.00112246d,+240.012+0.00112246d,+120.003+0.000561189d,+360.026+0.00168381d,+2321.1+0.0108643d,+2481.26+0.0116147d,+2761.56+0.0129282d,+3322.25+0.0155567d,+2441.22+0.0114533d,+4083.41+0.0191708d,+3362.31+0.0157807d,+2281.06+0.0107012d,+2681.47+0.0125817d,+3482.48+0.0163455d,+3402.37+0.015969d,+2481.26+0.0116414d,+1160.27+0.00542699d,+600.073+0.0028061d,+640.083+0.00299325d,+840.144+0.00392912d,+3883.08+0.0181826d,+1240.31+0.00580155d,+1120.26+0.00523972d
2021-01-06 01:45:00 PST,+69253.9+204.639j,+9897.39+19.5834j,+23036.7+99.1012j,+13196.5+33.83j,+12064.2+28.4461j,+11058.6+23.1981j,+240.012+0.00112296d,+200.008+0.000935777d,+200.008+0.000935777d,+280.016+0.00131015d,+1720.6+0.00805517d,+2521.3+0.0118076d,+2521.3+0.0118076d,+2200.99+0.0103062d,+1880.72+0.00882676d,+4003.28+0.0188049d,+3322.26+0.0156015d,+2200.99+0.0103312d,+2761.56+0.0129654d,+3162.05+0.0148482d,+3242.15+0.0152248d,+2401.18+0.0112718d,+848.147+0.00397168d,+2000.82+0.00937379d,+3666.75+0.0171903d,+840.144+0.00393419d,+3049.9+0.0142948d,+1096.25+0.00513399d,+968.191+0.00453405d
2021-01-06 02:00:00 PST,+70624.8+225.026j,+9857.8+19.6602j,+23157.3+100.105j,+18255.2+65.0766j,+12386.7+30.4593j,+6967.34+9.20034j,+120.003+0.000561943d,+240.012+0.00112397d,+240.012+0.00112397d,+200.008+0.000936617d,+1680.58+0.00787472d,+2281.06+0.0106911d,+1920.75+0.00900101d,+3162.04+0.0148254d,+2200.99+0.0103408d,+3923.15+0.018445d,+3362.31+0.0158046d,+2441.22+0.0114706d,+2881.7+0.0135428d,+3041.89+0.0142965d,+3122+0.0146735d,+2120.92+0.00996432d,+1000.2+0.00469266d,+4644.41+0.0218227d,+2521.3+0.0118365d,+1640.55+0.00769898d,+1160.28+0.00544402d,+5005.13+0.0235211d,+1280.34+0.00600763d
2021-01-06 02:15:00 PST,+63029.6+185.491j,+9697.12+18.9732j,+23640.2+104.142j,+13792.1+37.38j,+6726.78+8.54512j,+9172.92+16.0145j,+160.005+0.000748739d,+200.008+0.000935947d,+200.008+0.000935947d,+160.005+0.000748739d,+1640.55+0.00768153d,+2040.85+0.00955742d,+2601.38+0.0121852d,+2681.47+0.0125607d,+2721.52+0.0127815d,+3883.09+0.0182454d,+3242.15+0.0152298d,+2561.34+0.0120284d,+2641.43+0.0124049d,+3242.15+0.0152298d,+3162.05+0.0148531d,+2120.92+0.00995834d,+1120.26+0.00524821d,+1280.33+0.00599855d,+720.106+0.00337303d,+4684.48+0.021978d,+1080.24+0.00506065d,+2681.47+0.0125702d,+1280.33+0.00599855d
